,Interval,Time_min,video,SSI_fa_pa,SSI_fa_mo,SSI_fa_mo_pa,SSI_mo_pa
0,1,0.0,F1044D1.VOB,0.0195884180716,0.0116424266075,0.0157146692695,0.00748389828695
1,2,0.166666666667,F1044D1.VOB,0.0592532171383,0.0421200979332,0.0892417774529,0.126563797929
2,3,0.333333333333,F1044D1.VOB,0.00300447906246,0.00686360351312,0.0114383236107,0.0179609739243
3,4,0.5,F1044D1.VOB,0.000683354622703,0.00628477755707,0.00475645740828,0.00416604778442
4,5,0.666666666667,F1044D1.VOB,0.000440934471209,0.00164678215546,0.0281082593491,0.0649384546277
5,6,0.833333333333,F1044D1.VOB,0.00384609270485,0.00202605401031,0.00247040720543,1.42024113192e-06
6,7,1.0,F1044D1.VOB,0.00524322425201,0.0116861401455,0.0127341954069,0.0121841932502
7,8,1.16666666667,F1044D1.VOB,0.00311823190003,0.00463706000379,0.00520639122949,0.00430448762541
8,9,1.33333333333,F1044D1.VOB,0.0777635259223,0.00987219936483,0.0384310653811,0.00571656707713
9,10,1.5,F1044D1.VOB,0.000385099852832,0.00978881834361,0.0236656188228,0.046371167467
10,11,1.66666666667,F1044D1.VOB,0.00563556538702,0.000456447620668,0.00356636534236,0.00228837133249
11,12,1.83333333333,F1044D1.VOB,0.005785561013,0.0071612266961,0.00721293509966,0.00467746490574
12,13,2.0,F1044D1.VOB,0.0158887360864,0.000191197339024,0.0104245194252,0.00844728262176
13,14,2.16666666667,F1044D1.VOB,0.00197775550477,0.0223435550169,0.0103568153235,0.000442725384949
14,15,2.33333333333,F1044D1.VOB,0.0222857392526,0.236215520068,0.112316314205,0.0162142007733
15,16,2.5,F1044D1.VOB,0.0010145291496,0.00921589385924,0.00662406660429,0.00576185738083
16,17,2.66666666667,F1044D1.VOB,0.000146619945247,0.0151269280461,0.0190403694655,0.0294698948854
17,18,2.83333333333,F1044D1.VOB,0.000629229715199,0.0274794528722,0.0184730125162,0.0162251021168
18,19,3.0,F1044D1.VOB,0.000167973318413,0.00232249578194,0.0108942697238,0.02349683526
19,20,3.16666666667,F1044D1.VOB,0.0378420377607,0.00425787538846,0.0185538901141,0.00134507418925
20,21,3.33333333333,F1044D1.VOB,0.00787288664137,0.0691082898166,0.0473843242944,0.0397451331041
21,22,3.5,F1044D1.VOB,0.0101890371314,0.00025123296879,0.0104016895213,0.0144469200233
22,23,3.66666666667,F1044D1.VOB,0.0141159068604,0.00452839726602,0.0188461846136,0.0244054769008
23,24,3.83333333333,F1044D1.VOB,0.00738709046719,0.00350446022499,0.00779770236267,0.00708903707801
24,25,4.0,F1044D1.VOB,0.00607873443422,0.00632577703359,0.00526191524779,4.04724369156e-05
25,26,4.16666666667,F1044D1.VOB,0.00450802473786,0.00181795516871,0.0118388776263,0.0212537301373
26,27,4.33333333333,F1044D1.VOB,0.0072785535874,0.00761118208539,0.0181288541506,0.0295201141454
27,28,4.5,F1044D1.VOB,0.0442089522118,0.000493483514877,0.0188402356885,4.15344800359e-05
28,29,4.66666666667,F1044D1.VOB,0.00759630174007,0.0711050571713,0.0331336683922,0.000275279134251
29,30,4.83333333333,F1044D1.VOB,0.0133287402589,0.00383582501418,0.00971676438346,0.00525195389389
30,31,5.0,F1044D1.VOB,0.00995764634542,0.00546269119157,0.00672832105683,0.000791361311016
31,32,5.16666666667,F1044D1.VOB,0.00173897126328,3.71055356235e-05,0.000779535340097,7.98038763444e-05
32,33,5.33333333333,F1044D1.VOB,0.000699567031622,0.0136958070111,0.0100298610184,0.00974459961578
33,34,5.5,F1044D1.VOB,0.0135171136088,0.0175606165542,0.0350074500037,0.0471836046279
34,35,5.66666666667,F1044D1.VOB,0.00274466558894,0.0577351579633,0.0269753681603,0.00447629311759
35,36,5.83333333333,F1044D1.VOB,0.00122498826512,0.000718374446808,0.0040119639367,0.00749155199527
36,37,6.0,F1044D1.VOB,7.376627775e-05,0.0987103013647,0.0415630611079,4.70288903612e-05
37,38,6.16666666667,F1044D1.VOB,0.000741233768661,0.037607746107,0.0186098695039,0.0062728104406
38,39,6.33333333333,F1044D1.VOB,0.00414831965833,1.41151925532e-05,0.00263875550514,0.00212010370319
39,40,6.5,F1044D1.VOB,0.0191335869304,4.24505178716e-05,0.00869656576515,0.00144537904641
40,41,6.66666666667,F1044D1.VOB,0.00710944618495,0.00407572545137,0.00619085852239,0.00314487266142
41,42,6.83333333333,F1044D1.VOB,0.012477857355,0.0625390421402,0.0449280619818,0.0367747563864
42,43,7.0,F1044D1.VOB,0.00549514055661,0.0628188854561,0.0518210715316,0.0584187164641
43,44,7.16666666667,F1044D1.VOB,0.00212031916727,0.000313159149474,0.00643380003907,0.0129576916192
44,45,7.33333333333,F1044D1.VOB,0.000802996366852,0.000547731349001,0.00939643657298,0.0208611104359
45,46,7.5,F1044D1.VOB,0.241084860346,0.00155858446501,0.104042555431,0.00577475317276
46,47,7.66666666667,F1044D1.VOB,0.0239106471508,1.62951539108e-05,0.0379287872408,0.0656772841571
47,48,7.83333333333,F1044D1.VOB,0.0504026733228,0.0101384959397,0.0280630756316,0.00819951460238
48,49,8.0,F1044D1.VOB,0.020077784345,0.000631541982411,0.0127952584554,0.00920552671253
49,50,8.16666666667,F1044D1.VOB,0.000757343298871,0.000251605335496,0.0016872483162,0.00297282339799
50,51,8.33333333333,F1044D1.VOB,0.00249419644,0.0311593142005,0.0142643620057,0.000109840035604
51,52,8.5,F1044D1.VOB,0.0271415780404,0.000820474797023,0.0170615434255,0.0130676178004
52,53,8.66666666667,F1044D1.VOB,0.0179910791212,6.98144390077e-08,0.00931131979171,0.00411403652098
53,54,8.83333333333,F1044D1.VOB,0.000937395787992,0.00432914373545,0.00270077307749,0.00107195004306
54,55,9.0,F1044D1.VOB,0.0561114840241,0.118778173245,0.0772151652914,0.00127161345695
55,56,9.16666666667,F1044D1.VOB,0.00248408487629,0.00760382057434,0.0043152671014,0.000108490822199
56,57,9.33333333333,F1044D1.VOB,0.0107219006573,0.0129261014953,0.0103113772672,0.00129296908431
57,58,9.5,F1044D1.VOB,0.00291445583829,7.46652616856e-06,0.00225811818196,0.00245192234306
58,59,9.66666666667,F1044D1.VOB,6.3459807398e-05,0.00322985001688,0.00425158504671,0.00676006414164
59,60,9.83333333333,F1044D1.VOB,0.0151102291335,0.000372318707688,0.015941043739,0.0218320269308
60,61,10.0,F1044D1.VOB,4.85348713836e-05,0.00929316750099,0.00988414526024,0.0140009284217
61,62,10.1666666667,F1044D1.VOB,0.00137125531098,0.00739981235674,0.0150419264137,0.0262561799857
62,63,10.3333333333,F1044D1.VOB,0.290537555918,0.0114241626157,0.127252792094,0.00058067918587
63,64,10.5,F1044D1.VOB,0.012947157131,0.00281872290702,0.0149562957915,0.0186443326633
64,65,10.6666666667,F1044D1.VOB,0.000240030926882,0.0905742437156,0.0421151845746,0.00944611554521
