,Interval,Time_min,video,SSI_pa_th
0,1,0.0,F1044L.VOB,0.05562876226
1,2,0.166666666667,F1044L.VOB,0.0111697569538
2,3,0.333333333333,F1044L.VOB,7.98669698077e-06
3,4,0.5,F1044L.VOB,0.00254478161236
4,5,0.666666666667,F1044L.VOB,0.0122434795176
5,6,0.833333333333,F1044L.VOB,0.00357170275788
6,7,1.0,F1044L.VOB,0.0432278221501
7,8,1.16666666667,F1044L.VOB,0.0034116288186
8,9,1.33333333333,F1044L.VOB,0.0123615299294
9,10,1.5,F1044L.VOB,0.0209870120153
10,11,1.66666666667,F1044L.VOB,0.0120837450877
11,12,1.83333333333,F1044L.VOB,0.0423354043945
12,13,2.0,F1044L.VOB,0.0425024189719
13,14,2.16666666667,F1044L.VOB,0.0189664089786
14,15,2.33333333333,F1044L.VOB,0.00320515684333
15,16,2.5,F1044L.VOB,0.0102160702562
16,17,2.66666666667,F1044L.VOB,0.0509043373523
17,18,2.83333333333,F1044L.VOB,0.0108227334045
18,19,3.0,F1044L.VOB,0.0217415685831
19,20,3.16666666667,F1044L.VOB,0.0148572589289
20,21,3.33333333333,F1044L.VOB,0.0110104017688
21,22,3.5,F1044L.VOB,0.0290642490449
22,23,3.66666666667,F1044L.VOB,0.0105022084517
23,24,3.83333333333,F1044L.VOB,0.049931809916
24,25,4.0,F1044L.VOB,0.0151847519194
25,26,4.16666666667,F1044L.VOB,0.350684500678
26,27,4.33333333333,F1044L.VOB,0.00229035870949
27,28,4.5,F1044L.VOB,0.0144059026543
28,29,4.66666666667,F1044L.VOB,0.00505741566896
29,30,4.83333333333,F1044L.VOB,0.00486567129361
30,31,5.0,F1044L.VOB,0.00369422007901
31,32,5.16666666667,F1044L.VOB,0.056604627319
32,33,5.33333333333,F1044L.VOB,0.011270342429
33,34,5.5,F1044L.VOB,0.0114060333638
34,35,5.66666666667,F1044L.VOB,0.0096602727809
35,36,5.83333333333,F1044L.VOB,0.000571781825783
36,37,6.0,F1044L.VOB,0.256241185394
37,38,6.16666666667,F1044L.VOB,0.00137314567732
38,39,6.33333333333,F1044L.VOB,0.000289602653654
39,40,6.5,F1044L.VOB,0.0492744811971
40,41,6.66666666667,F1044L.VOB,0.00818598093182
41,42,6.83333333333,F1044L.VOB,0.000794898298894
42,43,7.0,F1044L.VOB,0.0066832660213
43,44,7.16666666667,F1044L.VOB,0.0125135167162
44,45,7.33333333333,F1044L.VOB,9.23203667648e-05
45,46,7.5,F1044L.VOB,0.0102523759153
46,47,7.66666666667,F1044L.VOB,0.00364692371645
47,48,7.83333333333,F1044L.VOB,1.85636552035e-05
48,49,8.0,F1044L.VOB,0.0652425485226
49,50,8.16666666667,F1044L.VOB,0.696166599733
50,51,8.33333333333,F1044L.VOB,0.520736604025
51,52,8.5,F1044L.VOB,3.14916855482e-06
52,53,8.66666666667,F1044L.VOB,0.00914293654604
53,54,8.83333333333,F1044L.VOB,0.00752433999398
54,55,9.0,F1044L.VOB,0.00700884399165
55,56,9.16666666667,F1044L.VOB,0.0324144533208
56,57,9.33333333333,F1044L.VOB,0.00938734123989
57,58,9.5,F1044L.VOB,0.00241074948993
58,59,9.66666666667,F1044L.VOB,0.0127936688821
59,60,9.83333333333,F1044L.VOB,0.0361788985942
60,61,10.0,F1044L.VOB,0.249912702767
61,62,10.1666666667,F1044L.VOB,0.136920524611
62,63,10.3333333333,F1044L.VOB,0.0197926582652
63,64,10.5,F1044L.VOB,0.00331560254685
64,65,10.6666666667,F1044L.VOB,0.0749247862762
65,66,10.8333333333,F1044L.VOB,0.00247763936624
66,67,11.0,F1044L.VOB,8.27113615671e-05
67,68,11.1666666667,F1044L.VOB,0.00545828395364
68,69,11.3333333333,F1044L.VOB,0.00188699413373
69,70,11.5,F1044L.VOB,0.0284799176493
70,71,11.6666666667,F1044L.VOB,0.011512392434
71,72,11.8333333333,F1044L.VOB,0.0206617272769
72,73,12.0,F1044L.VOB,0.100398113232
73,74,12.1666666667,F1044L.VOB,9.42311111185e-06
74,75,12.3333333333,F1044L.VOB,0.0152381047109
75,76,12.5,F1044L.VOB,0.0017078001671
76,77,12.6666666667,F1044L.VOB,0.0183835756114
77,78,12.8333333333,F1044L.VOB,0.000544878980485
78,79,13.0,F1044L.VOB,0.0789996367262
79,80,13.1666666667,F1044L.VOB,0.00099204722745
80,81,13.3333333333,F1044L.VOB,0.00158360134003
81,82,13.5,F1044L.VOB,0.00933214371255
82,83,13.6666666667,F1044L.VOB,0.00434994185618
83,84,13.8333333333,F1044L.VOB,0.0213547979865
84,85,14.0,F1044L.VOB,0.0026195701378
85,86,14.1666666667,F1044L.VOB,0.0209259602518
86,87,14.3333333333,F1044L.VOB,0.0056026546037
87,88,14.5,F1044L.VOB,0.0011740661753
88,89,14.6666666667,F1044L.VOB,0.14562086097
