,Interval,Time_min,video,SSI_fa_mo,SSI_fa_mo_th,SSI_fa_th,SSI_mo_th
0,1,0.0,F1044M1.VOB,0.0781442702276,0.037198071454,0.00512096337172,0.00674039460499
1,2,0.166666666667,F1044M1.VOB,0.0327860674525,0.0152701795674,0.00349682967175,1.28173044029e-05
2,3,0.333333333333,F1044M1.VOB,3.33342009551e-09,0.0448636087188,0.0367970944992,0.0686132512116
3,4,0.5,F1044M1.VOB,0.030313199085,0.021623717423,0.0134095474092,0.00970030990373
4,5,0.666666666667,F1044M1.VOB,0.00120025597708,0.00217134414916,0.00312515011039,0.000770090139989
5,6,0.833333333333,F1044M1.VOB,0.000843210448087,0.0296823276349,0.0674631468679,0.00178428874828
6,7,1.0,F1044M1.VOB,3.63649667812e-05,0.0116396585443,0.00440854934889,0.0232521320651
7,8,1.16666666667,F1044M1.VOB,0.0152250355622,0.0210938215883,0.0297406855842,0.0069734661014
8,9,1.33333333333,F1044M1.VOB,0.0196698532199,0.014357298799,0.00277439240969,0.0125241012869
9,10,1.5,F1044M1.VOB,0.0103985676537,0.013791983117,0.00289677717234,0.0202912915907
10,11,1.66666666667,F1044M1.VOB,0.011199091947,0.0131971748644,0.0124488167148,0.00645283183608
11,12,1.83333333333,F1044M1.VOB,0.0867909894025,0.107249744247,0.0789636829804,0.11384161529
12,13,2.0,F1044M1.VOB,0.317102528103,0.140192832686,0.000532701096572,0.0151171717639
13,14,2.16666666667,F1044M1.VOB,0.000857119390125,0.00277255996773,0.000146488129529,0.00561671133411
14,15,2.33333333333,F1044M1.VOB,0.0671733778232,0.0618126821025,0.0761289694856,0.0092412217122
15,16,2.5,F1044M1.VOB,0.000731874048013,0.00752305342255,0.00181407920929,0.0151523011598
16,17,2.66666666667,F1044M1.VOB,0.000282205210406,0.0114847540763,0.000324217126532,0.0266312510097
17,18,2.83333333333,F1044M1.VOB,0.0578448483184,0.0418805136519,0.0205105916623,0.0266296485234
18,19,3.0,F1044M1.VOB,0.00405001487687,0.00741736752141,0.0124264497411,0.000877655041947
19,20,3.16666666667,F1044M1.VOB,0.000476821007598,0.131022324544,0.0157768027654,0.29040496669
20,21,3.33333333333,F1044M1.VOB,0.0635917444694,0.0307921741618,0.00869418862771,0.000218471181314
21,22,3.5,F1044M1.VOB,0.00609514249847,0.0248139913233,0.0227259705497,0.0273562569757
22,23,3.66666666667,F1044M1.VOB,0.0617030289419,0.0266506906239,0.00101024198762,0.0008766308657
23,24,3.83333333333,F1044M1.VOB,0.0225826620297,0.108430081592,0.0322730409653,0.213424043513
24,25,4.0,F1044M1.VOB,0.00339048694787,0.025068484507,0.0440391524863,0.0103469238212
25,26,4.16666666667,F1044M1.VOB,0.0268537864293,0.0332268887235,0.00164926898299,0.0516224472044
26,27,4.33333333333,F1044M1.VOB,0.0114190695866,0.0326748972543,0.0256157837819,0.044144648801
27,28,4.5,F1044M1.VOB,0.00957599862004,0.0311088501694,0.00890388398962,0.0576508650255
28,29,4.66666666667,F1044M1.VOB,0.00517990021884,0.0025459646062,2.77927453659e-05,0.000856177737829
29,30,4.83333333333,F1044M1.VOB,0.0703375441156,0.0364573898717,0.0122690502916,0.00628197541609
30,31,5.0,F1044M1.VOB,0.00023527587263,0.0159905724585,0.0367541353882,0.00112215140468
31,32,5.16666666667,F1044M1.VOB,0.00133787865261,0.00371377205054,0.00587933673457,0.00147595323469
32,33,5.33333333333,F1044M1.VOB,0.00117510623183,0.00570038137526,0.00865883941707,0.00393303038857
33,34,5.5,F1044M1.VOB,0.000160561740247,0.0031217613453,0.00311572696031,0.00419307243906
34,35,5.66666666667,F1044M1.VOB,0.00157671836664,0.00327100836652,0.0055121502673,0.000596606074916
35,36,5.83333333333,F1044M1.VOB,0.049595278033,0.039464363371,0.0336750017468,0.0154288855538
36,37,6.0,F1044M1.VOB,0.0168343487153,0.019815539616,0.00680347399335,0.0212890441116
37,38,6.16666666667,F1044M1.VOB,0.093967584603,0.0947895802184,0.00858456562521,0.129126547838
38,39,6.33333333333,F1044M1.VOB,0.00854430128113,0.0326295292556,8.64683372073e-05,0.0689335504803
39,40,6.5,F1044M1.VOB,0.0258410862767,0.0157963008258,0.000461436572953,0.0106842311469
40,41,6.66666666667,F1044M1.VOB,0.0266812619455,0.0182349871909,0.00393208869177,0.0139479651016
41,42,6.83333333333,F1044M1.VOB,0.00797177799844,0.0106164511217,0.0172373725021,0.000115640688383
42,43,7.0,F1044M1.VOB,0.00378585258004,0.00468842152753,0.00370744639074,0.0039106386476
43,44,7.16666666667,F1044M1.VOB,0.0094819783382,0.0209337327317,0.00806515520929,0.03009482175
44,45,7.33333333333,F1044M1.VOB,0.033268949049,0.0149075087509,7.85910435619e-08,0.00214193195107
45,46,7.5,F1044M1.VOB,0.00349897441102,0.0188203795788,0.0374182301993,0.00295570975251
46,47,7.66666666667,F1044M1.VOB,0.0016000103484,0.000747028525484,0.000166519599556,7.67357344611e-06
