,Interval,Time_min,video,SSI_mo_pa,SSI_mo_pa_th,SSI_mo_th,SSI_pa_th
0,1,0.0,F1044Q.VOB,0.0021788797704,0.0115942958967,0.0207838652244,0.00402642724991
1,2,0.166666666667,F1044Q.VOB,0.0282333997283,0.0178349645275,0.0140601012641,0.000382640245066
2,3,0.333333333333,F1044Q.VOB,0.00101247453111,0.024595831889,0.0573438043409,0.000223785818392
3,4,0.5,F1044Q.VOB,0.0213931813124,0.0351879282621,0.0141545316768,0.0519731363552
4,5,0.666666666667,F1044Q.VOB,0.00448993792921,0.0575502092436,0.00506881933812,0.12882282925
5,6,0.833333333333,F1044Q.VOB,0.00703063529679,0.0573818303425,0.12916796941,0.000803780736951
6,7,1.0,F1044Q.VOB,0.0103327013821,0.00802114791958,0.000749779084392,0.00765417042495
7,8,1.16666666667,F1044Q.VOB,0.0920956790129,0.068722791645,0.0561962270647,0.00525968218168
8,9,1.33333333333,F1044Q.VOB,0.10983900688,0.0486048508062,0.0013931556937,0.0050793971519
9,10,1.5,F1044Q.VOB,0.035992449345,0.0176994807573,0.00133900404196,0.00411498104976
10,11,1.66666666667,F1044Q.VOB,0.00970912495861,0.0052607352788,0.00267568242778,6.21761670633e-05
11,12,1.83333333333,F1044Q.VOB,0.00385709327607,0.00321466779887,6.32738638813e-05,0.00375116742287
12,13,2.0,F1044Q.VOB,0.00282277625503,0.00936305534931,3.49487361273e-09,0.0194122146966
13,14,2.16666666667,F1044Q.VOB,0.000179032329064,0.00356880149964,0.00436499848904,0.00386702570817
14,15,2.33333333333,F1044Q.VOB,0.00462784685092,0.00434428880578,0.0054480294313,0.0003503919247
15,16,2.5,F1044Q.VOB,0.0416143826971,0.0434358351461,0.00545029073419,0.0593085150443
16,17,2.66666666667,F1044Q.VOB,0.0503100286836,0.028294891692,0.00464540933656,0.0140499708139
17,18,2.83333333333,F1044Q.VOB,0.0314180421443,0.0424876002312,0.00678314834347,0.0661592795075
18,19,3.0,F1044Q.VOB,0.10663692039,0.0596199200285,0.0137479235298,0.0139651219088
19,20,3.16666666667,F1044Q.VOB,0.00267198671741,0.00303581109958,0.00163136808412,0.00304217051262
20,21,3.33333333333,F1044Q.VOB,0.00852786264903,0.0320871489774,0.038158410107,0.0327219159086
21,22,3.5,F1044Q.VOB,0.0705700694435,0.0307782783376,0.00250485581687,5.95716567409e-07
22,23,3.66666666667,F1044Q.VOB,0.00436180050657,0.128213507645,0.261246022027,0.0266404484896
23,24,3.83333333333,F1044Q.VOB,0.000509266403489,0.0275789196593,0.0142507906346,0.0511862863609
24,25,4.0,F1044Q.VOB,0.00352403371387,0.00538883924771,0.00208375054274,0.00691510684707
25,26,4.16666666667,F1044Q.VOB,0.00500561994214,0.00297487346927,0.00114014596724,0.000839931414827
26,27,4.33333333333,F1044Q.VOB,0.000836149359431,0.0236572615662,0.0357576195201,0.0184106686371
27,28,4.5,F1044Q.VOB,0.0120664393885,0.00885381898387,0.00897042430235,3.83313800133e-05
28,29,4.66666666667,F1044Q.VOB,0.00528031813496,0.00504568105133,5.03129029661e-07,0.00670352675016
29,30,4.83333333333,F1044Q.VOB,0.0687312866614,0.0317860226683,0.00318630810465,0.00253919964734
30,31,5.0,F1044Q.VOB,0.0407404940487,0.0222952685685,0.0108903773979,0.000549705376313
31,32,5.16666666667,F1044Q.VOB,0.0359291903804,0.0994449782007,0.166665681845,0.0486106141667
32,33,5.33333333333,F1044Q.VOB,0.231457849662,0.124152116308,0.00612350115547,0.0618438427733
33,34,5.5,F1044Q.VOB,0.0082248857252,0.0392900924443,0.00076140540637,0.0849548807477
34,35,5.66666666667,F1044Q.VOB,0.0120414953673,0.0151832128897,0.00547277254084,0.0197607117218
35,36,5.83333333333,F1044Q.VOB,0.000624214398309,0.00251261742763,0.00225433616966,0.00301344376752
36,37,6.0,F1044Q.VOB,0.000364609172505,0.0236516737736,0.0543218286024,0.00130481985032
37,38,6.16666666667,F1044Q.VOB,0.00675122115019,0.00493203378831,0.00342462222364,0.00132525312923
38,39,6.33333333333,F1044Q.VOB,7.23628751276e-06,0.00131428166472,0.00015284769895,0.00296219165206
39,40,6.5,F1044Q.VOB,0.000410631016589,0.014860738706,0.0343388491837,0.00046899039521
40,41,6.66666666667,F1044Q.VOB,0.000102903803468,0.0158980336526,0.0169984515327,0.0207560215577
41,42,6.83333333333,F1044Q.VOB,0.000182061589916,0.0813680933452,0.192823969841,0.000267729541305
42,43,7.0,F1044Q.VOB,0.133344110442,0.0717088675916,0.00369871317262,0.036154953903
