frame,father,mother,therapist
1,0,0,0.00170778
2,2.15659e-05,0,0.00156546
3,2.15659e-05,0,0.00137571
4,1.07829e-05,0,0.000664137
5,0.000140178,0,0.00156546
6,2.15659e-05,6.32339e-06,0.00109108
7,0,0,0.00056926
8,0,6.32339e-06,0.00151803
9,0,0,0.00132827
10,0,0,0.000759013
11,7.54806e-05,0,0.00227704
12,5.39147e-05,0,0.00189753
13,5.39147e-06,6.32339e-06,0.000901328
14,0.00014557,1.26468e-05,0.00189753
15,0,6.32339e-06,0.00156546
16,5.39147e-06,6.32339e-06,0.00142315
17,0,0,0.00246679
18,5.39147e-06,6.32339e-06,0.00137571
19,1.07829e-05,0,0.00085389
20,0,0,0.0022296
21,0,0,0.00156546
22,5.39147e-06,6.32339e-06,0.000142315
23,0,0,0.00227704
24,0,6.32339e-06,0.00147059
25,0,6.32339e-06,0.000426945
26,0,6.32339e-06,0.00194497
27,0,6.32339e-06,0.00175522
28,0,6.32339e-06,0.000379507
29,0,1.89702e-05,0.00113852
30,5.39147e-06,6.32339e-06,0.000806452
31,5.39147e-06,6.32339e-06,0.000759013
32,5.39147e-06,6.32339e-06,0.00142315
33,0,0,0.000711575
34,5.39147e-06,0,0.000711575
35,5.39147e-06,6.32339e-06,0.0016129
36,1.61744e-05,0,0.00185009
37,5.39147e-06,1.89702e-05,0.0016129
38,5.39147e-06,1.26468e-05,0.00175522
39,0,1.89702e-05,0.00189753
40,0.000269574,0,0.00104364
41,0.000754806,0,0.00279886
42,0.00098664,2.52936e-05,0.00142315
43,0.00181693,6.32339e-06,0.000664137
44,0.00216737,0,0.00128083
45,0.00165518,0,0.0016129
46,0.000884202,1.26468e-05,0.000664137
47,0.00022105,1.26468e-05,0.00332068
48,2.69574e-05,6.32339e-06,0.00170778
49,5.93062e-05,0,0.00151803
50,0.000167136,0,0.00132827
51,5.93062e-05,0,0.000759013
52,0.000258791,0,0.0012334
53,0.000167136,0,0.00151803
54,0.000479841,5.05871e-05,0.00113852
55,0.00032888,0,0.000759013
56,0.000237225,1.89702e-05,0.00142315
57,0.000210268,6.32339e-06,0.00113852
58,7.00892e-05,0,0.00085389
59,3.23488e-05,0,0.00256167
60,4.31318e-05,6.32339e-06,0.00175522
61,2.15659e-05,0,0.000759013
62,0,1.26468e-05,0.00185009
63,8.08721e-05,6.32339e-06,0.000474383
64,0.000301923,0,0.00104364
65,0.000765589,6.32339e-06,0.000996205
66,0.00245312,6.32339e-06,0.00132827
67,0.00372551,6.32339e-06,0.00132827
68,0.0049332,0,0.00156546
69,0.00568261,6.32339e-06,0.0016129
70,0.00558557,6.32339e-06,9.48767e-05
71,0.00535913,0,0.00132827
72,0.00470137,6.32339e-06,0.00151803
73,0.00459354,2.52936e-05,0.00151803
74,0.00375786,6.32339e-06,0.00175522
75,0.00352602,0,0.00185009
76,0.00364464,6.32339e-06,0.00137571
77,0.00356376,2.52936e-05,0.00213472
78,0.00237764,1.89702e-05,0.00132827
79,0.00204876,6.32339e-06,0.00056926
80,0.00084107,0,0.00132827
81,0.00128856,0,0.0012334
82,0.0025286,6.32339e-06,9.48767e-05
83,0.00259869,6.32339e-06,0.0022296
84,0.00239381,6.32339e-06,0.00203985
85,0.00306236,6.32339e-06,0.00156546
86,0.00322949,6.32339e-06,0.00142315
87,0.00219972,1.26468e-05,0.0016129
88,0.00230755,0,0.000711575
89,0.00456658,1.26468e-05,0.00199241
90,0.00492781,6.32339e-06,0.00104364
91,0.00485233,1.89702e-05,0.000711575
92,0.00499251,1.26468e-05,0.00142315
93,0.00467441,2.52936e-05,0.0016129
94,0.0042377,1.26468e-05,0.000379507
95,0.00393578,1.26468e-05,0.00213472
96,0.00352063,1.89702e-05,0.00199241
97,0.0032241,0,0.00194497
98,0.00208111,0,0.000996205
99,0.00138022,0,0.00218216
100,0.00357455,6.32339e-06,0.00118596
101,0.00398969,1.89702e-05,0.000948767
102,0.00363925,0,0.000948767
103,0.00340741,6.32339e-06,0.00104364
104,0.00297609,0,0.00199241
105,0.00276583,0,0.00166034
106,0.00265261,0,0.000664137
107,0.00216737,0,0.00137571
108,0.000733241,0,0.00170778
109,0.00403282,1.89702e-05,0.00056926
110,0.0065129,0,0.00227704
111,0.00713831,6.32339e-06,0.000948767
112,0.00630803,0,0.00137571
113,0.00456119,0,0.00370019
114,0.00121308,1.89702e-05,0.00460152
115,0.00200024,6.32339e-06,0.00526565
116,0.0042377,1.26468e-05,0.00602467
117,0.00656143,6.32339e-06,0.00512334
118,0.00704666,6.32339e-06,0.00279886
119,0.0078392,0,0.00374763
120,0.00504642,6.32339e-06,0.00303605
121,0.00396273,0,0.00185009
122,0.00776372,3.79403e-05,0.0022296
123,0.00976396,1.89702e-05,0.00246679
124,0.00677169,6.32339e-06,0.000948767
125,0.00260408,1.26468e-05,0.00213472
126,0.00243695,2.52936e-05,0.00156546
127,0.00388725,6.32339e-06,0.00104364
128,0.00444797,5.05871e-05,0.00208729
129,0.00304618,6.32339e-06,0.00142315
130,0.00222129,6.32339e-06,0.000664137
131,0.00299766,6.32339e-06,0.00237192
132,0.00165518,6.32339e-06,0.00185009
133,0.00109986,6.32339e-06,0.000711575
134,0.0010136,6.32339e-06,0.00137571
135,4.31318e-05,1.89702e-05,0.00028463
136,4.31318e-05,0,0.00104364
137,4.85233e-05,1.26468e-05,0.00113852
138,4.31318e-05,6.32339e-06,0.000711575
139,0.000350446,0,0.000948767
140,0.000690109,0,0.00156546
141,0.00018331,1.26468e-05,0.00142315
142,4.85233e-05,0,0.000521822
143,1.61744e-05,1.89702e-05,0.00237192
144,1.61744e-05,0,0.00142315
145,4.85233e-05,6.32339e-06,0.00170778
146,1.61744e-05,6.32339e-06,0.00128083
147,3.23488e-05,0,0.00218216
148,3.77403e-05,6.32339e-06,0.00232448
149,2.15659e-05,6.32339e-06,0.00213472
150,5.39147e-06,3.79403e-05,0.00166034
151,7.54806e-05,0,0.000711575
152,0.000156353,6.32339e-06,0.00132827
153,5.93062e-05,6.32339e-06,0.00085389
154,8.62636e-05,0,0.000142315
155,2.69574e-05,0,0.00246679
156,4.31318e-05,1.89702e-05,0.00185009
157,0.000161744,0,0.00142315
158,0.00115378,1.89702e-05,0.00137571
159,0.00115917,1.26468e-05,0.00137571
160,0.00105673,6.32339e-06,0.00104364
161,0.00150422,6.32339e-06,0.00208729
162,0.00140178,3.1617e-05,0.00128083
163,0.000533756,1.89702e-05,0.000616698
164,0.000749415,0,0.00151803
165,0.000404361,0,0.00151803
166,0.000301923,6.32339e-06,9.48767e-05
167,0.00134248,6.32339e-06,0.00256167
168,0.00182771,0,0.00246679
169,0.00143413,1.26468e-05,0.00109108
