frame,mother,patient,therapist
1,0.0023377,7.52126e-05,0.00253593
2,0.00247678,0.000348713,0.00400409
3,0.00083451,0.000341876,0.00338123
4,0.000235375,0.000581189,0.00333674
5,0.000684726,0.000806827,0.00400409
6,0.000401207,0.000635889,0.00347021
7,0.000353062,0.000505976,0.00302531
8,0.000454701,0.000553839,0.00360368
9,0.000486798,0.000430763,0.00271389
10,0.000700775,0.000348713,0.00320327
11,0.000813113,0.000629051,0.00391511
12,0.000492147,0.000478626,0.00289184
13,0.000395857,0.000116238,0.00302531
14,0.000406556,0.000102563,0.0026694
15,6.41931e-05,0.000116238,0.00387062
16,2.67471e-05,0.000177775,0.00391511
17,8.55908e-05,0.000307688,0.00471593
18,0.000128386,0.000410251,0.00400409
19,0.000160483,2.73501e-05,0.00333674
20,0.000320965,8.88877e-05,0.00329225
21,0.000235375,2.05125e-05,0.00347021
22,0.000165832,2.05125e-05,0.00293633
23,0.000203278,0.000547001,0.0048494
24,0.000112338,0.000683751,0.00387062
25,0.000128386,0.000588026,0.00200205
26,0.000106988,0.000697426,0.00471593
27,5.34942e-06,0.00183929,0.00480491
28,1.60483e-05,0.00166835,0.00258042
29,5.34942e-06,0.000362388,0.00298082
30,5.34942e-06,0.00128545,0.00409307
31,0,0.000608539,0.0035147
32,0,0.000423926,0.00240246
33,5.34942e-06,0.000588026,0.00253593
34,0,0.000205125,0.00355919
35,5.34942e-06,0.00162733,0.00533879
36,0,0.00172305,0.00324776
37,5.34942e-06,0.0001641,0.00200205
38,5.34942e-06,0.000478626,0.00444899
39,5.34942e-06,0.000300851,0.00387062
40,5.34942e-06,7.52126e-05,0.00240246
41,0,0.000198288,0.00320327
42,0,8.20502e-05,0.0044045
43,5.34942e-06,5.47001e-05,0.00293633
44,0,0.000519651,0.00231348
45,0,0.000847852,0.00235797
46,0,0.0017504,0.00302531
47,0,0.00166152,0.00431552
48,0,0.000813664,0.00342572
49,0,0.000444438,0.00320327
50,5.34942e-06,0.00218117,0.0030698
51,0,0.00454695,0.0030698
52,1.06988e-05,0.00597599,0.00373715
53,5.34942e-06,0.00894347,0.0048494
54,1.06988e-05,0.00624949,0.00373715
55,5.34942e-06,0.00677598,0.00338123
56,2.67471e-05,0.00793835,0.00409307
57,2.13977e-05,0.00630419,0.00338123
58,5.34942e-06,0.00650248,0.00244695
59,0,0.00733665,0.00467144
60,0,0.00650931,0.00342572
61,5.34942e-06,0.00442387,0.00235797
62,5.34942e-06,0.00580505,0.00476042
63,0,0.00415037,0.0039596
64,0,0.0014222,0.00338123
65,0,0.00334354,0.00369266
66,0,0.00473156,0.00338123
67,0,0.00195553,0.00280287
68,5.34942e-06,0.00349397,0.00329225
69,5.34942e-06,0.00444438,0.00284736
70,0,0.00334354,0.0030698
71,0,0.00380849,0.00453797
72,5.34942e-06,0.00224954,0.00280287
73,0,0.00192818,0.00333674
74,0,0.00133332,0.00400409
75,5.34942e-06,0.000799989,0.00342572
76,0,0.000936739,0.00320327
77,5.34942e-06,0.0016957,0.00355919
78,1.06988e-05,0.000307688,0.00329225
79,1.06988e-05,0.000526489,0.0022245
80,1.06988e-05,0.000382901,0.00498287
81,5.34942e-06,0.000499138,0.00418205
82,0,0.000929902,0.0026694
83,0,0.00101879,0.00355919
84,0,0.000369226,0.00271389
85,0,0.001641,0.00249144
86,0,0.00122391,0.00404858
87,0,0.00123075,0.00284736
88,5.34942e-06,0.00157263,0.00342572
89,5.34942e-06,0.00231792,0.00431552
90,5.34942e-06,0.00261877,0.00347021
91,2.67471e-05,0.00271449,0.00262491
92,5.34942e-06,0.00284441,0.00378164
93,5.34942e-06,0.00233159,0.00391511
94,2.13977e-05,0.00182562,0.00240246
95,0,0.00155895,0.00329225
96,5.34942e-06,0.00118973,0.00249144
97,5.34942e-06,0.00106665,0.00333674
98,5.34942e-06,0.000670076,0.00311429
99,0,0.000608539,0.00320327
100,0,0.000929902,0.00315878
101,5.34942e-06,0.000485463,0.00533879
102,1.06988e-05,0.0001094,0.00387062
103,5.34942e-06,0,0.00293633
104,5.34942e-06,2.73501e-05,0.00315878
105,0,0.0002188,0.00338123
106,0,0.000847852,0.00311429
107,0,0.00126494,0.00444899
108,0,0.000177775,0.00369266
109,5.34942e-06,0.000690589,0.00209103
110,5.34942e-06,0.000396576,0.00449348
111,0,6.83751e-05,0.00293633
112,1.06988e-05,0.000184613,0.00382613
113,5.34942e-06,4.10251e-05,0.00413756
114,0,6.83751e-06,0.00311429
115,1.06988e-05,2.73501e-05,0.00271389
116,0,1.3675e-05,0.00226899
117,0,6.83751e-06,0.00209103
118,0,0,0.0026694
119,5.34942e-06,2.05125e-05,0.00467144
120,5.34942e-06,0,0.00315878
121,0,2.73501e-05,0.00244695
122,0,6.83751e-06,0.00413756
123,5.34942e-06,6.15376e-05,0.00315878
124,5.34942e-06,2.05125e-05,0.00320327
125,1.06988e-05,6.15376e-05,0.00436001
126,0,3.41876e-05,0.00400409
127,0,1.3675e-05,0.00298082
128,0,1.3675e-05,0.0030698
129,2.67471e-05,2.73501e-05,0.00315878
130,0.000304917,3.41876e-05,0.00298082
131,0.000888004,1.3675e-05,0.0052943
132,0.000406556,1.3675e-05,0.00355919
133,5.88437e-05,2.05125e-05,0.0026694
134,0.000706124,4.78626e-05,0.00347021
135,0.000861257,0,0.00298082
136,0.000235375,0,0.00244695
137,0.000882655,1.3675e-05,0.00453797
138,0.000711473,1.3675e-05,0.00329225
139,0.000235375,2.73501e-05,0.00355919
140,0.000208628,4.78626e-05,0.00391511
141,0.000299568,0.00013675,0.00311429
142,0.000518894,1.3675e-05,0.00364817
143,0.000353062,4.10251e-05,0.00533879
144,0.000797064,6.83751e-06,0.00311429
145,0.0013534,6.83751e-06,0.00244695
146,0.000577738,0,0.00387062
147,0.000898703,6.83751e-06,0.00400409
148,0.00182415,1.3675e-05,0.00360368
149,0.00184555,2.05125e-05,0.00338123
150,0.00131596,6.83751e-06,0.00391511
151,0.00127316,0,0.00213552
152,0.00115013,2.05125e-05,0.00458246
153,0.000620533,1.3675e-05,0.00355919
154,0.000716823,1.3675e-05,0.00347021
155,0.00123037,6.83751e-06,0.00347021
156,0.000272821,6.83751e-06,0.00329225
157,0.000320965,0,0.00213552
158,0.000411906,2.73501e-05,0.00329225
159,2.67471e-05,6.83751e-06,0.0039596
160,0.000331664,6.83751e-06,0.00391511
161,0.000668678,2.05125e-05,0.00364817
162,5.34942e-05,1.3675e-05,0.00507185
163,0.000224676,0,0.0057392
164,0.000577738,1.3675e-05,0.00836411
165,0.00018723,2.73501e-05,0.00996574
166,0.000486798,1.3675e-05,0.0140143
167,0.000898703,2.05125e-05,0.0170841
168,0.000818462,0,0.0159274
169,0.00064728,6.83751e-06,0.0181074
170,0.000706124,6.83751e-06,0.0196645
171,0.000213977,1.3675e-05,0.0232237
172,0.000540292,0,0.026694
173,0.00133201,2.73501e-05,0.0144592
174,0.000770317,0,0.00760778
175,0.000337014,0,0.00547226
176,0.000433303,1.3675e-05,0.00520532
177,0.000593786,1.3675e-05,0.00436001
178,0.000738221,1.3675e-05,0.00329225
179,0.000197929,0,0.00569471
180,6.41931e-05,0,0.00565022
181,4.27954e-05,8.88877e-05,0.00738533
182,0.00027817,0.00194869,0.00778574
183,0.000486798,0.00488198,0.0115229
184,0.000240724,0.00584607,0.0144147
185,3.20965e-05,0.00635889,0.0141033
186,1.06988e-05,0.00713836,0.0144147
187,5.34942e-06,0.00667341,0.0124127
188,0.000203278,0.00492301,0.0119233
189,6.95425e-05,0.00268714,0.0125906
190,1.60483e-05,0.00256407,0.0143702
191,1.06988e-05,0.00272817,0.0149041
192,5.34942e-06,0.001094,0.011078
193,1.06988e-05,0.00142904,0.0116119
194,1.06988e-05,0.00273501,0.0142813
195,1.60483e-05,0.00412986,0.0126351
196,0,0.00548369,0.0127241
197,5.34942e-06,0.00475891,0.0147707
198,5.34942e-06,0.00285124,0.0124127
199,0,0.00326149,0.0096988
200,5.34942e-06,0.00369226,0.00965431
201,5.34942e-06,0.0052307,0.00596165
202,3.20965e-05,0.00788365,0.00369266
203,5.34942e-06,0.0103862,0.00338123
204,0,0.0108101,0.00342572
205,5.34942e-06,0.0118015,0.00275838
206,1.06988e-05,0.0116716,0.00409307
207,2.13977e-05,0.00907338,0.00369266
208,0,0.00715888,0.00458246
209,0,0.00613325,0.00329225
210,5.34942e-06,0.00966141,0.00458246
211,0,0.0100648,0.00298082
212,1.06988e-05,0.0108101,0.00289184
213,1.06988e-05,0.0115622,0.00235797
214,5.34942e-06,0.0119383,0.00320327
215,1.60483e-05,0.0103657,0.00502736
216,5.34942e-06,0.00813664,0.00275838
217,5.34942e-06,0.0075828,0.00253593
218,5.34942e-06,0.00535377,0.00391511
219,0,0.00418456,0.00338123
220,0,0.00463583,0.00320327
221,5.34942e-06,0.00516916,0.00355919
222,0,0.00334354,0.00378164
223,0,0.00292646,0.00289184
224,1.60483e-05,0.00309739,0.0022245
225,5.34942e-06,0.00150425,0.00240246
226,1.06988e-05,0.000936739,0.00311429
227,0,0.00174357,0.00404858
228,1.06988e-05,0.00204442,0.00231348
229,1.60483e-05,0.0018051,0.0026694
230,1.06988e-05,0.00194185,0.00418205
231,0,0.000642726,0.00333674
232,0,0.000499138,0.00369266
233,0,0.000369226,0.00413756
234,0,0.00138802,0.0035147
