frame,patient,mother,therapist
1,0.00157043,0.00660404,0.00278006
2,0.00204892,0.0112148,0.00551454
3,0.000687062,0.00810699,0.00437517
4,0.000950844,0.00489731,0.0036004
5,0.00169925,0.00262379,0.00387385
6,0.00220841,0.00208247,0.00382827
7,0.00316539,0.00119726,0.00337253
8,0.0021348,0.000745104,0.00300793
9,0.00260715,0.000114631,0.00350925
10,0.00299363,8.91578e-05,0.00405615
11,0.00404876,0.000292947,0.00346368
12,0.00510389,0.000114631,0.00382827
13,0.00631238,6.36841e-05,0.00355483
14,0.00696877,3.18421e-05,0.0037827
15,0.00870483,0,0.00314465
16,0.010582,0.000146473,0.00332695
17,0.0114469,0.0014711,0.0032358
18,0.0117537,0.00303136,0.00369155
19,0.0120481,0.00416494,0.00369155
20,0.0160539,0.00724725,0.00300793
21,0.0191764,0.0119089,0.00337253
22,0.0201395,0.0222831,0.00437517
23,0.0177348,0.0310651,0.0123052
24,0.011312,0.0351409,0.0236533
25,0.00888886,0.0365037,0.0304439
26,0.00752701,0.0371915,0.0383283
27,0.00307951,0.0357586,0.0348191
28,0.0022943,0.0358096,0.025294
29,0.00253967,0.0370514,0.0182755
30,0.00205505,0.0363254,0.0130799
31,0.00460699,0.0348734,0.00761097
32,0.00929987,0.0352046,0.00364598
33,0.00850852,0.0324216,0.00464862
34,0.00272371,0.0285687,0.00401057
35,0.00146001,0.024996,0.00478534
36,0.00148454,0.0199522,0.00382827
37,0.000650255,0.0165069,0.00410172
38,0.00163791,0.0126477,0.0075654
39,0.00274825,0.00783315,0.00879592
40,0.00488918,0.0048782,0.0171361
41,0.00669272,0.00417768,0.0236533
42,0.00718961,0.00357905,0.0278006
43,0.00720188,0.00352173,0.0331328
44,0.00822634,0.00429231,0.0345456
45,0.00706692,0.00270658,0.0411084
46,0.00443523,0.000827894,0.0405615
47,0.00524498,0.00118452,0.0405159
48,0.00388926,0.0014711,0.0231975
49,0.00369909,0.00123547,0.0114848
50,0.0035764,0.00252189,0.00624373
51,0.00230043,0.00373826,0.00455747
52,0.00231883,0.00567426,0.00391942
53,0.00252127,0.00850183,0.00401057
54,0.0016195,0.011374,0.00464862
55,0.000723869,0.017978,0.00296236
56,0.000840424,0.0230537,0.00332695
57,0.000276052,0.0241681,0.00364598
58,0.000318993,0.0268874,0.00460304
59,0.000601179,0.0158064,0.0036004
60,0.000453952,0.0122719,0.00214201
61,0.000392607,0.0111129,0.00255218
62,0.000386472,0.00889667,0.00519552
63,0.000288321,0.00526668,0.00469419
64,0.00064412,0.00419042,0.00369155
65,0.00201824,0.00440694,0.00332695
66,0.001779,0.00474447,0.0034181
67,0.00125143,0.00725362,0.00319023
68,0.000791348,0.0076421,0.0041473
69,0.000545969,0.00599904,0.0037827
70,0.000828155,0.00676325,0.00405615
71,0.00192009,0.00794141,0.0034181
72,0.00167471,0.00551505,0.00291678
73,0.000662524,0.00906225,0.00309908
74,0.000429414,0.0252508,0.0037827
75,0.000926306,0.0275498,0.00350925
76,0.000785213,0.0202643,0.00437517
77,0.000754541,0.0158573,0.00291678
78,0.000668658,0.0175641,0.0037827
79,0.000717734,0.0172202,0.0032358
80,0.000276052,0.0182646,0.00255218
81,0.00012269,0.0180353,0.0032358
82,0.00012269,0.0182519,0.00619816
83,0.000263783,0.0165133,0.00492207
84,0.000294455,0.0116287,0.00337253
85,0.000545969,0.00636841,0.0030535
86,0.000864962,0.00468715,0.00451189
87,0.000631851,0.00343894,0.00391942
88,0.000269917,0.00408852,0.00369155
89,8.58827e-05,0.00640025,0.0041473
90,0.000460086,0.00698615,0.00464862
91,0.00041101,0.00704983,0.00264333
92,6.13448e-05,0.00354084,0.0037827
93,6.74793e-05,0.00146473,0.00300793
94,6.13448e-05,0.001815,0.00369155
95,4.29414e-05,0.002662,0.00410172
96,9.81517e-05,0.001452,0.00268891
97,2.45379e-05,0.000770578,0.00255218
98,0.000128824,0.00248368,0.00501322
99,0.000116555,0.00401847,0.00428402
100,0.000184034,0.00993472,0.00423845
101,0.00046622,0.013794,0.00369155
102,0.000515296,0.0146792,0.00419287
103,0.000116555,0.0182137,0.00278006
104,6.13448e-05,0.0187996,0.00223316
105,5.52103e-05,0.0147301,0.00236988
106,0.0003558,0.00659131,0.00405615
107,0.00064412,0.00549594,0.00437517
108,0.000312858,0.0056042,0.00287121
109,0.000116555,0.00379557,0.00259776
110,4.29414e-05,0.0060691,0.00551454
111,6.13448e-06,0.0061901,0.0041473
112,3.68069e-05,0.00472536,0.00268891
113,0.000147228,0.00318421,0.0034181
114,2.45379e-05,0.00362363,0.00296236
115,6.13448e-06,0.00999841,0.00332695
116,1.84034e-05,0.00996657,0.00236988
117,4.29414e-05,0.0058271,0.00405615
118,4.90758e-05,0.00522847,0.00337253
119,0.000134959,0.00496736,0.00428402
120,0.00041101,0.00282121,0.00246103
121,6.74793e-05,0.00194873,0.00264333
122,8.58827e-05,0.0021971,0.00387385
123,0.000165631,0.00163668,0.00423845
124,0.000472355,0.00126095,0.00300793
125,0.0012269,0.00122274,0.00332695
126,0.00145387,0.00364273,0.00469419
127,0.00399355,0.00863557,0.00273448
128,0.0083981,0.0167298,0.00246103
129,0.0114408,0.018946,0.00350925
130,0.0140296,0.0222321,0.00446632
131,0.0133118,0.0292692,0.00355483
132,0.0136615,0.0307276,0.00259776
133,0.00963113,0.0323324,0.00273448
134,0.00944096,0.0311734,0.0041473
135,0.0101587,0.0276389,0.00446632
136,0.014232,0.0237478,0.00469419
137,0.013091,0.0224487,0.0030535
138,0.0106679,0.0225824,0.0037827
139,0.0087539,0.0218373,0.00337253
140,0.00477876,0.0218373,0.00205086
141,0.00570507,0.0208438,0.00455747
142,0.00847172,0.0196657,0.0043296
143,0.0102875,0.0184939,0.00401057
144,0.0133486,0.0168126,0.00250661
145,0.0121401,0.0155453,0.00355483
146,0.00725096,0.0161821,0.00451189
147,0.00427573,0.0159083,0.00428402
148,0.00542901,0.0146091,0.00287121
149,0.00600566,0.0125967,0.00291678
150,0.00612835,0.00834899,0.00319023
151,0.00585229,0.0049801,0.00328138
152,0.00365002,0.0026811,0.00309908
153,0.00164404,0.0018341,0.00519552
154,0.00136799,0.003267,0.0113481
155,0.000864962,0.00424136,0.0230608
156,0.0005337,0.00368731,0.037189
157,0.0008895,0.002904,0.043615
158,0.00111034,0.00367457,0.0444353
159,0.000742272,0.00234994,0.0346823
160,0.000864962,0.00219073,0.0219214
161,0.00116555,0.00398026,0.0111202
162,0.00082202,0.00224805,0.00300793
163,0.000490758,0.00203789,0.00410172
164,0.000171765,0.00275115,0.012214
165,1.2269e-05,0.00233721,0.0221949
166,1.2269e-05,0.00175131,0.0321757
167,0.000251514,0.000573157,0.035685
168,0.00103673,0.000942525,0.0368699
169,0.00266236,0.00138195,0.036004
170,0.00385859,0.00189779,0.0298059
171,0.00199984,0.000872473,0.0168171
172,0.00228203,0.00137558,0.00501322
173,0.000503027,0.00149021,0.00428402
174,0.000251514,0.00166216,0.00469419
175,0.00187715,0.00289763,0.00255218
176,0.00234337,0.00226079,0.00410172
177,0.0012453,0.00142652,0.00401057
178,0.000699331,0.00138195,0.00405615
179,0.000717734,0.00191689,0.00428402
180,0.000785213,0.00124184,0.00241546
181,0.000472355,0.00080242,0.0030535
182,0.000392607,0.000974367,0.00492207
183,5.52103e-05,0.000827894,0.0043296
184,1.84034e-05,0.00106352,0.0043296
185,6.74793e-05,0.00152205,0.00300793
186,0.000134959,0.00113358,0.00373713
187,0.000116555,0.000566789,0.00309908
188,1.84034e-05,0.000757841,0.00350925
189,0,0.000917051,0.00300793
190,0,0.000980736,0.00346368
191,4.90758e-05,0.000866104,0.0043296
192,4.90758e-05,0.000165579,0.00355483
