frame,father,mother,patient,therapist,file
1,NA,0,0.0726885,0.000954459,F1044H.VOB
2,NA,1.33822e-05,0.0719734,0.00104536,F1044H.VOB
3,NA,4.01467e-05,0.0633921,0.00109081,F1044H.VOB
4,NA,1.33822e-05,0.0507165,0.000954459,F1044H.VOB
5,NA,5.35289e-05,0.0379988,0.000818107,F1044H.VOB
6,NA,2.67644e-05,0.0382232,0.000499955,F1044H.VOB
7,NA,2.67644e-05,0.0469306,0.000636306,F1044H.VOB
8,NA,4.01467e-05,0.0434533,0.000545405,F1044H.VOB
9,NA,4.01467e-05,0.0330211,0.00163621,F1044H.VOB
10,NA,4.01467e-05,0.0257859,0.000227252,F1044H.VOB
11,NA,6.69111e-05,0.017471,0.000545405,F1044H.VOB
12,NA,1.33822e-05,0.0169943,0,F1044H.VOB
13,NA,2.67644e-05,0.0205979,0.000636306,F1044H.VOB
14,NA,8.02933e-05,0.0306514,0.000681756,F1044H.VOB
15,NA,5.35289e-05,0.0326986,0.000863558,F1044H.VOB
16,NA,2.67644e-05,0.0177795,0.000863558,F1044H.VOB
17,NA,0,0.00961889,0.000727207,F1044H.VOB
18,NA,1.33822e-05,0.00883367,0.000409054,F1044H.VOB
19,NA,2.67644e-05,0.00715107,0,F1044H.VOB
20,NA,1.33822e-05,0.00441684,0.000954459,F1044H.VOB
21,NA,4.01467e-05,0.00210326,0.00109081,F1044H.VOB
22,NA,2.67644e-05,0.00238369,0.000681756,F1044H.VOB
23,NA,1.33822e-05,0.00129,0.000499955,F1044H.VOB
24,NA,2.67644e-05,0.00221543,0.000136351,F1044H.VOB
25,NA,2.67644e-05,0.00515999,0.000818107,F1044H.VOB
26,NA,2.67644e-05,0.00876357,0.00109081,F1044H.VOB
27,NA,5.35289e-05,0.0089178,0.00122716,F1044H.VOB
28,NA,1.33822e-05,0.00508988,0.000363603,F1044H.VOB
29,NA,1.33822e-05,0.00399619,0.000681756,F1044H.VOB
30,NA,0,0.00207521,0.000318153,F1044H.VOB
31,NA,4.01467e-05,0.00107967,0.000999909,F1044H.VOB
32,NA,1.33822e-05,0.00598727,0.000499955,F1044H.VOB
33,NA,5.35289e-05,0.0120867,0.000954459,F1044H.VOB
34,NA,5.35289e-05,0.0228694,0.000545405,F1044H.VOB
35,NA,5.35289e-05,0.0285482,0.000363603,F1044H.VOB
36,NA,0,0.0326986,0.000227252,F1044H.VOB
37,NA,5.35289e-05,0.0343672,0.000590855,F1044H.VOB
38,NA,2.67644e-05,0.0337082,0.000499955,F1044H.VOB
39,NA,5.35289e-05,0.0288426,0.00104536,F1044H.VOB
40,NA,0,0.0293194,0.000363603,F1044H.VOB
41,NA,6.69111e-05,0.0280013,0.000545405,F1044H.VOB
42,NA,4.01467e-05,0.0221543,0.000272702,F1044H.VOB
43,NA,1.33822e-05,0.0182843,0.000499955,F1044H.VOB
44,NA,4.01467e-05,0.0171065,0.00204527,F1044H.VOB
45,NA,0.000990285,0.0154239,0.00118171,F1044H.VOB
46,NA,0.000816316,0.0108668,0.000590855,F1044H.VOB
47,NA,0.00136499,0.0111192,0.000454504,F1044H.VOB
48,NA,0.0013516,0.00971704,0.000499955,F1044H.VOB
49,NA,0.00160587,0.0204156,0.000409054,F1044H.VOB
50,NA,0.00147204,0.0346056,0.000681756,F1044H.VOB
51,NA,0.00151219,0.0371996,0.00109081,F1044H.VOB
52,NA,0.00148543,0.0242716,0.00122716,F1044H.VOB
53,NA,0.00194042,0.0135169,0.000681756,F1044H.VOB
54,NA,0.00227498,0.0145966,0.000499955,F1044H.VOB
55,NA,0.00247571,0.0201492,0.000363603,F1044H.VOB
56,NA,0.00299762,0.017415,0.000863558,F1044H.VOB
57,NA,0.00291732,0.0154519,0.00131806,F1044H.VOB
58,NA,0.00297085,0.0149191,0.000863558,F1044H.VOB
59,NA,0.00294409,0.0134188,0.000454504,F1044H.VOB
60,NA,0.00327864,0.0105303,0.000227252,F1044H.VOB
61,NA,0.00345261,0.0101517,0.000954459,F1044H.VOB
