frame,father,mother,patient,therapist,file
1,1.55166e-05,0.0106787,NA,0.000759013,F1044M2.VOB
2,0,0.00999876,NA,0.00156546,F1044M2.VOB
3,0,0.0057489,NA,0.000426945,F1044M2.VOB
4,0,0.00366261,NA,0.00109108,F1044M2.VOB
5,0.00013965,0.00220993,NA,0.00166034,F1044M2.VOB
6,7.75831e-05,0.0011436,NA,0.000901328,F1044M2.VOB
7,0,0.000448167,NA,0.00028463,F1044M2.VOB
8,0,0.00064907,NA,0.00147059,F1044M2.VOB
9,0,0.000664524,NA,0.00175522,F1044M2.VOB
10,0,0.000695432,NA,0.000664137,F1044M2.VOB
11,0.000108616,0.00166904,NA,0.00175522,F1044M2.VOB
12,0.000558599,0.0013445,NA,0.00147059,F1044M2.VOB
13,0.000201716,0.00111269,NA,0.00113852,F1044M2.VOB
14,0,0.00108178,NA,0.00227704,F1044M2.VOB
15,9.30998e-05,0.00100451,NA,0.00189753,F1044M2.VOB
16,0,0.00112814,NA,0.00104364,F1044M2.VOB
17,0.000124133,0.00111269,NA,0.00260911,F1044M2.VOB
18,0,0.000386351,NA,0.00256167,F1044M2.VOB
19,0,0.000169994,NA,0.00109108,F1044M2.VOB
20,0,0.000463621,NA,0.00132827,F1044M2.VOB
21,0,0.000324535,NA,0.00147059,F1044M2.VOB
22,0,0.000355443,NA,0.000237192,F1044M2.VOB
23,3.10333e-05,0.00015454,NA,0.00213472,F1044M2.VOB
24,0.000170683,0.000432713,NA,0.00142315,F1044M2.VOB
25,0.000387916,0.000386351,NA,0.000759013,F1044M2.VOB
26,6.20665e-05,0.000525437,NA,0.00199241,F1044M2.VOB
27,6.20665e-05,9.27242e-05,NA,0.000379507,F1044M2.VOB
28,9.30998e-05,0.000139086,NA,0.000616698,F1044M2.VOB
29,0.000496532,0.000108178,NA,0.00128083,F1044M2.VOB
30,0.000620665,0.000139086,NA,0.00113852,F1044M2.VOB
31,0.00162925,6.18162e-05,NA,0.00147059,F1044M2.VOB
32,0.00251369,6.18162e-05,NA,0.00142315,F1044M2.VOB
33,0.00150511,4.63621e-05,NA,0.00104364,F1044M2.VOB
34,0.000263783,0.00015454,NA,0.000474383,F1044M2.VOB
35,0.00107065,3.09081e-05,NA,0.00294118,F1044M2.VOB
36,0.00141201,6.18162e-05,NA,0.00128083,F1044M2.VOB
37,0.00114823,4.63621e-05,NA,0.00085389,F1044M2.VOB
38,0.00103961,4.63621e-05,NA,0.00218216,F1044M2.VOB
39,0.000682732,1.5454e-05,NA,0.00113852,F1044M2.VOB
40,0.00125685,7.72702e-05,NA,0.000664137,F1044M2.VOB
41,0.00119478,4.63621e-05,NA,0.0016129,F1044M2.VOB
42,0.000962031,4.63621e-05,NA,0.000189753,F1044M2.VOB
43,0.00166028,0.000108178,NA,0.000759013,F1044M2.VOB
44,0.00164476,9.27242e-05,NA,0.00189753,F1044M2.VOB
45,0.000372399,1.5454e-05,NA,0.00118596,F1044M2.VOB
46,0.000124133,6.18162e-05,NA,0.000616698,F1044M2.VOB
47,3.10333e-05,1.5454e-05,NA,0.0022296,F1044M2.VOB
48,3.10333e-05,1.5454e-05,NA,0.00170778,F1044M2.VOB
49,0,6.18162e-05,NA,0.000664137,F1044M2.VOB
50,9.30998e-05,4.63621e-05,NA,0.00241935,F1044M2.VOB
51,0.000170683,4.63621e-05,NA,0.000948767,F1044M2.VOB
52,0.0001862,4.63621e-05,NA,0.000426945,F1044M2.VOB
53,6.20665e-05,4.63621e-05,NA,0.0012334,F1044M2.VOB
54,0.000558599,9.27242e-05,NA,0.000901328,F1044M2.VOB
55,0.00349124,0.000108178,NA,0.00109108,F1044M2.VOB
56,0.00304126,0.000169994,NA,0.00132827,F1044M2.VOB
57,0.00212578,0.000247265,NA,0.00175522,F1044M2.VOB
58,0.00162925,0.000525437,NA,0.000474383,F1044M2.VOB
59,0.00229646,0.000448167,NA,0.0012334,F1044M2.VOB
60,0.00133443,0.00015454,NA,0.00142315,F1044M2.VOB
61,0.000899964,0.000355443,NA,0.000948767,F1044M2.VOB
62,0.00144305,0.00122087,NA,0.0022296,F1044M2.VOB
63,0.00124133,0.000355443,NA,0.00180266,F1044M2.VOB
64,0.000325849,0.000278173,NA,0.000379507,F1044M2.VOB
65,6.20665e-05,0.000200903,NA,0.00270398,F1044M2.VOB
66,0,0.000216357,NA,0.00270398,F1044M2.VOB
67,0,6.18162e-05,NA,0.00241935,F1044M2.VOB
68,0.000713765,4.63621e-05,NA,0.00289374,F1044M2.VOB
69,0.0013034,6.18162e-05,NA,0.00379507,F1044M2.VOB
70,0.00172235,0.000169994,NA,0.00232448,F1044M2.VOB
71,0.000806865,0.000139086,NA,0.00450664,F1044M2.VOB
72,0.000124133,9.27242e-05,NA,0.00460152,F1044M2.VOB
73,3.10333e-05,0.000108178,NA,0.00237192,F1044M2.VOB
74,6.20665e-05,4.63621e-05,NA,0.00270398,F1044M2.VOB
75,0,6.18162e-05,NA,0.00109108,F1044M2.VOB
76,0,3.09081e-05,NA,0.00118596,F1044M2.VOB
77,0,0.00015454,NA,0.00218216,F1044M2.VOB
78,0,0.000772702,NA,0.00265655,F1044M2.VOB
79,0,0.00237992,NA,0.00654649,F1044M2.VOB
80,0,0.00604253,NA,0.00891841,F1044M2.VOB
81,0,0.00788156,NA,0.00744782,F1044M2.VOB
82,0,0.0104315,NA,0.00635674,F1044M2.VOB
83,0,0.0116369,NA,0.00754269,F1044M2.VOB
84,0,0.00981332,NA,0.00374763,F1044M2.VOB
85,0.000155166,0.00853063,NA,0.00199241,F1044M2.VOB
86,0.00166028,0.00690796,NA,0.0022296,F1044M2.VOB
87,0.0015827,0.00392533,NA,0.00175522,F1044M2.VOB
88,0.00276196,0.00200903,NA,0.00109108,F1044M2.VOB
89,0.0065325,0.00157631,NA,0.00270398,F1044M2.VOB
90,0.00789796,0.000324535,NA,0.00199241,F1044M2.VOB
91,0.00954273,0.000185448,NA,0.00199241,F1044M2.VOB
92,0.00895309,0.000123632,NA,0.00218216,F1044M2.VOB
93,0.0073704,7.72702e-05,NA,0.00189753,F1044M2.VOB
94,0.00603597,4.63621e-05,NA,0.00056926,F1044M2.VOB
95,0.00552392,0.00015454,NA,0.00322581,F1044M2.VOB
96,0.00619113,0.000169994,NA,0.00156546,F1044M2.VOB
97,0.00622217,7.72702e-05,NA,0.00199241,F1044M2.VOB
98,0.00571012,0.000139086,NA,0.00185009,F1044M2.VOB
99,0.00223439,0.000108178,NA,0.000379507,F1044M2.VOB
100,0.0013034,4.63621e-05,NA,0.00151803,F1044M2.VOB
101,0.00128788,7.72702e-05,NA,0.00213472,F1044M2.VOB
102,0.000512049,7.72702e-05,NA,0.000759013,F1044M2.VOB
103,0.000248266,7.72702e-05,NA,0.000474383,F1044M2.VOB
104,7.75831e-05,4.63621e-05,NA,0.00180266,F1044M2.VOB
105,0,0.000108178,NA,0.00132827,F1044M2.VOB
106,0,0.000200903,NA,0.000759013,F1044M2.VOB
107,4.65499e-05,0,NA,0.00113852,F1044M2.VOB
108,9.30998e-05,0,NA,0.00128083,F1044M2.VOB
109,1.55166e-05,0.000108178,NA,0.000521822,F1044M2.VOB
110,0.000325849,6.18162e-05,NA,0.00175522,F1044M2.VOB
111,0.00013965,4.63621e-05,NA,0.000759013,F1044M2.VOB
112,9.30998e-05,9.27242e-05,NA,0.00113852,F1044M2.VOB
113,0.000620665,7.72702e-05,NA,0.000948767,F1044M2.VOB
114,0.000915481,7.72702e-05,NA,0.00137571,F1044M2.VOB
115,0.00211026,6.18162e-05,NA,0.000379507,F1044M2.VOB
116,0.00290161,6.18162e-05,NA,0.00175522,F1044M2.VOB
117,0.00155166,1.5454e-05,NA,0.00132827,F1044M2.VOB
118,0.000325849,6.18162e-05,NA,0.000664137,F1044M2.VOB
119,4.65499e-05,3.09081e-05,NA,0.00199241,F1044M2.VOB
120,0,9.27242e-05,NA,0.00147059,F1044M2.VOB
121,3.10333e-05,9.27242e-05,NA,0.000711575,F1044M2.VOB
122,0.000574115,6.18162e-05,NA,0.00227704,F1044M2.VOB
123,9.30998e-05,9.27242e-05,NA,0.00128083,F1044M2.VOB
124,0.000124133,0.00015454,NA,0.00085389,F1044M2.VOB
125,0.00013965,0.000216357,NA,0.00213472,F1044M2.VOB
126,7.75831e-05,0.000278173,NA,0.00227704,F1044M2.VOB
127,1.55166e-05,0.000293627,NA,0.00085389,F1044M2.VOB
128,6.20665e-05,0.000741794,NA,0.00189753,F1044M2.VOB
129,0,0.000355443,NA,0.00128083,F1044M2.VOB
130,1.55166e-05,0.000355443,NA,0.000474383,F1044M2.VOB
131,0,0.000834518,NA,0.00147059,F1044M2.VOB
132,0,0.000772702,NA,0.00147059,F1044M2.VOB
133,0,0.000664524,NA,0.000664137,F1044M2.VOB
134,0,0.00072634,NA,0.00185009,F1044M2.VOB
135,0,0.000448167,NA,0.000521822,F1044M2.VOB
136,0,0.000432713,NA,0.000521822,F1044M2.VOB
137,0,0.000819064,NA,0.00147059,F1044M2.VOB
138,0,0.00106633,NA,0.00113852,F1044M2.VOB
139,0,0.000540891,NA,0.000521822,F1044M2.VOB
140,0,0.000309081,NA,0.0016129,F1044M2.VOB
141,0,0.000123632,NA,0.00166034,F1044M2.VOB
142,0,0.000108178,NA,0.000379507,F1044M2.VOB
143,1.55166e-05,7.72702e-05,NA,0.00279886,F1044M2.VOB
144,0,6.18162e-05,NA,0.00104364,F1044M2.VOB
145,0,0.00015454,NA,0.000901328,F1044M2.VOB
146,0,0.000247265,NA,0.00208729,F1044M2.VOB
147,3.10333e-05,6.18162e-05,NA,0.000521822,F1044M2.VOB
148,3.10333e-05,6.18162e-05,NA,0.0012334,F1044M2.VOB
149,0.000279299,3.09081e-05,NA,0.00132827,F1044M2.VOB
150,0.000481015,0.000339989,NA,0.000759013,F1044M2.VOB
151,0.000341366,0.00125178,NA,0.000901328,F1044M2.VOB
152,3.10333e-05,0.00298263,NA,0.00147059,F1044M2.VOB
153,0.000232749,0.00638252,NA,0.00208729,F1044M2.VOB
154,4.65499e-05,0.00934969,NA,0.000996205,F1044M2.VOB
155,0.000108616,0.0114051,NA,0.00194497,F1044M2.VOB
156,0.000325849,0.0121005,NA,0.00137571,F1044M2.VOB
157,0.000248266,0.0106633,NA,0.00175522,F1044M2.VOB
158,1.55166e-05,0.0177412,NA,0.00151803,F1044M2.VOB
159,0.000155166,0.0252364,NA,0.00109108,F1044M2.VOB
160,0.000124133,0.0286672,NA,0.00137571,F1044M2.VOB
161,1.55166e-05,0.0284663,NA,0.00137571,F1044M2.VOB
162,0,0.0243556,NA,0.000664137,F1044M2.VOB
163,6.20665e-05,0.0199975,NA,0.00028463,F1044M2.VOB
164,0.000248266,0.0142023,NA,0.00199241,F1044M2.VOB
165,6.20665e-05,0.00568709,NA,0.00132827,F1044M2.VOB
166,1.55166e-05,0.00135996,NA,0.000616698,F1044M2.VOB
167,0.000108616,0.00152995,NA,0.00118596,F1044M2.VOB
168,0,0.00152995,NA,0.00113852,F1044M2.VOB
169,1.55166e-05,0.00135996,NA,0.000379507,F1044M2.VOB
170,0.00013965,0.00194721,NA,0.00232448,F1044M2.VOB
171,0,0.00234901,NA,0.00085389,F1044M2.VOB
172,1.55166e-05,0.00332262,NA,0.000426945,F1044M2.VOB
173,0,0.00288991,NA,0.000759013,F1044M2.VOB
174,1.55166e-05,0.00251901,NA,0.000948767,F1044M2.VOB
175,0,0.00853063,NA,0.000948767,F1044M2.VOB
176,0.000170683,0.0135996,NA,0.00151803,F1044M2.VOB
177,0,0.00931879,NA,0.0016129,F1044M2.VOB
178,1.55166e-05,0.00496075,NA,0.000664137,F1044M2.VOB
179,0.000108616,0.00381715,NA,0.00246679,F1044M2.VOB
180,0.000108616,0.00293627,NA,0.00118596,F1044M2.VOB
