frame;father;mother;patient;therapist;file
1;NA;NA;1;1;F1044F.VOB
2;NA;NA;1;1;F1044F.VOB
3;NA;NA;1;1;F1044F.VOB
4;NA;NA;1;1;F1044F.VOB
5;NA;NA;1;1;F1044F.VOB
6;NA;NA;1;1;F1044F.VOB
7;NA;NA;1;1;F1044F.VOB
8;NA;NA;1;1;F1044F.VOB
9;NA;NA;1;1;F1044F.VOB
10;NA;NA;1;1;F1044F.VOB
11;NA;NA;1;1;F1044F.VOB
12;NA;NA;1;1;F1044F.VOB
13;NA;NA;1;1;F1044F.VOB
14;NA;NA;1;1;F1044F.VOB
15;NA;NA;1;1;F1044F.VOB
16;NA;NA;1;1;F1044F.VOB
17;NA;NA;1;1;F1044F.VOB
18;NA;NA;1;1;F1044F.VOB
19;NA;NA;1;1;F1044F.VOB
20;NA;NA;1;1;F1044F.VOB
21;NA;NA;1;1;F1044F.VOB
22;NA;NA;1;1;F1044F.VOB
23;NA;NA;1;1;F1044F.VOB
24;NA;NA;1;1;F1044F.VOB
25;NA;NA;1;1;F1044F.VOB
26;NA;NA;1;2;F1044F.VOB
27;NA;NA;1;2;F1044F.VOB
28;NA;NA;1;2;F1044F.VOB
29;NA;NA;1;2;F1044F.VOB
30;NA;NA;1;2;F1044F.VOB
31;NA;NA;1;2;F1044F.VOB
32;NA;NA;1;2;F1044F.VOB
33;NA;NA;1;2;F1044F.VOB
34;NA;NA;1;2;F1044F.VOB
35;NA;NA;1;2;F1044F.VOB
36;NA;NA;1;2;F1044F.VOB
37;NA;NA;1;2;F1044F.VOB
38;NA;NA;1;2;F1044F.VOB
39;NA;NA;1;2;F1044F.VOB
40;NA;NA;1;2;F1044F.VOB
41;NA;NA;1;2;F1044F.VOB
42;NA;NA;1;2;F1044F.VOB
43;NA;NA;1;2;F1044F.VOB
44;NA;NA;1;2;F1044F.VOB
45;NA;NA;1;2;F1044F.VOB
46;NA;NA;1;2;F1044F.VOB
47;NA;NA;1;2;F1044F.VOB
48;NA;NA;1;2;F1044F.VOB
49;NA;NA;1;2;F1044F.VOB
50;NA;NA;1;2;F1044F.VOB
51;NA;NA;1;3;F1044F.VOB
52;NA;NA;1;3;F1044F.VOB
53;NA;NA;1;3;F1044F.VOB
54;NA;NA;1;3;F1044F.VOB
55;NA;NA;1;3;F1044F.VOB
56;NA;NA;1;3;F1044F.VOB
57;NA;NA;1;3;F1044F.VOB
58;NA;NA;1;3;F1044F.VOB
59;NA;NA;1;3;F1044F.VOB
60;NA;NA;1;3;F1044F.VOB
61;NA;NA;1;3;F1044F.VOB
62;NA;NA;1;3;F1044F.VOB
63;NA;NA;1;3;F1044F.VOB
64;NA;NA;1;3;F1044F.VOB
65;NA;NA;1;3;F1044F.VOB
66;NA;NA;1;3;F1044F.VOB
67;NA;NA;1;3;F1044F.VOB
68;NA;NA;1;3;F1044F.VOB
69;NA;NA;1;3;F1044F.VOB
70;NA;NA;1;3;F1044F.VOB
71;NA;NA;1;3;F1044F.VOB
72;NA;NA;1;3;F1044F.VOB
73;NA;NA;1;3;F1044F.VOB
74;NA;NA;1;3;F1044F.VOB
75;NA;NA;1;3;F1044F.VOB
76;NA;NA;1;4;F1044F.VOB
77;NA;NA;1;4;F1044F.VOB
78;NA;NA;1;4;F1044F.VOB
79;NA;NA;1;4;F1044F.VOB
80;NA;NA;1;4;F1044F.VOB
81;NA;NA;1;4;F1044F.VOB
82;NA;NA;1;4;F1044F.VOB
83;NA;NA;1;4;F1044F.VOB
84;NA;NA;1;4;F1044F.VOB
85;NA;NA;1;4;F1044F.VOB
86;NA;NA;1;4;F1044F.VOB
87;NA;NA;1;4;F1044F.VOB
88;NA;NA;1;4;F1044F.VOB
89;NA;NA;1;4;F1044F.VOB
90;NA;NA;1;4;F1044F.VOB
91;NA;NA;1;4;F1044F.VOB
92;NA;NA;1;4;F1044F.VOB
93;NA;NA;1;4;F1044F.VOB
94;NA;NA;1;4;F1044F.VOB
95;NA;NA;1;4;F1044F.VOB
96;NA;NA;1;4;F1044F.VOB
97;NA;NA;1;4;F1044F.VOB
98;NA;NA;1;4;F1044F.VOB
99;NA;NA;1;4;F1044F.VOB
100;NA;NA;1;4;F1044F.VOB
