frame,father,mother,patient,therapist,file
1,0.00559256,1.94841e-05,0.00518795,NA,F1044D1.VOB
2,0.00463078,1.94841e-05,0.00844142,NA,F1044D1.VOB
3,0.00178107,3.89681e-05,0.00993625,NA,F1044D1.VOB
4,0.000374025,0,0.0120026,NA,F1044D1.VOB
5,0.000142486,5.84522e-05,0.0124423,NA,F1044D1.VOB
6,0.000160296,7.79362e-05,0.0113871,NA,F1044D1.VOB
7,0.000178107,1.94841e-05,0.00976039,NA,F1044D1.VOB
8,0.00106864,3.89681e-05,0.0107276,NA,F1044D1.VOB
9,0.000160296,1.94841e-05,0.0075621,NA,F1044D1.VOB
10,7.12428e-05,0,0.00839745,NA,F1044D1.VOB
11,0.000142486,1.94841e-05,0.00998022,NA,F1044D1.VOB
12,0.000106864,1.94841e-05,0.0102,NA,F1044D1.VOB
13,3.56214e-05,1.94841e-05,0.00883711,NA,F1044D1.VOB
14,8.90535e-05,1.94841e-05,0.011519,NA,F1044D1.VOB
15,0.000195918,0,0.0110794,NA,F1044D1.VOB
16,0.000427457,3.89681e-05,0.00738624,NA,F1044D1.VOB
17,0.000552132,7.79362e-05,0.00514399,NA,F1044D1.VOB
18,0.000730239,1.94841e-05,0.00272587,NA,F1044D1.VOB
19,7.12428e-05,1.94841e-05,0.00430864,NA,F1044D1.VOB
20,7.12428e-05,0,0.00778193,NA,F1044D1.VOB
21,5.34321e-05,1.94841e-05,0.00672675,NA,F1044D1.VOB
22,0.000605564,0,0.00712244,NA,F1044D1.VOB
23,0.000658996,1.94841e-05,0.00808969,NA,F1044D1.VOB
24,0.000587753,3.89681e-05,0.00413278,NA,F1044D1.VOB
25,0.000516511,0,0.0015388,NA,F1044D1.VOB
26,0.000391836,1.94841e-05,0.00197846,NA,F1044D1.VOB
27,0.000480889,0,0.00360519,NA,F1044D1.VOB
28,0.000284971,0,0.00479226,NA,F1044D1.VOB
29,0.000195918,0,0.00874918,NA,F1044D1.VOB
30,0.000356214,0,0.00677072,NA,F1044D1.VOB
31,0.000284971,0,0.00721038,NA,F1044D1.VOB
32,8.90535e-05,0,0.00839745,NA,F1044D1.VOB
33,0.000569943,0,0.00338536,NA,F1044D1.VOB
34,0.00174545,0,0.00123104,NA,F1044D1.VOB
35,0.00138924,0,0.00417674,NA,F1044D1.VOB
36,0.000267161,0,0.00501209,NA,F1044D1.VOB
37,0.000213728,0,0.00553968,NA,F1044D1.VOB
38,0.00131799,1.94841e-05,0.00677072,NA,F1044D1.VOB
39,0.000356214,0,0.0060233,NA,F1044D1.VOB
40,0.000124675,0,0.00619916,NA,F1044D1.VOB
41,0.000195918,0,0.00624313,NA,F1044D1.VOB
42,0.000552132,1.94841e-05,0.00404485,NA,F1044D1.VOB
43,0.000160296,0,0.00575951,NA,F1044D1.VOB
44,3.56214e-05,0,0.0075621,NA,F1044D1.VOB
45,0.000195918,0,0.0074302,NA,F1044D1.VOB
46,0.000231539,1.94841e-05,0.00650692,NA,F1044D1.VOB
47,0.000480889,0,0.00699055,NA,F1044D1.VOB
48,0.000124675,0,0.00619916,NA,F1044D1.VOB
49,0.000231539,0,0.00373709,NA,F1044D1.VOB
50,0.000124675,0,0.00276984,NA,F1044D1.VOB
51,1.78107e-05,0,0.00241811,NA,F1044D1.VOB
52,0.000195918,1.94841e-05,0.00386898,NA,F1044D1.VOB
53,0.000160296,0,0.00531985,NA,F1044D1.VOB
54,8.90535e-05,0,0.00694658,NA,F1044D1.VOB
55,0.000142486,1.94841e-05,0.00738624,NA,F1044D1.VOB
56,0.000623375,1.94841e-05,0.00668279,NA,F1044D1.VOB
57,0.000142486,0,0.00426467,NA,F1044D1.VOB
58,1.78107e-05,1.94841e-05,0.00224225,NA,F1044D1.VOB
59,0.000124675,1.94841e-05,0.00219829,NA,F1044D1.VOB
60,0.000356214,1.94841e-05,0.0030776,NA,F1044D1.VOB
61,0.00313468,0,0.00430864,NA,F1044D1.VOB
62,0.00787233,0,0.00958452,NA,F1044D1.VOB
63,0.00876287,0,0.00712244,NA,F1044D1.VOB
64,0.00986713,1.94841e-05,0.00668279,NA,F1044D1.VOB
65,0.0108645,0,0.0078259,NA,F1044D1.VOB
66,0.00940405,3.89681e-05,0.00364915,NA,F1044D1.VOB
67,0.00883411,0,0.00228622,NA,F1044D1.VOB
68,0.0120222,0,0.00290174,NA,F1044D1.VOB
69,0.00787233,1.94841e-05,0.0046164,NA,F1044D1.VOB
70,0.00762298,1.94841e-05,0.0062871,NA,F1044D1.VOB
71,0.00728458,0,0.00800176,NA,F1044D1.VOB
72,0.00726677,0,0.00593537,NA,F1044D1.VOB
73,0.00669683,0,0.00466036,NA,F1044D1.VOB
74,0.0107755,0,0.00527588,NA,F1044D1.VOB
75,0.0130018,0,0.00171466,NA,F1044D1.VOB
76,0.0132334,0,0.00228622,NA,F1044D1.VOB
77,0.0168133,0,0.00518795,NA,F1044D1.VOB
78,0.0247035,1.94841e-05,0.00571554,NA,F1044D1.VOB
79,0.0240088,1.94841e-05,0.00655089,NA,F1044D1.VOB
80,0.0242938,0,0.00633106,NA,F1044D1.VOB
81,0.0237773,0,0.0061552,NA,F1044D1.VOB
82,0.0218003,0,0.00259398,NA,F1044D1.VOB
83,0.0203576,0,0.0015388,NA,F1044D1.VOB
84,0.0150322,5.84522e-05,0.00193449,NA,F1044D1.VOB
85,0.0111495,0,0.00426467,NA,F1044D1.VOB
86,0.0108823,0,0.00765003,NA,F1044D1.VOB
87,0.00856695,1.94841e-05,0.00496812,NA,F1044D1.VOB
88,0.00922595,0,0.00496812,NA,F1044D1.VOB
89,0.0123428,0,0.00571554,NA,F1044D1.VOB
90,0.0168311,0,0.00211035,NA,F1044D1.VOB
91,0.0184163,1.94841e-05,0.00092328,NA,F1044D1.VOB
92,0.0187012,0,0.00189053,NA,F1044D1.VOB
93,0.0120222,0,0.00290174,NA,F1044D1.VOB
94,0.00792576,0,0.00404485,NA,F1044D1.VOB
95,0.00769423,0,0.00558364,NA,F1044D1.VOB
96,0.00555694,1.94841e-05,0.00430864,NA,F1044D1.VOB
97,0.00304563,0,0.00382502,NA,F1044D1.VOB
98,0.00313468,0,0.0046164,NA,F1044D1.VOB
99,0.00024935,0,0.00162673,NA,F1044D1.VOB
100,0.000427457,1.94841e-05,0.00180259,NA,F1044D1.VOB
101,0.00160296,1.94841e-05,0.00360519,NA,F1044D1.VOB
102,0.000961778,1.94841e-05,0.00378105,NA,F1044D1.VOB
103,0.000890535,1.94841e-05,0.00417674,NA,F1044D1.VOB
104,0.00137142,1.94841e-05,0.00466036,NA,F1044D1.VOB
105,0.000374025,0,0.00250605,NA,F1044D1.VOB
106,0.000284971,3.89681e-05,0.00105518,NA,F1044D1.VOB
107,0.000178107,0,0.00193449,NA,F1044D1.VOB
108,3.56214e-05,1.94841e-05,0.00127501,NA,F1044D1.VOB
109,7.12428e-05,1.94841e-05,0.00180259,NA,F1044D1.VOB
110,7.12428e-05,1.94841e-05,0.00351726,NA,F1044D1.VOB
111,7.12428e-05,0,0.00298967,NA,F1044D1.VOB
112,0,1.94841e-05,0.00263794,NA,F1044D1.VOB
113,3.56214e-05,0,0.00496812,NA,F1044D1.VOB
114,5.34321e-05,0,0.00250605,NA,F1044D1.VOB
115,0,1.94841e-05,0.00404485,NA,F1044D1.VOB
116,0,0,0.00457243,NA,F1044D1.VOB
117,3.56214e-05,0,0.00496812,NA,F1044D1.VOB
118,1.78107e-05,0,0.00426467,NA,F1044D1.VOB
119,0,0,0.0058914,NA,F1044D1.VOB
120,5.34321e-05,5.84522e-05,0.00259398,NA,F1044D1.VOB
121,1.78107e-05,0,0.00193449,NA,F1044D1.VOB
122,0,0,0.00290174,NA,F1044D1.VOB
123,0,0,0.00417674,NA,F1044D1.VOB
124,0,0,0.00545175,NA,F1044D1.VOB
125,0,0,0.00637503,NA,F1044D1.VOB
126,0,3.89681e-05,0.00716641,NA,F1044D1.VOB
127,1.78107e-05,0,0.007694,NA,F1044D1.VOB
128,3.56214e-05,1.94841e-05,0.0123104,NA,F1044D1.VOB
