frame,father,mother,patient,therapist,file
1,NA,0.00541864,0.00260775,0.00278006,F1044P.VOB
2,NA,0.0106833,0.00338192,0.00551454,F1044P.VOB
3,NA,0.00674251,0.00114089,0.00437517,F1044P.VOB
4,NA,0.00369452,0.00154835,0.0036004,F1044P.VOB
5,NA,0.00112375,0.00278092,0.00387385,F1044P.VOB
6,NA,0.000646542,0.00366715,0.00382827,F1044P.VOB
7,NA,0.000692723,0.00525624,0.00337253,F1044P.VOB
8,NA,0.000461816,0.00353472,0.00300793,F1044P.VOB
9,NA,0.000184726,0.00432927,0.00350925,F1044P.VOB
10,NA,0.000107757,0.00497102,0.00405615,F1044P.VOB
11,NA,0.000153939,0.00671291,0.00346368,F1044P.VOB
12,NA,0.000123151,0.00843443,0.00382827,F1044P.VOB
13,NA,0.000107757,0.0104412,0.00355483,F1044P.VOB
14,NA,1.53939e-05,0.0115515,0.0037827,F1044P.VOB
15,NA,0,0.0143426,0.00314465,F1044P.VOB
16,NA,0.000354059,0.0174699,0.00332695,F1044P.VOB
17,NA,0.0035098,0.019008,0.0032358,F1044P.VOB
18,NA,0.00731208,0.019497,0.00369155,F1044P.VOB
19,NA,0.00986746,0.0197924,0.00369155,F1044P.VOB
20,NA,0.013562,0.0204953,0.00300793,F1044P.VOB
21,NA,0.0161943,0.0184783,0.00337253,F1044P.VOB
22,NA,0.0206893,0.0155039,0.00437517,F1044P.VOB
23,NA,0.0226136,0.0103699,0.0123052,F1044P.VOB
24,NA,0.0250304,0.00525624,0.0236533,F1044P.VOB
25,NA,0.0272009,0.00315782,0.0304439,F1044P.VOB
26,NA,0.0310032,0.00492009,0.0383283,F1044P.VOB
27,NA,0.0337433,0.00330043,0.0348191,F1044P.VOB
28,NA,0.0345746,0.00321894,0.025294,F1044P.VOB
29,NA,0.0362217,0.00311707,0.0182755,F1044P.VOB
30,NA,0.0335894,0.00257719,0.0130799,F1044P.VOB
31,NA,0.0296947,0.00259756,0.00761097,F1044P.VOB
32,NA,0.0272933,0.0027198,0.00364598,F1044P.VOB
33,NA,0.0269854,0.00198637,0.00464862,F1044P.VOB
34,NA,0.0278937,0.00170115,0.00401057,F1044P.VOB
35,NA,0.0276012,0.00124275,0.00478534,F1044P.VOB
36,NA,0.022552,0.0012122,0.00382827,F1044P.VOB
37,NA,0.016964,0.000743616,0.00410172,F1044P.VOB
38,NA,0.00989825,0.00141593,0.0075654,F1044P.VOB
39,NA,0.00272471,0.00238364,0.00879592,F1044P.VOB
40,NA,0.00181647,0.00495065,0.0171361,F1044P.VOB
41,NA,0.00364834,0.00863816,0.0236533,F1044P.VOB
42,NA,0.00477209,0.010543,0.0278006,F1044P.VOB
43,NA,0.00517233,0.0100643,0.0331328,F1044P.VOB
44,NA,0.0052647,0.00982999,0.0345456,F1044P.VOB
45,NA,0.00358677,0.00761951,0.0411084,F1044P.VOB
46,NA,0.00183187,0.00577575,0.0405615,F1044P.VOB
47,NA,0.00197041,0.00643788,0.0405159,F1044P.VOB
48,NA,0.000831268,0.00532755,0.0231975,F1044P.VOB
49,NA,0.000615754,0.00496083,0.0114848,F1044P.VOB
50,NA,0.000615754,0.00476729,0.00624373,F1044P.VOB
51,NA,0.000461816,0.00346342,0.00455747,F1044P.VOB
52,NA,0.000661936,0.00348379,0.00391942,F1044P.VOB
53,NA,0.0020012,0.00213917,0.00401057,F1044P.VOB
54,NA,0.00377149,0.000560258,0.00464862,F1044P.VOB
55,NA,0.00705038,0.000957532,0.00296236,F1044P.VOB
56,NA,0.00909777,0.00131406,0.00332695,F1044P.VOB
57,NA,0.0104986,0.00043802,0.00364598,F1044P.VOB
58,NA,0.0103755,0.000529699,0.00460304,F1044P.VOB
59,NA,0.00869753,0.000998278,0.0036004,F1044P.VOB
60,NA,0.0123459,0.000753802,0.00214201,F1044P.VOB
61,NA,0.0132695,0.000651937,0.00255218,F1044P.VOB
62,NA,0.0126076,0.00064175,0.00519552,F1044P.VOB
63,NA,0.0104678,0.000478766,0.00469419,F1044P.VOB
64,NA,0.00986746,0.00106958,0.00369155,F1044P.VOB
65,NA,0.00969813,0.00335136,0.00332695,F1044P.VOB
66,NA,0.00749681,0.00295409,0.0034181,F1044P.VOB
67,NA,0.00928249,0.00207805,0.00319023,F1044P.VOB
68,NA,0.0123767,0.00131406,0.0041473,F1044P.VOB
69,NA,0.00828189,0.0009066,0.0037827,F1044P.VOB
70,NA,0.00765074,0.00137518,0.00405615,F1044P.VOB
71,NA,0.00906698,0.00318838,0.0034181,F1044P.VOB
72,NA,0.00761996,0.00278092,0.00291678,F1044P.VOB
73,NA,0.00592663,0.00110014,0.00309908,F1044P.VOB
74,NA,0.00840504,0.000713056,0.0037827,F1044P.VOB
75,NA,0.00588045,0.00153816,0.00350925,F1044P.VOB
76,NA,0.00641924,0.00130387,0.00437517,F1044P.VOB
77,NA,0.00755838,0.00125294,0.00291678,F1044P.VOB
78,NA,0.00895922,0.00111033,0.0037827,F1044P.VOB
79,NA,0.0105294,0.00119182,0.0032358,F1044P.VOB
80,NA,0.0103908,0.000458393,0.00255218,F1044P.VOB
81,NA,0.00897462,0.00020373,0.0032358,F1044P.VOB
82,NA,0.00709657,0.00020373,0.00619816,F1044P.VOB
83,NA,0.00591124,0.00043802,0.00492207,F1044P.VOB
84,NA,0.00409476,0.000488953,0.00337253,F1044P.VOB
85,NA,0.0034944,0.0009066,0.0030535,F1044P.VOB
86,NA,0.00471052,0.0014363,0.00451189,F1044P.VOB
87,NA,0.0040178,0.00104921,0.00391942,F1044P.VOB
88,NA,0.00387925,0.000448207,0.00369155,F1044P.VOB
89,NA,0.00498761,0.000142611,0.0041473,F1044P.VOB
90,NA,0.00503379,0.000763989,0.00464862,F1044P.VOB
91,NA,0.0052647,0.000682497,0.00264333,F1044P.VOB
92,NA,0.00421792,0.000101865,0.0037827,F1044P.VOB
93,NA,0.00184726,0.000112052,0.00300793,F1044P.VOB
94,NA,0.000492603,0.000101865,0.00369155,F1044P.VOB
95,NA,0.000569573,7.13056e-05,0.00410172,F1044P.VOB
96,NA,0.000584966,0.000152798,0.00268891,F1044P.VOB
97,NA,0.000446422,4.07461e-05,0.00255218,F1044P.VOB
98,NA,0.000477209,0.000213917,0.00501322,F1044P.VOB
99,NA,0.000538785,0.000193544,0.00428402,F1044P.VOB
100,NA,0.00107757,0.000305595,0.00423845,F1044P.VOB
101,NA,0.00292483,0.000774175,0.00369155,F1044P.VOB
102,NA,0.00518773,0.000855667,0.00419287,F1044P.VOB
103,NA,0.0114068,0.000193544,0.00278006,F1044P.VOB
104,NA,0.0173181,0.000101865,0.00223316,F1044P.VOB
105,NA,0.0156402,9.16786e-05,0.00236988,F1044P.VOB
106,NA,0.00717353,0.000590818,0.00405615,F1044P.VOB
107,NA,0.00203199,0.00106958,0.00437517,F1044P.VOB
108,NA,0.000661936,0.000519512,0.00287121,F1044P.VOB
109,NA,0.000862056,0.000193544,0.00259776,F1044P.VOB
110,NA,0.00189344,7.13056e-05,0.00551454,F1044P.VOB
111,NA,0.00160096,1.01865e-05,0.0041473,F1044P.VOB
112,NA,0.000523391,5.09326e-05,0.00268891,F1044P.VOB
113,NA,0.00103139,0.000244476,0.0034181,F1044P.VOB
114,NA,0.00163175,4.07461e-05,0.00296236,F1044P.VOB
115,NA,0.00483367,1.01865e-05,0.00332695,F1044P.VOB
116,NA,0.0024938,3.05595e-05,0.00236988,F1044P.VOB
117,NA,0.00118533,7.13056e-05,0.00405615,F1044P.VOB
118,NA,0.00109296,8.14921e-05,0.00337253,F1044P.VOB
119,NA,0.000246302,0.000224103,0.00428402,F1044P.VOB
120,NA,0.000123151,0.000682497,0.00246103,F1044P.VOB
121,NA,0.00020012,0.000112052,0.00264333,F1044P.VOB
122,NA,0.000153939,0.000142611,0.00387385,F1044P.VOB
123,NA,1.53939e-05,0.000275036,0.00423845,F1044P.VOB
124,NA,1.53939e-05,0.000784362,0.00300793,F1044P.VOB
125,NA,1.53939e-05,0.0020373,0.00332695,F1044P.VOB
126,NA,0.000338665,0.0024142,0.00469419,F1044P.VOB
127,NA,0.00198581,0.00656012,0.00273448,F1044P.VOB
128,NA,0.00592663,0.0139453,0.00246103,F1044P.VOB
129,NA,0.00780468,0.0189775,0.00350925,F1044P.VOB
130,NA,0.0116685,0.0232966,0.00446632,F1044P.VOB
131,NA,0.0225212,0.0220538,0.00355483,F1044P.VOB
132,NA,0.0351442,0.0225631,0.00259776,F1044P.VOB
133,NA,0.0426564,0.0157178,0.00273448,F1044P.VOB
134,NA,0.0468897,0.015565,0.0041473,F1044P.VOB
135,NA,0.0433491,0.0168689,0.00446632,F1044P.VOB
136,NA,0.0379458,0.0235818,0.00469419,F1044P.VOB
137,NA,0.0353443,0.021738,0.0030535,F1044P.VOB
138,NA,0.035098,0.0177042,0.0037827,F1044P.VOB
139,NA,0.0337587,0.0144343,0.00337253,F1044P.VOB
140,NA,0.0362063,0.00790474,0.00205086,F1044P.VOB
141,NA,0.0388079,0.00947346,0.00455747,F1044P.VOB
142,NA,0.0363295,0.0140065,0.0043296,F1044P.VOB
143,NA,0.0326196,0.0170319,0.00401057,F1044P.VOB
144,NA,0.0285094,0.022064,0.00250661,F1044P.VOB
145,NA,0.0280168,0.0201387,0.00355483,F1044P.VOB
146,NA,0.0300796,0.0119692,0.00451189,F1044P.VOB
147,NA,0.0304029,0.00708981,0.00428402,F1044P.VOB
148,NA,0.0283401,0.00880115,0.00287121,F1044P.VOB
149,NA,0.0247687,0.00990129,0.00291678,F1044P.VOB
150,NA,0.019427,0.0100337,0.00319023,F1044P.VOB
151,NA,0.0102831,0.00907618,0.00328138,F1044P.VOB
152,NA,0.00511076,0.00530717,0.00309908,F1044P.VOB
153,NA,0.00429488,0.00269943,0.00519552,F1044P.VOB
154,NA,0.00754299,0.00226141,0.0113481,F1044P.VOB
155,NA,0.00843583,0.0014363,0.0230608,F1044P.VOB
156,NA,0.00661936,0.000865854,0.037189,F1044P.VOB
157,NA,0.00583427,0.00147704,0.043615,F1044P.VOB
158,NA,0.00709657,0.00184376,0.0444353,F1044P.VOB
159,NA,0.00540324,0.00123257,0.0346823,F1044P.VOB
160,NA,0.00454119,0.0014363,0.0219214,F1044P.VOB
161,NA,0.00746602,0.00193544,0.0111202,F1044P.VOB
162,NA,0.00520312,0.00130387,0.00300793,F1044P.VOB
163,NA,0.00483367,0.000763989,0.00410172,F1044P.VOB
164,NA,0.0062499,0.000285222,0.012214,F1044P.VOB
165,NA,0.00546482,2.0373e-05,0.0221949,F1044P.VOB
166,NA,0.00392543,2.0373e-05,0.0321757,F1044P.VOB
167,NA,0.00129308,0.000417647,0.035685,F1044P.VOB
168,NA,0.00135466,9.16786e-05,0.0368699,F1044P.VOB
169,NA,0.0015086,0.000112052,0.036004,F1044P.VOB
170,NA,0.00264774,2.0373e-05,0.0298059,F1044P.VOB
171,NA,0.0015086,1.01865e-05,0.0168171,F1044P.VOB
172,NA,0.00229368,5.09326e-05,0.00501322,F1044P.VOB
173,NA,0.00346362,0.000213917,0.00428402,F1044P.VOB
174,NA,0.00391004,6.11191e-05,0.00469419,F1044P.VOB
175,NA,0.00594203,1.01865e-05,0.00255218,F1044P.VOB
176,NA,0.00497221,6.11191e-05,0.00410172,F1044P.VOB
177,NA,0.00318653,3.05595e-05,0.00401057,F1044P.VOB
178,NA,0.00323271,2.0373e-05,0.00405615,F1044P.VOB
179,NA,0.00454119,0.000101865,0.00428402,F1044P.VOB
180,NA,0.00283247,0.000152798,0.00241546,F1044P.VOB
181,NA,0.00189344,0.000295409,0.0030535,F1044P.VOB
182,NA,0.00230908,0.000570445,0.00492207,F1044P.VOB
183,NA,0.00198581,5.09326e-05,0.0043296,F1044P.VOB
184,NA,0.0025092,3.05595e-05,0.0043296,F1044P.VOB
185,NA,0.00363295,0.000112052,0.00300793,F1044P.VOB
186,NA,0.00270932,0.000224103,0.00373713,F1044P.VOB
187,NA,0.00137005,0.000183357,0.00309908,F1044P.VOB
188,NA,0.00181647,3.05595e-05,0.00350925,F1044P.VOB
189,NA,0.00220132,0,0.00300793,F1044P.VOB
190,NA,0.00230908,0,0.00346368,F1044P.VOB
191,NA,0.00204738,7.13056e-05,0.0043296,F1044P.VOB
192,NA,0.000369452,8.14921e-05,0.00355483,F1044P.VOB
193,NA,4.61816e-05,3.05595e-05,0.00469419,F1044P.VOB
194,NA,0.000277089,1.01865e-05,0.00902379,F1044P.VOB
195,NA,4.61816e-05,5.09326e-05,0.00824902,F1044P.VOB
196,NA,0.000123151,1.01865e-05,0.0104822,F1044P.VOB
197,NA,0.000708117,3.05595e-05,0.0134901,F1044P.VOB
198,NA,9.23631e-05,0,0.00925166,F1044P.VOB
199,NA,1.53939e-05,5.09326e-05,0.00464862,F1044P.VOB
200,NA,0.000107757,0.000275036,0.00519552,F1044P.VOB
201,NA,0.000184726,0.000865854,0.00428402,F1044P.VOB
202,NA,0.000123151,0.000580631,0.00373713,F1044P.VOB
203,NA,0.000354059,0.00151779,0.0073831,F1044P.VOB
204,NA,0.000215514,0.00107977,0.00793,F1044P.VOB
205,NA,9.23631e-05,0.000814921,0.00697293,F1044P.VOB
206,NA,1.53939e-05,0.000570445,0.00747425,F1044P.VOB
207,NA,0,0.000631564,0.00834017,F1044P.VOB
208,NA,0,0.000336155,0.0102087,F1044P.VOB
209,NA,0,0.000142611,0.0107101,F1044P.VOB
210,NA,0,6.11191e-05,0.00742868,F1044P.VOB
211,NA,0,5.09326e-05,0.00669948,F1044P.VOB
212,NA,0,9.16786e-05,0.00583356,F1044P.VOB
213,NA,0,0,0.00501322,F1044P.VOB
214,NA,0,1.01865e-05,0.00473977,F1044P.VOB
