frame,father,mother,patient,therapist,file
1,0,0.00268162,NA,0,F1044R1.VOB
2,0,0.00368926,NA,0,F1044R1.VOB
3,0,0.00611084,NA,0,F1044R1.VOB
4,0,0.0047619,NA,0,F1044R1.VOB
5,0,0.00201528,NA,0,F1044R1.VOB
6,0,0.00157647,NA,0,F1044R1.VOB
7,0,0.00414432,NA,0,F1044R1.VOB
8,0,0.00294165,NA,9.53607e-05,F1044R1.VOB
9,0,0.0025516,NA,0,F1044R1.VOB
10,0,0.00433935,NA,0,F1044R1.VOB
11,0,0.00339672,NA,0,F1044R1.VOB
12,0,0.00287665,NA,0.00138273,F1044R1.VOB
13,0,0.00274663,NA,0.0026701,F1044R1.VOB
14,0,0.00253535,NA,0.0060554,F1044R1.VOB
15,0,0.00185275,NA,0.00433891,F1044R1.VOB
16,0,0.00185275,NA,0.00181185,F1044R1.VOB
17,0,0.00173899,NA,0.0021933,F1044R1.VOB
18,1.03685e-05,0.000698846,NA,0.00152577,F1044R1.VOB
19,0,0.000763855,NA,0.00171649,F1044R1.VOB
20,0,0.000536324,NA,0.00381443,F1044R1.VOB
21,0,4.87567e-05,NA,0.00104897,F1044R1.VOB
22,0,1.62522e-05,NA,0.000476804,F1044R1.VOB
23,2.0737e-05,0.000276288,NA,0.000619845,F1044R1.VOB
24,1.03685e-05,0.000308792,NA,0.00166881,F1044R1.VOB
25,0,0.000178775,NA,0.00796262,F1044R1.VOB
26,0,0.000568828,NA,0.0106327,F1044R1.VOB
27,0,0.000633837,NA,0.00843942,F1044R1.VOB
28,0,4.87567e-05,NA,0.00924999,F1044R1.VOB
29,0,0.000260036,NA,0.00929767,F1044R1.VOB
30,0,0.000390054,NA,0.0114433,F1044R1.VOB
31,0,0.000406306,NA,0.0137796,F1044R1.VOB
32,0,4.87567e-05,NA,0.0127783,F1044R1.VOB
33,0,0.000113766,NA,0.00529252,F1044R1.VOB
34,2.0737e-05,0.00029254,NA,4.76804e-05,F1044R1.VOB
35,1.03685e-05,0.000357549,NA,0.00195489,F1044R1.VOB
36,3.11055e-05,0,NA,0.000429123,F1044R1.VOB
37,3.11055e-05,3.25045e-05,NA,4.76804e-05,F1044R1.VOB
38,1.03685e-05,0,NA,0,F1044R1.VOB
39,2.0737e-05,0,NA,0,F1044R1.VOB
40,0,3.25045e-05,NA,0.00152577,F1044R1.VOB
41,0,0.00014627,NA,0.000572164,F1044R1.VOB
42,0,3.25045e-05,NA,0,F1044R1.VOB
43,1.03685e-05,0,NA,0,F1044R1.VOB
44,1.03685e-05,0.000113766,NA,0.000524484,F1044R1.VOB
45,0,0,NA,0.000143041,F1044R1.VOB
46,0,0,NA,0,F1044R1.VOB
47,0,0,NA,0,F1044R1.VOB
48,0,0,NA,0,F1044R1.VOB
49,1.03685e-05,0,NA,0,F1044R1.VOB
50,1.03685e-05,0.00029254,NA,0.000858246,F1044R1.VOB
51,1.03685e-05,4.87567e-05,NA,0,F1044R1.VOB
52,0,3.25045e-05,NA,0,F1044R1.VOB
53,0,0.000308792,NA,0,F1044R1.VOB
54,0,6.50089e-05,NA,0,F1044R1.VOB
55,0,3.25045e-05,NA,0,F1044R1.VOB
56,0,3.25045e-05,NA,0.000143041,F1044R1.VOB
57,0,0,NA,0.00228866,F1044R1.VOB
58,1.03685e-05,0.000130018,NA,0.00934535,F1044R1.VOB
59,0,0.000536324,NA,0.0160206,F1044R1.VOB
60,0,8.12612e-05,NA,0.0156868,F1044R1.VOB
61,0,0.000211279,NA,0.0130644,F1044R1.VOB
62,0,0.000113766,NA,0.013875,F1044R1.VOB
63,0,3.25045e-05,NA,0.0125876,F1044R1.VOB
64,0,0,NA,0.010442,F1044R1.VOB
65,1.03685e-05,1.62522e-05,NA,0.00524484,F1044R1.VOB
66,1.03685e-05,0,NA,0.00386211,F1044R1.VOB
67,4.1474e-05,0,NA,0.00553092,F1044R1.VOB
68,0.000456214,0.000308792,NA,0.0051018,F1044R1.VOB
69,0.000559899,6.50089e-05,NA,0.00104897,F1044R1.VOB
70,0.0015138,0.000471315,NA,0.00233634,F1044R1.VOB
71,0.00195965,0.000682594,NA,0.005817,F1044R1.VOB
72,0.00199075,0.000243784,NA,0.00696133,F1044R1.VOB
73,0.00259212,0.000536324,NA,0.00524484,F1044R1.VOB
74,0.00249881,0.0018365,NA,0.00696133,F1044R1.VOB
75,0.000891691,0.00339672,NA,0.0048634,F1044R1.VOB
76,0.000259212,0.00297416,NA,0.00619845,F1044R1.VOB
77,0.000248844,0.00256785,NA,0.00939303,F1044R1.VOB
78,0.000114053,0.00100764,NA,0.011491,F1044R1.VOB
79,8.2948e-05,0.00014627,NA,0.0127307,F1044R1.VOB
80,0.000228107,0.000113766,NA,0.0107281,F1044R1.VOB
81,2.0737e-05,3.25045e-05,NA,0.00553092,F1044R1.VOB
82,0,3.25045e-05,NA,0.00305154,F1044R1.VOB
83,0,0,NA,0.00271778,F1044R1.VOB
84,2.0737e-05,0.000130018,NA,0.000333762,F1044R1.VOB
85,0,0.00134894,NA,0.000524484,F1044R1.VOB
86,0,0.0051032,NA,0.00114433,F1044R1.VOB
87,0,0.00542825,NA,0.000715205,F1044R1.VOB
88,1.03685e-05,0.00466439,NA,0.00190721,F1044R1.VOB
89,0,0.00554201,NA,0.00133505,F1044R1.VOB
90,0,0.00588331,NA,0.00305154,F1044R1.VOB
91,3.11055e-05,0.00973509,NA,0.00596004,F1044R1.VOB
92,3.11055e-05,0.0176662,NA,0.0115863,F1044R1.VOB
93,0,0.0201853,NA,0.0113956,F1044R1.VOB
94,0,0.0158784,NA,0.0113002,F1044R1.VOB
95,3.11055e-05,0.0165123,NA,0.0136366,F1044R1.VOB
96,3.11055e-05,0.0161222,NA,0.0146855,F1044R1.VOB
97,1.03685e-05,0.0100114,NA,0.0160683,F1044R1.VOB
98,0,0.0132781,NA,0.0124923,F1044R1.VOB
99,1.03685e-05,0.0150008,NA,0.00853478,F1044R1.VOB
100,4.1474e-05,0.0115391,NA,0.00553092,F1044R1.VOB
101,0.000145159,0.0122054,NA,0.00429123,F1044R1.VOB
102,2.0737e-05,0.0120429,NA,0.00123969,F1044R1.VOB
103,8.2948e-05,0.00651715,NA,0.000762886,F1044R1.VOB
104,0.000228107,0.0141232,NA,0.00114433,F1044R1.VOB
105,0.000248844,0.00749228,NA,0.00152577,F1044R1.VOB
106,0.000559899,0.0120754,NA,0.00162113,F1044R1.VOB
107,0.00125459,0.012823,NA,0.00100129,F1044R1.VOB
108,0.000259212,0.00944255,NA,0.00114433,F1044R1.VOB
109,5.18425e-05,0.0058508,NA,0.0053402,F1044R1.VOB
110,0.000186633,0.00898749,NA,0.00739045,F1044R1.VOB
111,6.2211e-05,0.00664716,NA,0.00610308,F1044R1.VOB
112,0,0.00185275,NA,0.0051018,F1044R1.VOB
113,9.33165e-05,0.000828864,NA,0.00376675,F1044R1.VOB
114,2.0737e-05,0.000503819,NA,0.00190721,F1044R1.VOB
115,0,0.000812612,NA,0.00176417,F1044R1.VOB
116,0,0.00185275,NA,0.00162113,F1044R1.VOB
117,0,0.00583455,NA,0.000286082,F1044R1.VOB
118,1.03685e-05,0.0105152,NA,0.000238402,F1044R1.VOB
119,0.000186633,0.0130993,NA,0.000238402,F1044R1.VOB
120,0.000103685,0.0156997,NA,0.000238402,F1044R1.VOB
121,0,0.0141069,NA,9.53607e-05,F1044R1.VOB
122,4.1474e-05,0.00645214,NA,0,F1044R1.VOB
123,0,0.0157159,NA,0.000190721,F1044R1.VOB
124,1.03685e-05,0.014887,NA,0,F1044R1.VOB
125,0,0.0111165,NA,0.000286082,F1044R1.VOB
126,1.03685e-05,0.00170648,NA,0.000476804,F1044R1.VOB
127,0,0.00503819,NA,0.000905927,F1044R1.VOB
128,0,0.00412807,NA,0.00114433,F1044R1.VOB
129,0,0.000503819,NA,0.000286082,F1044R1.VOB
130,1.03685e-05,0.000113766,NA,4.76804e-05,F1044R1.VOB
131,0,0,NA,0.00133505,F1044R1.VOB
132,3.11055e-05,4.87567e-05,NA,9.53607e-05,F1044R1.VOB
133,1.03685e-05,0.000113766,NA,0,F1044R1.VOB
134,0,0.000227531,NA,0,F1044R1.VOB
135,3.11055e-05,6.50089e-05,NA,0,F1044R1.VOB
136,2.0737e-05,3.25045e-05,NA,0,F1044R1.VOB
137,3.11055e-05,3.25045e-05,NA,0.000810566,F1044R1.VOB
138,2.0737e-05,0,NA,0.000190721,F1044R1.VOB
139,0.000114053,0.00014627,NA,0,F1044R1.VOB
140,2.0737e-05,0.000341297,NA,0.000286082,F1044R1.VOB
141,6.2211e-05,0.000341297,NA,0,F1044R1.VOB
142,1.03685e-05,6.50089e-05,NA,0,F1044R1.VOB
