"","video","frame_index","slidedFather","slidedMother","slidedPatient","slidedTherapist"
"1","F1044L2",1,1.241263e-05,0.00013894959,NA,0.0021948556
"2","F1044L2",2,1.018264e-05,0.00011749959,NA,0.0017759896
"3","F1044L2",3,1.018264e-05,8.746959e-05,NA,0.0014073876
"4","F1044L2",4,7.95265e-06,2.740959e-05,NA,0.0016084416
"5","F1044L2",5,7.95265e-06,2.740959e-05,NA,0.002077572
"6","F1044L2",6,7.95265e-06,2.740959e-05,NA,0.001759235
"7","F1044L2",7,7.95265e-06,3.598961e-05,NA,0.001876517
"8","F1044L2",8,7.95265e-06,3.169961e-05,NA,0.0018430086
"9","F1044L2",9,7.95265e-06,4.885961e-05,NA,0.0016251986
"10","F1044L2",10,7.95265e-06,4.19492e-05,NA,0.0019016486
"11","F1044L2",11,7.95265e-06,4.456961e-05,NA,0.0021697216
"12","F1044L2",12,1.018264e-05,4.027959e-05,NA,0.0019351572
"13","F1044L2",13,1.241263e-05,4.885961e-05,NA,0.0023959096
"14","F1044L2",14,1.464262e-05,2.90792e-05,NA,0.0024461736
"15","F1044L2",15,1.464262e-05,3.598961e-05,NA,0.0017927436
"16","F1044L2",16,1.464262e-05,3.598961e-05,NA,0.0017592356
"17","F1044L2",17,1.464262e-05,4.456963e-05,NA,0.002253498
"18","F1044L2",18,1.241263e-05,3.33692e-05,NA,0.00193516
"19","F1044L2",19,1.018264e-05,3.598961e-05,NA,0.002479686
"20","F1044L2",20,1.018264e-05,2.90792e-05,NA,0.002513196
"21","F1044L2",21,1.018264e-05,2.645879e-05,NA,0.0022702536
"22","F1044L2",22,7.95265e-06,1.096836e-05,NA,0.0021278376
"23","F1044L2",23,7.95265e-06,1.096836e-05,NA,0.0023121376
"24","F1044L2",24,7.95265e-06,8.34795e-06,NA,0.0016084434
"25","F1044L2",25,7.95265e-06,1.096836e-05,NA,0.0019184034
"26","F1044L2",26,7.95265e-06,1.096836e-05,NA,0.0020189318
"27","F1044L2",27,7.95265e-06,1.358877e-05,NA,0.0017341038
"28","F1044L2",28,7.95265e-06,1.358877e-05,NA,0.0017592358
"29","F1044L2",29,7.95265e-06,1.620918e-05,NA,0.00206082
"30","F1044L2",30,7.95265e-06,1.620918e-05,NA,0.001658709
"31","F1044L2",31,7.95265e-06,1.882959e-05,NA,0.001717349
