"","video","frame_index","slidedFather","slidedMother","slidedPatient","slidedTherapist"
"1","F1044C2",1,-7.76345539829429,-5.15278538096422,NA,-5.52405959597252
"2","F1044C2",2,-8.4516046264019,-5.09577192157713,NA,-5.87876996863548
"3","F1044C2",3,-8.81160926145866,-5.1696134544519,NA,-5.88120934438716
"4","F1044C2",4,-9.35728132958786,-5.74076829269421,NA,-5.82430507328173
"5","F1044C2",5,-9.9381523338352,-6.23535497168365,NA,-5.91396811054717
"6","F1044C2",6,-9.43101519414006,-6.73938847226673,NA,-5.96606056547446
"7","F1044C2",7,-9.37913110429983,-7.34954618595841,NA,-5.95210133429386
"8","F1044C2",8,-8.71929311013983,-7.94474881338958,NA,-6.06433462845654
"9","F1044C2",9,-7.78307541818623,-8.1663625398762,NA,-5.95764686472014
"10","F1044C2",10,-6.9074401152424,-8.4426406940605,NA,-5.88691706720291
"11","F1044C2",11,-6.31902176635358,-8.78172317564007,NA,-5.88363855837024
"12","F1044C2",12,-5.38872611253235,-8.91116624417548,NA,-5.84679826070218
"13","F1044C2",13,-4.85780895328085,-9.10761468801744,NA,-5.76074675310424
"14","F1044C2",14,-4.47882991059864,-9.26332809331639,NA,-5.82318605388972
"15","F1044C2",15,-3.97604913642769,-9.24309779633702,NA,-5.82604363291
"16","F1044C2",16,-3.5663765732122,-9.06120694156917,NA,-5.90959344146145
"17","F1044C2",17,-3.22595857584255,-9.18263934155191,NA,-5.9251357646948
"18","F1044C2",18,-3.02204839739389,-8.6175426617556,NA,-5.93081006183352
"19","F1044C2",19,-2.94575750459086,-7.82295019206142,NA,-5.95341508468387
"20","F1044C2",20,-2.94211456066936,-7.06697485168317,NA,-6.0614235422176
"21","F1044C2",21,-2.94141107631039,-6.28526947777672,NA,-5.9050789593627
"22","F1044C2",22,-2.91780485287197,-5.10889925467766,NA,-5.82875424659135
"23","F1044C2",23,-2.88501794772857,-4.4841126158982,NA,-5.81756220901911
"24","F1044C2",24,-2.87847919591705,-4.16413582964283,NA,-5.82809090702503
"25","F1044C2",25,-2.90898241483374,-4.03805657916779,NA,-5.6982916307228
"26","F1044C2",26,-2.9873488891682,-4.00447868104861,NA,-5.77108640502626
"27","F1044C2",27,-3.13336704036789,-4.04232761339284,NA,-5.72895526482124
"28","F1044C2",28,-3.36552736176237,-4.14327802933525,NA,-5.77121833800253
"29","F1044C2",29,-3.56868982886886,-4.32318622982658,NA,-5.77121833800253
"30","F1044C2",30,-3.70757599644121,-4.62792504844299,NA,-5.78455666249662
"31","F1044C2",31,-3.80238345747889,-5.05696502088184,NA,-5.86810647104806
"32","F1044C2",32,-3.84164390156762,-5.67453034168758,NA,-5.86151255963934
"33","F1044C2",33,-3.78817372284967,-6.41913508879755,NA,-5.76688009003542
"34","F1044C2",34,-3.72959005186568,-7.35379614425576,NA,-5.74312302655312
"35","F1044C2",35,-3.68067532096769,-8.06228968894724,NA,-5.81152563830061
"36","F1044C2",36,-3.6374749936022,-8.54198567553926,NA,-5.73458821637592
"37","F1044C2",37,-3.58584323934824,-8.94150924550561,NA,-5.8403921263566
"38","F1044C2",38,-3.51306051609223,-9.3939593072222,NA,-5.91277844959168
"39","F1044C2",39,-3.40290451310271,-9.30131631049223,NA,-5.84321000059049
"40","F1044C2",40,-3.27061325199342,-9.82437714803074,NA,-5.88162749016054
"41","F1044C2",41,-3.0963760910277,-10.0752526165489,NA,-5.8850171437079
"42","F1044C2",42,-2.90308990308805,-10.3048069227248,NA,-5.81459996084686
"43","F1044C2",43,-2.72821050393326,-10.1966850165316,NA,-5.78658147456776
"44","F1044C2",44,-2.60554796706806,-10.1336146079626,NA,-5.83491759988893
"45","F1044C2",45,-2.5153127847504,-9.77299107117969,NA,-5.70716286664987
"46","F1044C2",46,-2.47434909789327,-9.70319676715411,NA,-5.64581541446454
"47","F1044C2",47,-2.49575732969905,-9.43263756020537,NA,-5.73956081834289
"48","F1044C2",48,-2.56647632446263,-9.31120516022263,NA,-5.80017255174649
"49","F1044C2",49,-2.65721176616587,-9.37427556879161,NA,-5.78627740769851
"50","F1044C2",50,-2.7793831841992,-9.30448126476602,NA,-5.89178564052703
"51","F1044C2",51,-2.91281365000372,-9.4823974749848,NA,-5.87490751249445
"52","F1044C2",52,-2.96761716935334,-9.4823974749848,NA,-5.89666846323918
"53","F1044C2",53,-2.96071853782502,-9.44139257421199,NA,-5.86710599318055
"54","F1044C2",54,-2.88988766063537,-9.53403557094195,NA,-5.83956215744811
"55","F1044C2",55,-2.78126888303346,-9.378322165643,NA,-5.74424745377661
"56","F1044C2",56,-2.66484567611154,-9.07375181560785,NA,-5.88172788069272
"57","F1044C2",57,-2.61687216458114,-9.01068140703887,NA,-5.73083479894999
"58","F1044C2",58,-2.61325371160935,-9.17311870779442,NA,-5.75005016825297
"59","F1044C2",59,-2.65109545875006,-9.08047571106445,NA,-5.82939793138372
"60","F1044C2",60,-2.71461010065725,-9.41410532658218,NA,-5.8429172312839
"61","F1044C2",61,-2.78692911444707,-9.4891213704414,NA,-5.73264006662109
"62","F1044C2",62,-2.87117714719333,-9.82275098595913,NA,-5.83123574887393
"63","F1044C2",63,-2.98180610043203,-9.70131858597639,NA,-5.74735902493948
"64","F1044C2",64,-3.1301595364487,-9.63824817740741,NA,-5.76178013685274
"65","F1044C2",65,-3.27393950011538,-9.46033196718863,NA,-5.77329443198887
"66","F1044C2",66,-3.45663623767209,-9.46033196718863,NA,-5.78418176365836
"67","F1044C2",67,-3.74437185779574,-9.2307776610127,NA,-5.82748853343203
"68","F1044C2",68,-4.08182350198253,-9.35221006099544,NA,-5.89214988806349
"69","F1044C2",69,-4.42577218534055,-9.68583967651317,NA,-5.7870143044745
"70","F1044C2",70,-5.05931704052225,-9.63420158055601,NA,-5.77272181220268
"71","F1044C2",71,-5.4858810793524,-9.5931966797832,NA,-5.78423610733881
"72","F1044C2",72,-5.60200765611087,-9.44124430353517,NA,-5.75561533045742
"73","F1044C2",73,-5.67531820882554,-9.1678595273044,NA,-5.76499198783139
"74","F1044C2",74,-5.93387588265413,-9.1678595273044,NA,-5.84225632513908
"75","F1044C2",75,-5.91992676604172,-9.28929192728715,NA,-5.84503452227476
"76","F1044C2",76,-5.90076992162724,-9.25528078420074,NA,-5.93291006013194
"77","F1044C2",77,-6.04475799301967,-9.45887125640592,NA,-5.93675604834805
"78","F1044C2",78,-6.11226910016956,-9.61082363265394,NA,-5.8861365984721
"79","F1044C2",79,-6.01167511105925,-9.3402644257052,NA,-5.92555032465557
"80","F1044C2",80,-5.75867517800017,-9.3402644257052,NA,-5.99909684029124
"81","F1044C2",81,-5.61730661619807,-9.3402644257052,NA,-5.85704517911548
"82","F1044C2",82,-5.55324409650256,-9.0812487353831,NA,-5.78319991759442
"83","F1044C2",83,-5.35569636957445,-9.04024383461029,NA,-5.82141193303054
"84","F1044C2",84,-4.96316914448965,-9.04024383461029,NA,-5.74634752029254
"85","F1044C2",85,-4.62320618568044,-8.76685905837952,NA,-5.6592817047567
