"","video","frame_index","slidedFather","slidedMother","slidedPatient","slidedTherapist"
"1","F1044D2",1,-5.58011593618315,-8.81066977422425,-5.7834430046377,NA
"2","F1044D2",2,-5.73134479236584,-9.63609657631266,-6.15057344738137,NA
"3","F1044D2",3,-5.97326318100201,-10.5125015161573,-6.39328164850493,NA
"4","F1044D2",4,-5.43165233351455,-10.7384350586184,-6.52684725474548,NA
"5","F1044D2",5,-5.70594865635767,-10.2927790584237,-6.7465697124791,NA
"6","F1044D2",6,-5.86671131891726,-10.4314084945356,-6.53827938349308,NA
"7","F1044D2",7,-5.86760994441109,-10.350315472914,-6.4677155341505,NA
"8","F1044D2",8,-5.86342842866437,-9.82250411758807,-6.42618760651945,NA
"9","F1044D2",9,-5.74866845777828,-8.93740337396604,-6.10230976419176,NA
"10","F1044D2",10,-5.53491588757437,-8.67754663638012,-6.0059427202173,NA
"11","F1044D2",11,-5.5481075045544,-7.95002948592744,-6.10231043316304,NA
"12","F1044D2",12,-5.47187790015558,-7.7303072002338,-6.09697626607977,NA
"13","F1044D2",13,-5.27144745337574,-8.03839609782612,-6.23560641297307,NA
"14","F1044D2",14,-5.21746367686232,-8.21798410366746,-6.52301933740945,NA
"15","F1044D2",15,-5.06189553876565,-8.28167537774119,-6.38438923232619,NA
"16","F1044D2",16,-4.87954852051202,-8.01247145837715,-6.55384876830047,NA
"17","F1044D2",17,-4.70807705454438,-7.15105831676374,-6.72684871967574,NA
"18","F1044D2",18,-4.61502805794782,-5.94896858410835,-6.73319763391544,NA
"19","F1044D2",19,-4.56968384591346,-4.94146013435811,-6.68201108137263,NA
"20","F1044D2",20,-4.68677776448772,-3.82836434218897,-6.89030141035866,NA
"21","F1044D2",21,-4.81473798722471,-3.28730281269248,-6.82460115295372,NA
"22","F1044D2",22,-5.33790513087823,-3.06187434829795,-6.70565893729139,NA
"23","F1044D2",23,-5.83267239799945,-2.97780539513675,-6.75684548983419,NA
"24","F1044D2",24,-5.94359784486532,-2.97970254026117,-6.66123835899392,NA
"25","F1044D2",25,-5.95650525309514,-3.10464826560438,-6.76903820068725,NA
"26","F1044D2",26,-5.97844507301246,-3.35265251570119,-6.8039083582299,NA
"27","F1044D2",27,-5.66383004551261,-3.75413543656562,-6.78422142209307,NA
