"","slidedFather","slidedMother","slidedPatient","slidedTherapist","video","frame_index"
"1",NA,-10.0892518759698,NA,-6.16508102115681,"F1044G",1
"2",NA,-9.2551854593255,NA,-5.54388421007051,"F1044G",2
"3",NA,-9.2551854593255,NA,-5.09481138610983,"F1044G",3
"4",NA,-8.80547676597114,NA,-4.82546193597379,"F1044G",4
"5",NA,-8.83926789005949,NA,-4.85830872986079,"F1044G",5
"6",NA,-9.61335880669729,NA,-5.00168739073919,"F1044G",6
"7",NA,-10.0389435553255,NA,-5.26754836800142,"F1044G",7
"8",NA,-9.25133224295519,NA,-5.85229482362045,"F1044G",8
"9",NA,-9.26829428545819,NA,-6.68451154773514,"F1044G",9
"10",NA,-10.0685695780141,NA,-6.98147307866908,"F1044G",10
"11",NA,-9.77432373234969,NA,-7.2607047684062,"F1044G",11
"12",NA,-10.1828054003657,NA,-7.3850823695123,"F1044G",12
"13",NA,-10.9704167127361,NA,-7.00303631156145,"F1044G",13
"14",NA,-11.6974092092518,NA,-6.37347421664873,"F1044G",14
"15",NA,-11.6974092092518,NA,-6.12072184634463,"F1044G",15
"16",NA,-11.9916550549163,NA,-5.98440207504203,"F1044G",16
"17",NA,-11.9916550549163,NA,-6.23214410272467,"F1044G",17
"18",NA,-11.6974092092518,NA,-6.69932316054785,"F1044G",18
"19",NA,-11.6974092092518,NA,-6.95872501493844,"F1044G",19
"20",NA,-11.6974092092518,NA,-7.62803200390151,"F1044G",20
"21",NA,-11.6974092092518,NA,-8.27649959312876,"F1044G",21
"22",NA,-11.6974092092518,NA,-8.69305421178774,"F1044G",22
"23",NA,-11.9916550549163,NA,-9.31369601179157,"F1044G",23
"24",NA,-11.9916550549163,NA,-10.032877719674,"F1044G",24
"25",NA,-11.9916550549163,NA,-9.65481767204602,"F1044G",25
"26",NA,-11.9916550549163,NA,-9.89739942442189,"F1044G",26
"27",NA,-11.9916550549163,NA,-10.1399811767978,"F1044G",27
"28",NA,-11.9916550549163,NA,-9.79095970943748,"F1044G",28
"29",NA,-11.9916550549163,NA,-9.79095970943748,"F1044G",29
"30",NA,-11.9916550549163,NA,-10.4116015094413,"F1044G",30
"31",NA,-11.9916550549163,NA,-10.4116015094413,"F1044G",31
"32",NA,-11.9916550549163,NA,-10.4116015094413,"F1044G",32
"33",NA,-11.5831733869003,NA,-10.7606229768016,"F1044G",33
