"","slidedFather","slidedMother","slidedPatient","slidedTherapist","video","frame_index"
"1",NA,-10.5299508474648,-10.8304277588224,-6.42304827277966,"F1044H1",1
"2",NA,-10.8110457655862,-11.4416751124294,-6.4444240921078,"F1044H1",2
"3",NA,-10.9973786122065,-11.7577608725512,-6.41518213292718,"F1044H1",3
"4",NA,-11.1115027969983,-11.7577608725512,-6.39848837563262,"F1044H1",4
"5",NA,-11.1115027969983,-10.9970096082748,-6.44944397336972,"F1044H1",5
"6",NA,-10.8181187110256,-10.5151938968035,-6.29422911318063,"F1044H1",6
"7",NA,-10.7039945262338,-10.0333781853321,-6.43591786250847,"F1044H1",7
"8",NA,-10.4647199634329,-9.91902346404981,-6.41737302340152,"F1044H1",8
"9",NA,-10.2783871168126,-9.43720775257848,-6.58183002876382,"F1044H1",9
"10",NA,-9.98500303083995,-9.4698101207218,-6.55986797919575,"F1044H1",10
"11",NA,-9.74572846803904,-9.1763718303168,-6.67937276319644,"F1044H1",11
"12",NA,-9.57875773470943,-8.8335941062143,-6.47521942238037,"F1044H1",12
"13",NA,-9.70390811271853,-8.70830447984542,-6.812388661841,"F1044H1",13
"14",NA,-9.776116774547,-9.19012019131675,-6.67051556389303,"F1044H1",14
"15",NA,-9.49502185642558,-9.91826908744987,-6.58677324207863,"F1044H1",15
"16",NA,-9.5479635726062,-10.3983614958409,-6.48123977570547,"F1044H1",16
"17",NA,-9.71493430593581,-10.9277933379295,-6.51732395532175,"F1044H1",17
"18",NA,-10.1224425767003,-10.7018480147895,-6.32430831879023,"F1044H1",18
"19",NA,-9.92090191863647,-9.82893525412721,-6.3126977637507,"F1044H1",19
"20",NA,-10.0156639901376,-8.68285986944417,-6.35864636279125,"F1044H1",20
"21",NA,-10.0878726519661,-7.72441698418555,-6.35388032863997,"F1044H1",21
"22",NA,-10.0156639901376,-6.80236271577672,-6.34423083117083,"F1044H1",22
"23",NA,-9.48300534136403,-6.33985071988659,-6.31703612146225,"F1044H1",23
"24",NA,-9.68454599942785,-6.18592352772122,-6.27180092864492,"F1044H1",24
"25",NA,-9.87087884604814,-6.46786076064497,-6.289806386726,"F1044H1",25
"26",NA,-10.2783871168126,-7.23964952791753,-6.29457242087728,"F1044H1",26
"27",NA,-10.1836250453115,-7.68161138793529,-6.23061836375564,"F1044H1",27
"28",NA,-10.3087754233206,-8.10343297263796,-6.11365947053511,"F1044H1",28
"29",NA,-10.3087754233206,-8.01748985543676,-6.12286475401136,"F1044H1",29
"30",NA,-10.6021595092932,-7.77144988816934,-6.02442976393167,"F1044H1",30
"31",NA,-10.3087754233206,-7.14048252961179,-6.05569363912147,"F1044H1",31
"32",NA,-10.4757461566502,-6.82193923195386,-6.08912842611948,"F1044H1",32
"33",NA,-10.3505957786411,-6.49326034525101,-6.3356340702119,"F1044H1",33
"34",NA,-10.4647199634329,-6.53008925126723,-6.31337005438913,"F1044H1",34
"35",NA,-9.89024095933882,-6.59812180191689,-6.4478349538099,"F1044H1",35
"36",NA,-9.776116774547,-6.53629529898697,-6.40714894604825,"F1044H1",36
"37",NA,-9.6509663965379,-6.71134650171645,-6.51767699675259,"F1044H1",37
"38",NA,-10.1836250453115,-7.02811469274425,-6.34795169911677,"F1044H1",38
"39",NA,-10.1836250453115,-7.31529303496551,-6.3437810327924,"F1044H1",39
"40",NA,-10.3505957786411,-7.7461912497355,-6.36145914441858,"F1044H1",40
"41",NA,-10.4647199634329,-8.38599488155784,-6.38590350753192,"F1044H1",41
"42",NA,-10.589870341442,-8.38599488155784,-6.43325205690081,"F1044H1",42
"43",NA,-10.0153913373479,-7.9997716783685,-6.43325205690081,"F1044H1",43
"44",NA,-9.82905849072763,-7.46359412441959,-6.41361384183136,"F1044H1",44
"45",NA,-10.2365667614921,-6.65699757001741,-6.5494193831927,"F1044H1",45
"46",NA,-10.2365667614921,-5.78674374947661,-6.57138143276077,"F1044H1",46
"47",NA,-10.0695960281625,-5.29105219228923,-6.53860533578942,"F1044H1",47
"48",NA,-10.0055601715127,-5.09290152256677,-6.52846656856579,"F1044H1",48
"49",NA,-9.95261845533204,-5.13021014191974,-6.69318608014656,"F1044H1",49
"50",NA,-9.54511018456757,-5.23605020139328,-6.51332201528711,"F1044H1",50
"51",NA,-9.35877733794728,-5.16889217639089,-6.39438109181992,"F1044H1",51
"52",NA,-9.6398722560687,-5.08958119604965,-6.33026724571297,"F1044H1",52
"53",NA,-9.87087884604814,-5.0042377085723,-6.37432576921109,"F1044H1",53
"54",NA,-9.92382056222876,-4.80320455954637,-6.19517541512771,"F1044H1",54
"55",NA,-9.92382056222876,-4.63295283760235,-6.29582541818301,"F1044H1",55
"56",NA,-10.1101534088491,-4.62250766249571,-6.44611759074276,"F1044H1",56
"57",NA,-9.92382056222876,-4.63197160716286,-6.60516376620004,"F1044H1",57
"58",NA,-10.3313288329932,-4.66312056266528,-6.5334502871517,"F1044H1",58
"59",NA,-10.2019968367579,-4.71060430724687,-6.70425352739533,"F1044H1",59
"60",NA,-10.1297881749294,-4.78900384701411,-6.58474874339464,"F1044H1",60
"61",NA,-10.1297881749294,-5.00208290942445,-6.60622841301949,"F1044H1",61
"62",NA,-10.2019968367579,-5.28346687538482,-6.42636434816004,"F1044H1",62
"63",NA,-9.72227990416495,-5.64736297862188,-6.43071651600375,"F1044H1",63
"64",NA,-9.85161190040028,-5.9891491657402,-6.3564469248204,"F1044H1",64
"65",NA,-9.92382056222876,-6.39613806512726,-6.39070876526294,"F1044H1",65
"66",NA,-9.80969637743695,-6.69868946955517,-6.23913545052085,"F1044H1",66
"67",NA,-9.73748771560847,-7.10014851779716,-6.30949473363243,"F1044H1",67
"68",NA,-9.92382056222876,-7.38673151512187,-6.27336903044994,"F1044H1",68
"69",NA,-10.4035374948217,-7.62200133707594,-6.36469645105847,"F1044H1",69
"70",NA,-10.4035374948217,-7.77352689730802,-6.34440592824346,"F1044H1",70
"71",NA,-10.2365667614921,-7.96530539037973,-6.51169751053173,"F1044H1",71
"72",NA,-10.1072347652568,-8.02163298482585,-6.44634281996395,"F1044H1",72
"73",NA,-9.92090191863647,-8.28826871915328,-6.54376227776442,"F1044H1",73
"74",NA,-9.92090191863647,-8.57575037467524,-6.42117098196609,"F1044H1",74
"75",NA,-9.79575154062737,-8.53977341940754,-6.48950651116822,"F1044H1",75
"76",NA,-9.89051361212851,-8.51358574581998,-6.3612015525627,"F1044H1",76
"77",NA,-10.4995625409568,-8.77688411536643,-6.38829777681061,"F1044H1",77
"78",NA,-10.9792794735497,-8.67096227180276,-6.26669497667384,"F1044H1",78
"79",NA,-10.4466208247762,-8.83810245327251,-6.32835532323237,"F1044H1",79
"80",NA,-10.4995625409568,-9.18461503849707,-6.27504202457173,"F1044H1",80
"81",NA,-10.6858953875771,-9.22530544968453,-6.43905705936565,"F1044H1",81
"82",NA,-10.2783871168126,-8.93186715927952,-6.37087206295766,"F1044H1",82
"83",NA,-9.74572846803904,-8.59008932993655,-6.46462266340658,"F1044H1",83
"84",NA,-9.98500303083995,-7.92365148069148,-6.41285037270972,"F1044H1",84
"85",NA,-10.1713358774602,-7.10360970286083,-6.50336160854138,"F1044H1",85
"86",NA,-10.4647199634329,-6.32439547780282,-6.39910234608939,"F1044H1",86
"87",NA,-10.3925113016044,-5.61136708513673,-6.35819043734048,"F1044H1",87
"88",NA,-10.445453017785,-5.2509429239971,-6.35305626266065,"F1044H1",88
"89",NA,-10.3313288329932,-5.12399636430387,-6.37443208198879,"F1044H1",89
"90",NA,-10.0920542701923,-5.24400840655248,-6.15449969475641,"F1044H1",90
"91",NA,-9.51757526609823,-5.41570296577933,-6.108093282075,"F1044H1",91
"92",NA,-9.51757526609823,-5.40454115563082,-6.23540668442776,"F1044H1",92
"93",NA,-9.99729219869119,-5.21625232917579,-6.43617261456295,"F1044H1",93
"94",NA,-10.111416383483,-4.9189621800742,-6.3954866068013,"F1044H1",94
"95",NA,-10.3506909462839,-4.74282547627743,-6.54686980777009,"F1044H1",95
"96",NA,-10.6317858644053,-4.86399483437739,-6.49102216647147,"F1044H1",96
"97",NA,-10.8181187110256,-4.87046156265387,-6.18342272235863,"F1044H1",97
"98",NA,-10.4106104402612,-4.84727106954673,-5.57270398056421,"F1044H1",98
"99",NA,-10.1295155221397,-4.79649504053221,-5.11738762122441,"F1044H1",99
"100",NA,-9.94318267551944,-4.82866019753769,-4.6010947315132,"F1044H1",100
"101",NA,-9.94318267551944,-4.73780531529078,-4.22782896734433,"F1044H1",101
"102",NA,-9.94318267551944,-4.98236334606445,-4.04169209611241,"F1044H1",102
"103",NA,-10.0573068603113,-5.50599512829476,-4.08045915747633,"F1044H1",103
"104",NA,-10.6317858644053,-6.01481646173971,-4.20300505092596,"F1044H1",104
"105",NA,-10.8181187110256,-6.20614225383967,-4.32101596609395,"F1044H1",105
"106",NA,-11.1115027969983,-6.56661886938789,-4.39984402162055,"F1044H1",106
"107",NA,-10.8722282341974,-6.99044487945484,-4.52122354974623,"F1044H1",107
"108",NA,-10.5270974594261,-7.04374235326309,-4.53859164175271,"F1044H1",108
"109",NA,-9.99443881065255,-7.47464056803308,-4.65152246879033,"F1044H1",109
"110",NA,-10.2878228966252,-7.99570622615444,-4.909619138993,"F1044H1",110
"111",NA,-9.80810596403226,-8.21243480058434,-5.11329541023464,"F1044H1",111
"112",NA,-9.86104768021288,-8.4257808825511,-5.43533488346615,"F1044H1",112
"113",NA,-10.0920542701923,-9.40326072125745,-5.81624876600289,"F1044H1",113
"114",NA,-10.6247129189659,-9.71934648137924,-5.86456689186775,"F1044H1",114
"115",NA,-10.0920542701923,-10.0906006611825,-5.97765597196038,"F1044H1",115
"116",NA,-10.0391125540117,-10.5561903319736,-6.08662432251243,"F1044H1",116
"117",NA,-10.5188294866046,-11.1674376855807,-6.03852758238642,"F1044H1",117
"118",NA,-10.9263377573691,-11.1674376855807,-6.00642676559471,"F1044H1",118
"119",NA,-10.5188294866046,-11.1674376855807,-6.21307176387428,"F1044H1",119
"120",NA,-10.5717712027853,-10.7734214079419,-6.06567078690129,"F1044H1",120
"121",NA,-10.8110457655862,-10.7734214079419,-6.18106917682247,"F1044H1",121
"122",NA,-10.8110457655862,-10.3639050931743,-6.29952520006006,"F1044H1",122
"123",NA,-10.4035374948217,-10.0687434996891,-6.24757887602316,"F1044H1",123
"124",NA,-10.2019968367579,-10.0687434996891,-6.27707830060856,"F1044H1",124
"125",NA,-10.2742054985864,-10.4627597773278,-6.52012468809304,"F1044H1",125
"126",NA,-10.2742054985864,-10.7579213708131,-6.34013178481708,"F1044H1",126
"127",NA,-9.66515656975809,-11.1674376855807,-6.21405010701978,"F1044H1",127
"128",NA,-9.77928075454991,-11.462599279066,-6.14134233560037,"F1044H1",128
"129",NA,-9.85567103460462,-11.1465135189442,-5.83649284201342,"F1044H1",129
"130",NA,-9.85567103460462,-11.1465135189442,-5.61656045478105,"F1044H1",130
"131",NA,-9.66933818798433,-11.1465135189442,-5.66294805498441,"F1044H1",131
"132",NA,-9.79867018421966,-11.1465135189442,-5.56680091888619,"F1044H1",132
"133",NA,-9.79867018421966,-10.6646978074728,-5.54191191001863,"F1044H1",133
"134",NA,-10.3313288329932,-11.2759451610799,-5.61061698074061,"F1044H1",134
"135",NA,-10.2061784549841,-11.2759451610799,-5.49575413017543,"F1044H1",135
"136",NA,-10.111416383483,-11.2759451610799,-5.39846779391552,"F1044H1",136
"137",NA,-10.1836250453115,-10.9807835675946,-5.41535307983586,"F1044H1",137
"138",NA,-9.90253012719005,-10.9277933379295,-5.41302665337579,"F1044H1",138
"139",NA,-9.29348119836177,-10.9277933379295,-5.54313136756747,"F1044H1",139
"140",NA,-9.16194800240544,-11.2229549314148,-5.68413286616065,"F1044H1",140
"141",NA,-9.44304292052687,-11.2229549314148,-5.92193172272046,"F1044H1",141
"142",NA,-9.85055119129134,-11.2229549314148,-6.02500245429215,"F1044H1",142
"143",NA,-9.78651533464151,-11.7577608725512,-6.15356919736959,"F1044H1",143
"144",NA,-9.78651533464151,-11.3482445577836,-6.13913835486699,"F1044H1",144
"145",NA,-10.0431989086069,-11.3482445577836,-6.30264137412764,"F1044H1",145
"146",NA,-10.0431989086069,-11.3482445577836,-6.24768915051321,"F1044H1",146
"147",NA,-9.51054025983337,-11.6434061512689,-6.16032027962804,"F1044H1",147
"148",NA,-9.85567103460462,-11.2338898365013,-6.16476828638916,"F1044H1",148
"149",NA,-10.1713358774602,-11.3482445577836,-6.23003806025962,"F1044H1",149
"150",NA,-10.2854600622521,-11.3482445577836,-6.08607522255728,"F1044H1",150
"151",NA,-10.1713358774602,-11.3482445577836,-6.17131816611543,"F1044H1",151
"152",NA,-10.1295155221397,-11.3482445577836,-6.26729776258601,"F1044H1",152
"153",NA,-10.0153913373479,-11.7577608725512,-6.36366456722755,"F1044H1",153
"154",NA,-10.0153913373479,-12.0529224660365,-6.37868679776904,"F1044H1",154
"155",NA,-9.67026056257667,-11.7577608725512,-6.52264963547139,"F1044H1",155
"156",NA,-9.59805190074819,-11.462599279066,-6.45999059932757,"F1044H1",156
"157",NA,-9.6398722560687,-11.1674376855807,-6.64022491075915,"F1044H1",157
"158",NA,-9.75399644086052,-11.1674376855807,-6.68952998709464,"F1044H1",158
"159",NA,-9.56766359424022,-10.8722760920954,-6.6274448958341,"F1044H1",159
"160",NA,-9.56766359424022,-11.1674376855807,-6.61386249596319,"F1044H1",160
"161",NA,-9.75399644086052,-11.462599279066,-6.59127858854886,"F1044H1",161
