"","slidedFather","slidedMother","slidedPatient","slidedTherapist","video","frame_index"
"1",NA,NA,-6.83351282893312,-5.81087918499233,"F1044L1",1
"2",NA,NA,-7.60753330579232,-5.66433675028574,"F1044L1",2
"3",NA,NA,-7.86278918314758,-5.8292023190066,"F1044L1",3
"4",NA,NA,-7.957291099277,-5.90893899351522,"F1044L1",4
"5",NA,NA,-7.88522280413348,-5.70202966730317,"F1044L1",5
"6",NA,NA,-7.54508575522716,-5.85365364476194,"F1044L1",6
"7",NA,NA,-6.8823720716168,-5.95880332043764,"F1044L1",7
"8",NA,NA,-6.58827824107805,-5.84723809272914,"F1044L1",8
"9",NA,NA,-6.63652190959815,-5.96157748436218,"F1044L1",9
"10",NA,NA,-6.87294401384512,-6.02070651094269,"F1044L1",10
"11",NA,NA,-7.36893670898171,-5.91203206260905,"F1044L1",11
"12",NA,NA,-7.76952533052968,-5.86259276347888,"F1044L1",12
"13",NA,NA,-7.86678129778868,-5.83154016214888,"F1044L1",13
"14",NA,NA,-8.36599855540126,-5.73722054530257,"F1044L1",14
"15",NA,NA,-8.66987922551001,-5.80657450634343,"F1044L1",15
"16",NA,NA,-8.58400171331442,-5.83483020694949,"F1044L1",16
"17",NA,NA,-8.25351003854362,-5.73918281593008,"F1044L1",17
"18",NA,NA,-8.18373020726599,-5.8033743063779,"F1044L1",18
"19",NA,NA,-7.4529866303057,-5.76765808100071,"F1044L1",19
"20",NA,NA,-6.99590255645185,-5.7750000377508,"F1044L1",20
"21",NA,NA,-6.9466436619291,-5.82136744209198,"F1044L1",21
"22",NA,NA,-7.12533922895782,-5.86352704438384,"F1044L1",22
"23",NA,NA,-7.86836627320786,-5.70845400743775,"F1044L1",23
"24",NA,NA,-8.44107573129277,-5.77325812621554,"F1044L1",24
"25",NA,NA,-8.61144011532726,-5.68182974544006,"F1044L1",25
"26",NA,NA,-8.55478702994597,-5.60961670448045,"F1044L1",26
"27",NA,NA,-8.46459136962192,-5.66310449320799,"F1044L1",27
"28",NA,NA,-7.70735422169163,-5.72941231706454,"F1044L1",28
"29",NA,NA,-7.08156995024496,-5.6321637423353,"F1044L1",29
"30",NA,NA,-6.66263681079092,-5.65469075748855,"F1044L1",30
"31",NA,NA,-6.48772099245734,-5.62127627064476,"F1044L1",31
"32",NA,NA,-6.53075551836855,-5.69876648412768,"F1044L1",32
"33",NA,NA,-6.85859016113483,-5.7543928080994,"F1044L1",33
"34",NA,NA,-7.30094460815674,-5.75871796066577,"F1044L1",34
"35",NA,NA,-7.85563559175409,-5.71381884408624,"F1044L1",35
"36",NA,NA,-8.61287273968438,-5.82652832356242,"F1044L1",36
"37",NA,NA,-8.75560818076555,-5.65158866477049,"F1044L1",37
"38",NA,NA,-8.79447884843247,-5.70361303482742,"F1044L1",38
"39",NA,NA,-9.04170643315993,-5.93004882348361,"F1044L1",39
"40",NA,NA,-9.10326901267967,-5.96715338789442,"F1044L1",40
"41",NA,NA,-8.57760076846425,-5.83867040027306,"F1044L1",41
"42",NA,NA,-8.96755249382672,-5.98185447802318,"F1044L1",42
"43",NA,NA,-8.86817689503425,-5.94571397002291,"F1044L1",43
"44",NA,NA,-9.42867552785743,-5.87743332697529,"F1044L1",44
"45",NA,NA,-9.55969339025851,-5.87490121756558,"F1044L1",45
"46",NA,NA,-9.52020128516661,-5.95838838142591,"F1044L1",46
"47",NA,NA,-9.170865980337,-5.8706646673395,"F1044L1",47
"48",NA,NA,-9.10477957796297,-5.86098409875585,"F1044L1",48
"49",NA,NA,-8.1443223866355,-5.73094825653236,"F1044L1",49
"50",NA,NA,-7.9906126123816,-5.79230406042442,"F1044L1",50
"51",NA,NA,-8.06586552539936,-5.82337897470457,"F1044L1",51
"52",NA,NA,-8.03789283262837,-5.82337897470457,"F1044L1",52
"53",NA,NA,-8.1475573083143,-5.73966726966836,"F1044L1",53
"54",NA,NA,-8.27956904257917,-5.88471458182947,"F1044L1",54
"55",NA,NA,-8.2237715170986,-5.90636139179123,"F1044L1",55
"56",NA,NA,-8.4352382939002,-5.93524514472996,"F1044L1",56
"57",NA,NA,-8.55730580454549,-6.03821704969447,"F1044L1",57
"58",NA,NA,-8.3839236788648,-6.03209322632542,"F1044L1",58
"59",NA,NA,-8.10414401941481,-5.81759923474808,"F1044L1",59
"60",NA,NA,-7.96815205279576,-5.77031284627144,"F1044L1",60
"61",NA,NA,-7.45193555867125,-5.73809497575244,"F1044L1",61
"62",NA,NA,-7.3903729791515,-5.63750443819332,"F1044L1",62
"63",NA,NA,-7.50753330375843,-5.73702053518223,"F1044L1",63
"64",NA,NA,-7.87176570341723,-5.81416179460121,"F1044L1",64
"65",NA,NA,-8.11184861322328,-5.70547451311624,"F1044L1",65
"66",NA,NA,-8.27359819405753,-5.79076074335674,"F1044L1",66
"67",NA,NA,-8.20044953517012,-5.81357357441389,"F1044L1",67
"68",NA,NA,-8.51879639830627,-5.81029412837249,"F1044L1",68
"69",NA,NA,-8.25300136800649,-5.96959241505934,"F1044L1",69
"70",NA,NA,-7.72170408536215,-6.05555731605483,"F1044L1",70
"71",NA,NA,-7.40801652551915,-5.88319558647346,"F1044L1",71
"72",NA,NA,-7.13688063454056,-5.95320435543959,"F1044L1",72
"73",NA,NA,-6.54739788042583,-5.93164148616206,"F1044L1",73
