"","slidedFather","slidedMother","slidedPatient","slidedTherapist","video","frame_index"
"1",-10.8286339286825,-4.95189657461648,NA,-6.90034879910473,"F1044M2",1
"2",-10.5451184069632,-5.39796168083362,NA,-6.86683938884204,"F1044M2",2
"3",-10.5451184069632,-6.01693095285431,NA,-7.19610087752164,"F1044M2",3
"4",-10.5451184069632,-6.45186587374313,NA,-6.95558371115618,"F1044M2",4
"5",-10.5451184069632,-6.79205724885412,NA,-6.86194734688515,"F1044M2",5
"6",-11.2458835052652,-7.02234925649044,NA,-7.04145502286036,"F1044M2",6
"7",-11.181632925607,-6.94700075704549,NA,-6.91040945110601,"F1044M2",7
"8",-10.2081729489533,-6.72870000487107,NA,-6.59347869906026,"F1044M2",8
"9",-9.43572265606158,-6.62151541029432,NA,-6.64383760627751,"F1044M2",9
"10",-9.43572265606158,-6.52461211065656,NA,-6.59232938495152,"F1044M2",10
"11",-8.81306517843286,-6.4514911657145,NA,-6.38643129166004,"F1044M2",11
"12",-9.46527949202904,-6.52954988929954,NA,-6.4887849872426,"F1044M2",12
"13",-9.76078012927796,-6.56725026176084,NA,-6.37536108445235,"F1044M2",13
"14",-10.5332304221697,-6.77719494540966,NA,-6.21521835342807,"F1044M2",14
"15",-10.5332304221697,-7.14261926449081,NA,-6.36036293902509,"F1044M2",15
"16",-11.1558878997984,-7.2961473681857,NA,-6.43075242960002,"F1044M2",16
"17",-11.1558878997984,-7.54324202610302,NA,-6.3633230025553,"F1044M2",17
"18",-11.8338472392031,-7.76964938644097,NA,-6.82738571648896,"F1044M2",18
"19",-11.4138763733619,-7.94925084030448,NA,-6.86352215563431,"F1044M2",19
"20",-10.6740736533758,-7.76576000861993,NA,-6.81127344668359,"F1044M2",20
"21",-9.77286622578692,-7.8018135312555,NA,-6.92085146228994,"F1044M2",21
"22",-9.22690439792832,-7.70656672094511,NA,-6.86086163748145,"F1044M2",22
"23",-8.73417692471458,-7.96788421752165,NA,-6.77311627024328,"F1044M2",23
"24",-8.53149031292707,-7.9882855677494,NA,-7.01667100592502,"F1044M2",24
"25",-8.32749133242591,-8.25905170008175,NA,-7.03741768305311,"F1044M2",25
"26",-8.23432040943057,-8.45905450417301,NA,-6.95814587679116,"F1044M2",26
"27",-7.59374801321942,-8.87389702109697,NA,-7.01813570159965,"F1044M2",27
"28",-6.81340029820225,-8.95011507289022,NA,-6.76170564447688,"F1044M2",28
"29",-6.26532957605938,-9.15688885388913,NA,-6.65922772050155,"F1044M2",29
"30",-6.38401981209561,-9.08812600190632,NA,-6.8524120247326,"F1044M2",30
"31",-6.27555747043045,-9.36680294827966,NA,-6.66485111709443,"F1044M2",31
"32",-6.30409584974063,-9.36680294827966,NA,-6.692061181005,"F1044M2",32
"33",-6.46039323333181,-9.4195813083109,NA,-6.79227707440911,"F1044M2",33
"34",-6.53413939849638,-9.4195813083109,NA,-6.6468471159748,"F1044M2",34
"35",-6.34593669036542,-9.83201107266849,NA,-6.47681165505043,"F1044M2",35
"36",-6.31398790709293,-9.66561115831784,NA,-6.76957495606075,"F1044M2",36
"37",-6.34728724687679,-9.71838951834908,NA,-6.72414202107464,"F1044M2",37
"38",-6.38252880828495,-9.71838951834908,NA,-7.00866677032058,"F1044M2",38
"39",-6.28921286127254,-9.55997723910522,NA,-7.21629801518936,"F1044M2",39
"40",-6.11410207747128,-9.24572619414981,NA,-7.11560231527003,"F1044M2",40
"41",-6.35575676858285,-9.52547757625697,NA,-7.00238166996408,"F1044M2",41
"42",-6.80249393415385,-9.47269921622573,NA,-7.19051189205967,"F1044M2",42
"43",-7.46405931154422,-9.65795384935665,NA,-6.71704691908869,"F1044M2",43
"44",-8.23438642732243,-10.0016207617314,NA,-6.55790557176499,"F1044M2",44
"45",-9.42281138370569,-10.0778388135247,NA,-6.76380366505646,"F1044M2",45
"46",-9.69328869048729,-9.89258418039376,NA,-6.62301465308171,"F1044M2",46
"47",-9.63144530990589,-9.945362540425,NA,-6.5391999401022,"F1044M2",47
"48",-9.2946242426129,-9.76010790729408,NA,-6.86197805000611,"F1044M2",48
"49",-9.22186763524037,-9.57485327416315,NA,-6.92612019625294,"F1044M2",49
"50",-8.25399782398433,-9.4986352223699,NA,-6.86668019888006,"F1044M2",50
"51",-7.53975932656686,-9.34022294312605,NA,-7.02384065130457,"F1044M2",51
"52",-6.9684432083135,-9.09453536323439,NA,-6.95780071113688,"F1044M2",52
"53",-6.48562048230172,-8.77563696906906,NA,-6.68235927623358,"F1044M2",53
"54",-5.79372250883031,-8.30801609211386,NA,-6.86812213197287,"F1044M2",54
"55",-5.50656174403558,-8.00089161491248,NA,-6.80663234115869,"F1044M2",55
"56",-5.69672866285397,-7.93212876292967,NA,-6.75438363220797,"F1044M2",56
"57",-5.93958763614722,-7.78750243442029,NA,-6.82042357237566,"F1044M2",57
"58",-6.01687164278585,-7.4711995278394,NA,-6.77308689737505,"F1044M2",58
"59",-6.06918350875991,-7.54850649639357,NA,-6.51249730950535,"F1044M2",59
"60",-6.45745713821944,-7.64259736336992,NA,-6.74075924100827,"F1044M2",60
"61",-7.05822436658865,-7.59152257671888,NA,-6.61378544699639,"F1044M2",61
"62",-8.12648423153486,-7.6890999935588,NA,-6.40718240172644,"F1044M2",62
"63",-9.28881488404221,-8.27152293427377,NA,-6.39099498857358,"F1044M2",63
"64",-9.39897884014659,-8.66183684267481,NA,-6.29721693980641,"F1044M2",64
"65",-9.12369738210662,-8.95108850469308,NA,-5.84646567817547,"F1044M2",65
"66",-8.47203906890697,-8.98365084267914,NA,-5.87645728344361,"F1044M2",66
"67",-7.42550841038296,-9.06961355324134,NA,-5.77491572802631,"F1044M2",67
"68",-6.74754907097826,-8.99339550144809,NA,-5.6471644847444,"F1044M2",68
"69",-7.34972782974378,-8.83498322220423,NA,-5.68661445997648,"F1044M2",69
"70",-7.94580440651638,-8.88776158223548,NA,-5.75396187047277,"F1044M2",70
