"","video","frame_index","slidedMother","slidedPatient","slidedTherapist"
"1","F1044O2",1,-4.90973489112098,-7.30674016494377,-5.63422053608626
"2","F1044O2",2,-5.47796849843405,-7.79228999517341,-5.52182947421179
"3","F1044O2",3,-6.19845615415443,-8.76491947269107,-5.52182947421179
"4","F1044O2",4,-6.81225284727677,-9.8279455646256,-5.56146511882213
"5","F1044O2",5,-7.22956465887594,-10.2641900147285,-5.61124431199596
"6","F1044O2",6,-7.45525793344553,-9.90583812088292,-5.44383573573151
"7","F1044O2",7,-7.64735098182652,-10.1255608179768,-5.48521992168768
"8","F1044O2",8,-7.60778587155479,-9.72537156793649,-5.50151847407037
"9","F1044O2",9,-7.50884664656124,-9.32518231789614,-5.38305004668693
"10","F1044O2",10,-7.23886170880991,-10.1145537516218,-5.47879737347581
"11","F1044O2",11,-6.7974062905719,-10.4729056454674,-5.48508060301333
"12","F1044O2",12,-6.54050369499674,-10.7344651003554,-5.48973213705922
"13","F1044O2",13,-6.34433792118292,-10.8730948955077,-5.6846440233004
"14","F1044O2",14,-5.90327345528323,-10.8730948955077,-5.72110813345914
"15","F1044O2",15,-5.58618309276616,-10.8730948955077,-5.62975673769897
"16","F1044O2",16,-5.30059960695627,-10.8730948955077,-5.68308216950102
"17","F1044O2",17,-4.90888327627796,-10.6115354406197,-5.73067380365166
"18","F1044O2",18,-4.57797140347134,-10.4729056454674,-5.57991983374099
"19","F1044O2",19,-4.59892414582158,-10.8730948955077,-5.72976713222935
"20","F1044O2",20,-4.89361299129435,-10.6115354406197,-5.69516323964893
"21","F1044O2",21,-5.3863237894157,-10.8730948955077,-5.62946274593903
"22","F1044O2",22,-5.84533478132897,-11.1346543503958,-5.60690349736112
"23","F1044O2",23,-6.3528845911743,-11.5348436004361,-5.53627537701148
"24","F1044O2",24,-6.97410082419063,-10.884102115737,-5.53627537701148
"25","F1044O2",25,-7.21622435530151,-10.2106427021256,-5.64541458049282
"26","F1044O2",26,-7.07479782310949,-9.9490832472376,-5.64742449564565
"27","F1044O2",27,-7.09587042536696,-9.9490832472376,-5.56193564135972
"28","F1044O2",28,-7.14880899530541,-9.68752379234957,-5.68621667920218
"29","F1044O2",29,-6.96290146732787,-10.0767058221606,-5.53455955136841
"30","F1044O2",30,-6.96290146732787,-11.01172469066,-5.47382277963472
"31","F1044O2",31,-7.07309599566117,-11.2732841455481,-5.56742008178539
"32","F1044O2",32,-6.92365285259712,-11.2732841455481,-5.60563114939605
"33","F1044O2",33,-6.66214988220616,-11.2732841455481,-5.50782031557271
"34","F1044O2",34,-6.42400406406402,-11.2732841455481,-5.54976432872166
"35","F1044O2",35,-6.22617870589883,-10.8730948955077,-5.47676949662641
"36","F1044O2",36,-6.20998506978956,-10.4729056454674,-5.48332696143616
"37","F1044O2",37,-6.22219202195009,-10.4729056454674,-5.51033412837788
"38","F1044O2",38,-6.58384979582363,-10.7344651003554,-5.47105981917097
"39","F1044O2",39,-6.90573785747,-10.5958353052031,-5.42911580602202
"40","F1044O2",40,-6.84010287017291,-10.9960245552435,-5.48831209895003
"41","F1044O2",41,-6.62639603557072,-11.3962138052838,-5.36527531009042
"42","F1044O2",42,-6.45793797540892,-11.1346543503958,-5.32209805857369
"43","F1044O2",43,-5.85581395752589,-11.1346543503958,-5.40789699585671
"44","F1044O2",44,-5.26904242044043,-11.2732841455481,-5.41153318162861
"45","F1044O2",45,-5.20972831111736,-11.2732841455481,-5.3426576093328
"46","F1044O2",46,-5.45989972327845,-11.2732841455481,-5.43774210594338
"47","F1044O2",47,-5.77122786452215,-11.1346543503958,-5.37493558415383
"48","F1044O2",48,-6.01334061409664,-10.8730948955077,-5.39495241453693
"49","F1044O2",49,-6.1460999174445,-11.1346543503958,-5.60051033857693
"50","F1044O2",50,-6.18505787892535,-11.1346543503958,-5.64435334014339
"51","F1044O2",51,-6.17466645680122,-10.8730948955077,-5.58039928300084
"52","F1044O2",52,-6.3132955506558,-11.2732841455481,-5.69374582426663
"53","F1044O2",53,-6.5249195781898,-11.5348436004361,-5.66442518237565
"54","F1044O2",54,-6.71404836707382,-11.5348436004361,-5.51579330227825
"55","F1044O2",55,-7.07895774890004,-11.2732841455481,-5.64299066987959
"56","F1044O2",56,-7.03585267867517,-11.2732841455481,-5.73159141285455
"57","F1044O2",57,-6.77036162642742,-10.8730948955077,-5.71026954044507
"58","F1044O2",58,-6.66819678688877,-10.8730948955077,-5.76780561960211
"59","F1044O2",59,-6.75468036466373,-10.8730948955077,-5.75827968341066
"60","F1044O2",60,-6.7074026720982,-11.1346543503958,-5.74398820153606
"61","F1044O2",61,-6.83414782843038,-11.3962138052838,-5.75407434723939
"62","F1044O2",62,-6.96100978682354,-11.7964030553241,-5.66780566835803
"63","F1044O2",63,-7.04937595699337,-11.5348436004361,-5.59496128786072
"64","F1044O2",64,-7.26264620487824,-11.0535614484542,-5.65095375240107
"65","F1044O2",65,-7.49318184416888,-10.6533721984138,-5.51756477726041
"66","F1044O2",66,-8.14480096748096,-9.71835332991441,-5.38774744911408
"67","F1044O2",67,-8.63614840726018,-9.71835332991441,-5.47856193256036
"68","F1044O2",68,-8.68641133094492,-9.71835332991441,-5.44743149309233
"69","F1044O2",69,-8.4902456229496,-9.79944623185601,-5.31664595445636
"70","F1044O2",70,-7.98778495680942,-10.1996354818964,-5.40131082245991
"71","F1044O2",71,-7.05794772020731,-11.1346543503958,-5.36364886106914
"72","F1044O2",72,-6.38564054502242,-11.1346543503958,-5.40149715500071
"73","F1044O2",73,-6.03804926805036,-10.9149316533019,-5.56503893218454
"74","F1044O2",74,-5.70914337734392,-10.6643794186431,-5.58700171884491
"75","F1044O2",75,-5.51741832884758,-10.6643794186431,-5.55463280436039
"76","F1044O2",76,-5.42912024153413,-10.1830972666612,-5.66805414845043
"77","F1044O2",77,-5.41897742465934,-10.1830972666612,-5.59644190288718
"78","F1044O2",78,-5.62510198180265,-10.4028199637551,-5.46828619015293
"79","F1044O2",79,-5.82828599801759,-11.0535614484542,-5.53064241377963
"80","F1044O2",80,-6.03255846425326,-11.0535614484542,-5.51095444691526
"81","F1044O2",81,-6.77343521541979,-11.2732841455481,-5.55492624665898
"82","F1044O2",82,-7.59451384499061,-10.6898371081732,-5.62378003833608
"83","F1044O2",83,-8.22732754825514,-9.88837047112673,-5.63483271469481
"84","F1044O2",84,-9.01949023921745,-8.66931206928211,-5.68439984626227
"85","F1044O2",85,-9.26860942587777,-7.32364536035171,-5.73112288930122
"86","F1044O2",86,-8.99135055365379,-6.17958253415781,-5.55117049688955
"87","F1044O2",87,-8.58397453277984,-5.48028058666421,-5.49023837221863
"88","F1044O2",88,-7.797609617629,-5.34347751550688,-5.4879781333701
"89","F1044O2",89,-6.83680538904467,-5.29100489276708,-5.35731798018101
"90","F1044O2",90,-6.42598037354597,-5.3410150214015,-5.32799733829004
"91","F1044O2",91,-5.92899891880709,-5.77980532027186,-5.40710029958447
"92","F1044O2",92,-5.33919779039842,-5.92210431010296,-5.40509038443164
"93","F1044O2",93,-5.11991138400104,-6.2421652012348,-5.37782332489145
"94","F1044O2",94,-4.99928156448299,-7.03241407383728,-5.49635879782038
"95","F1044O2",95,-5.00056805961109,-7.5249006803045,-5.43939133076499
"96","F1044O2",96,-5.20524602298179,-8.09154341247573,-5.53063894072119
"97","F1044O2",97,-5.56681320479567,-8.5309890371578,-5.66530727854596
"98","F1044O2",98,-5.86719263281468,-8.79084596038417,-5.64839583612637
"99","F1044O2",99,-6.30889232632319,-9.01056865747808,-5.53986242885749
"100","F1044O2",100,-6.70396660990981,-9.3324564793249,-5.62615053780385
"101","F1044O2",101,-7.11134276388368,-9.0105692558784,-5.53689328326827
"102","F1044O2",102,-7.50615817048723,-9.31138437619334,-5.42553134065691
"103","F1044O2",103,-7.69844053039332,-9.01811668624973,-5.49354783566489
"104","F1044O2",104,-7.73409017071192,-8.31284415892619,-5.57983594461126
"105","F1044O2",105,-8.04688521647642,-7.65616152908532,-5.65192433984895
"106","F1044O2",106,-8.26660833971097,-7.30806753824361,-5.68679478541876
"107","F1044O2",107,-7.98934976696194,-6.66429273231029,-5.60645234216515
"108","F1044O2",108,-8.06289451821772,-6.43702177595019,-5.61419522985644
"109","F1044O2",109,-8.01155044410769,-6.24911218431495,-5.63940332187838
"110","F1044O2",110,-7.86210749368905,-6.62853558289195,-5.49889566450993
"111","F1044O2",111,-7.83127707250864,-6.83799977858135,-5.46203486351951
"112","F1044O2",112,-7.83634067249975,-6.85907188171292,-5.56621529982133
"113","F1044O2",113,-7.76279592124397,-6.7907226062042,-5.55595629149131
"114","F1044O2",114,-8.27959557299224,-7.26801641682701,-5.4567986461155
"115","F1044O2",115,-8.16321141224901,-7.06569639769119,-5.4827056942012
"116","F1044O2",116,-7.70849159903299,-6.7540678331222,-5.54763808944556
"117","F1044O2",117,-7.92821436392093,-6.94875723986471,-5.66928732407261
"118","F1044O2",118,-8.44120389754403,-7.02210730323669,-5.7170657408592
"119","F1044O2",119,-8.30257446143204,-6.46448816911208,-5.77339351792354
"120","F1044O2",120,-8.86921691884925,-6.23299736268841,-5.86996367741564
"121","F1044O2",121,-9.14647579107323,-6.24830505171256,-5.94168997541666
