"","slidedFather","slidedMother","slidedPatient","slidedTherapist","video","frame_index"
"1",NA,-4.7738874968496,-5.87195955562389,-5.53401115839871,"F1044P",1
"2",NA,-5.19650288387162,-5.76972495072968,-5.47043829178704,"F1044P",2
"3",NA,-5.74078027539142,-5.67424262178625,-5.56829699116567,"F1044P",3
"4",NA,-6.27433119338375,-5.43376950929518,-5.64279735530731,"F1044P",4
"5",NA,-6.86939914715227,-5.23485313676732,-5.64789544361568,"F1044P",5
"6",NA,-7.35738922314193,-5.16020376574366,-5.63874733649998,"F1044P",6
"7",NA,-7.64129651867321,-5.06636081738406,-5.6586476075419,"F1044P",7
"8",NA,-7.98255516421645,-4.95489102763041,-5.63344656571108,"F1044P",8
"9",NA,-8.26916554355621,-4.73413048684323,-5.60025119615342,"F1044P",9
"10",NA,-8.73198123295569,-4.52270623540987,-5.58533096978469,"F1044P",10
"11",NA,-9.41238064876273,-4.29164901897108,-5.63593584140862,"F1044P",11
"12",NA,-9.24810154328366,-4.10310064082738,-5.64394092851603,"F1044P",12
"13",NA,-8.58304204073248,-3.95207947275999,-5.67736654087654,"F1044P",13
"14",NA,-7.74529531190582,-3.82915647230533,-5.66986266051702,"F1044P",14
"15",NA,-6.49020662633552,-3.71148919121832,-5.67471343910812,"F1044P",15
"16",NA,-4.81958593315292,-3.62193556031036,-5.68354261197505,"F1044P",16
"17",NA,-4.0573162301796,-3.57300232936127,-5.68083829565654,"F1044P",17
"18",NA,-3.70295236369401,-3.57229380107071,-5.62084406001453,"F1044P",18
"19",NA,-3.47829803310533,-3.67156287249377,-5.38085067533975,"F1044P",19
"20",NA,-3.29241373891481,-3.92524260493993,-5.01032639372378,"F1044P",20
"21",NA,-3.1528977170337,-4.2931183309624,-4.5486662482663,"F1044P",21
"22",NA,-3.02395452253691,-4.54195426979577,-4.06370488245877,"F1044P",22
"23",NA,-2.92702543258985,-4.84147726745625,-3.64970651732401,"F1044P",23
"24",NA,-2.84245915805894,-5.06148259229804,-3.50577433341213,"F1044P",24
"25",NA,-2.77027156144752,-5.16738315596242,-3.5573098474928,"F1044P",25
"26",NA,-2.72825211835431,-5.19153297206608,-3.72608679791464,"F1044P",26
"27",NA,-2.73548407635265,-5.32467488883686,-4.04896025958685,"F1044P",27
"28",NA,-2.77671843072874,-5.38639951229667,-4.4992296998811,"F1044P",28
"29",NA,-2.82507614876307,-5.49468535489482,-4.83728593900065,"F1044P",29
"30",NA,-2.8759112614633,-5.61076806075667,-5.13978825795663,"F1044P",30
"31",NA,-2.91511316052085,-5.76496038340843,-5.34033150380817,"F1044P",31
"32",NA,-2.9701686191933,-5.92200219933491,-5.47721836611267,"F1044P",32
"33",NA,-3.06562677961195,-6.17573484634101,-5.45379074427646,"F1044P",33
"34",NA,-3.26625737045019,-6.27802049017952,-5.35673845260211,"F1044P",34
"35",NA,-3.73070146116829,-6.22252016062787,-5.20024099863167,"F1044P",35
"36",NA,-4.27389648455665,-5.94876109920364,-4.94575231205508,"F1044P",36
"37",NA,-4.6379238284306,-5.55958074708766,-4.58246052138208,"F1044P",37
"38",NA,-4.89112687314605,-5.01227283966545,-4.20060965103598,"F1044P",38
