"","slidedFather","slidedMother","slidedPatient","slidedTherapist","video","frame_index"
"1",NA,-10.7141294041664,-5.10068837467812,-5.63918363285222,"F1044Q1",1
"2",NA,-11.0050602712662,-4.77730822233177,-5.54456452307541,"F1044Q1",2
"3",NA,-11.2959911383661,-4.41750422328776,-5.68407268418451,"F1044Q1",3
"4",NA,-11.7007241878164,-4.10835281567616,-5.69121873168952,"F1044Q1",4
"5",NA,-11.7007241878164,-4.05279379880553,-5.65499245141526,"F1044Q1",5
"6",NA,-11.9916550549163,-4.15086342635127,-5.56188428186812,"F1044Q1",6
"7",NA,-11.7007241878164,-4.39114937812073,-5.56188428186812,"F1044Q1",7
"8",NA,-11.7007241878164,-4.76493171790312,-5.56861095913394,"F1044Q1",8
"9",NA,-11.7007241878164,-5.23332063737232,-5.60876245518721,"F1044Q1",9
"10",NA,-11.7007241878164,-5.6853109415023,-5.48947680530135,"F1044Q1",10
"11",NA,-11.4097933207165,-6.08558504145178,-5.56284193622831,"F1044Q1",11
"12",NA,-11.4097933207165,-6.24843453572495,-5.57478952883256,"F1044Q1",12
"13",NA,-11.4097933207165,-6.21959243025768,-5.5713979114156,"F1044Q1",13
"14",NA,-11.1188624536167,-6.24196506280104,-5.45215836666029,"F1044Q1",14
"15",NA,-11.1188624536167,-6.59062673361527,-5.63373662046505,"F1044Q1",15
"16",NA,-11.1188624536167,-6.6437021034844,-5.69628813538529,"F1044Q1",16
"17",NA,-11.4097933207165,-6.95129756882319,-5.70466924515419,"F1044Q1",17
"18",NA,-11.1188624536167,-7.28371077358238,-5.61423263653096,"F1044Q1",18
"19",NA,-11.4097933207165,-7.3683992544557,-5.67043017161517,"F1044Q1",19
"20",NA,-10.8801048204046,-6.96544143374683,-5.67394164176703,"F1044Q1",20
"21",NA,-10.6942209546821,-6.79306144955328,-5.6465330112342,"F1044Q1",21
"22",NA,-10.6942209546821,-6.4105227749902,-5.53230088140672,"F1044Q1",22
"23",NA,-10.5804187723317,-6.0929733349599,-5.58597466561446,"F1044Q1",23
"24",NA,-10.1756857228814,-5.86807041212674,-5.55590850573842,"F1044Q1",24
"25",NA,-10.7053742231933,-5.75772210966897,-5.46838784281863,"F1044Q1",25
"26",NA,-10.8912580889158,-5.62950403761144,-5.3580274913129,"F1044Q1",26
"27",NA,-10.6003272218159,-5.49680055331215,-5.57304944371942,"F1044Q1",27
"28",NA,-11.0050602712662,-5.22694853946938,-5.52812340432324,"F1044Q1",28
"29",NA,-11.1188624536167,-4.95493438442769,-5.58351998254175,"F1044Q1",29
"30",NA,-10.7141294041664,-4.78055647117405,-5.54992212050932,"F1044Q1",30
"31",NA,-10.6003272218159,-4.7887108943695,-5.55743710131404,"F1044Q1",31
"32",NA,-10.8912580889158,-5.13809729835804,-5.50209745880698,"F1044Q1",32
"33",NA,-10.8912580889158,-5.75060258323698,-5.53879989406741,"F1044Q1",33
"34",NA,-11.1821889560156,-6.16481319592972,-5.42701836532632,"F1044Q1",34
"35",NA,-11.5869220054659,-6.6477944569903,-5.46997829289456,"F1044Q1",35
"36",NA,-11.9916550549163,-6.86322646928711,-5.4901022826021,"F1044Q1",36
"37",NA,-11.9916550549163,-6.60757672842079,-5.49832588673785,"F1044Q1",37
"38",NA,-11.9916550549163,-6.06504722861824,-5.41945403435933,"F1044Q1",38
"39",NA,-11.7007241878164,-5.66460943654582,-5.58434700019628,"F1044Q1",39
"40",NA,-11.7007241878164,-5.11004094293983,-5.56604158335986,"F1044Q1",40
"41",NA,-11.7007241878164,-4.64350200119676,-5.58841933448933,"F1044Q1",41
"42",NA,-11.2959911383661,-4.3288994760683,-5.51832046528803,"F1044Q1",42
"43",NA,-11.0050602712662,-4.09945083073957,-5.51296169827194,"F1044Q1",43
"44",NA,-10.8912580889158,-3.97179712242952,-5.52619685985274,"F1044Q1",44
"45",NA,-10.4865250394654,-3.89160069908025,-5.55685680000238,"F1044Q1",45
"46",NA,-10.4865250394654,-3.8923322750528,-5.46686274699463,"F1044Q1",46
"47",NA,-10.8912580889158,-3.97823697584574,-5.56388089644758,"F1044Q1",47
"48",NA,-10.8912580889158,-4.07415923602229,-5.58040902952858,"F1044Q1",48
"49",NA,-11.2959911383661,-4.10218126841286,-5.50683023808378,"F1044Q1",49
"50",NA,-11.7007241878164,-4.12198061544272,-5.40668148661284,"F1044Q1",50
"51",NA,-11.4097933207165,-4.26952283588154,-5.5357769993496,"F1044Q1",51
"52",NA,-11.1188624536167,-4.57261714706507,-5.46617961040255,"F1044Q1",52
"53",NA,-11.1188624536167,-4.96634411153429,-5.50632759177805,"F1044Q1",53
"54",NA,-10.8279315865168,-5.35827165563972,-5.47769704741376,"F1044Q1",54
"55",NA,-10.537000719417,-5.64851577122909,-5.54501125939747,"F1044Q1",55
"56",NA,-10.8279315865168,-5.71354350663057,-5.5936620600653,"F1044Q1",56
"57",NA,-11.1188624536167,-5.67251053033653,-5.5936620600653,"F1044Q1",57
"58",NA,-11.4097933207165,-5.91169999164418,-5.49006762285268,"F1044Q1",58
