"","video","frame_index","slidedFather","slidedMother","slidedPatient","slidedTherapist"
"1","F1044R1",1,-11.7420053515079,-5.47347165615249,NA,-10.680792730303
"2","F1044R1",2,-11.7420053515079,-5.57934899200791,NA,-10.680792730303
"3","F1044R1",3,-11.7420053515079,-5.55603193919194,NA,-10.680792730303
"4","F1044R1",4,-11.7420053515079,-5.70150545393411,NA,-10.35083458634
"5","F1044R1",5,-11.7420053515079,-5.82603303565576,NA,-10.35083458634
"6","F1044R1",6,-11.7420053515079,-5.67301604424257,NA,-10.35083458634
"7","F1044R1",7,-11.7420053515079,-5.51997259873703,NA,-10.35083458634
"8","F1044R1",8,-11.7420053515079,-5.59432732962937,NA,-9.52545419540627
"9","F1044R1",9,-11.7420053515079,-5.61411806935866,NA,-8.8999832013344
"10","F1044R1",10,-11.7420053515079,-5.62321452374065,NA,-7.78173074249383
"11","F1044R1",11,-11.7420053515079,-5.80010305637239,NA,-6.72984861484404
"12","F1044R1",12,-11.7420053515079,-5.92809893645506,NA,-5.85117613981436
"13","F1044R1",13,-11.7420053515079,-6.04986193860284,NA,-5.76010354033349
"14","F1044R1",14,-11.7420053515079,-6.34461641474824,NA,-5.87076712332617
"15","F1044R1",15,-11.7420053515079,-6.58851093564159,NA,-6.12102321543222
"16","F1044R1",16,-11.7420053515079,-6.83354021822701,NA,-6.14664676144324
"17","F1044R1",17,-11.7420053515079,-7.52751754990389,NA,-6.25416691203394
"18","F1044R1",18,-11.7420053515079,-8.36671983832312,NA,-6.55214385339363
"19","F1044R1",19,-11.4201172660447,-8.51953395601057,NA,-6.72806683898539
"20","F1044R1",20,-11.4201172660447,-8.68491390212813,NA,-6.7336265000466
"21","F1044R1",21,-11.4201172660447,-8.89340528522587,NA,-6.58704996386809
"22","F1044R1",22,-11.4201172660447,-8.42676595945183,NA,-6.12767479095184
"23","F1044R1",23,-11.4201172660447,-7.76431635779223,NA,-5.56171666581493
"24","F1044R1",24,-11.7420053515079,-8.08912222917861,NA,-5.02783018797168
"25","F1044R1",25,-11.7420053515079,-8.12265096008188,NA,-4.68651207868693
"26","F1044R1",26,-11.7420053515079,-7.97080015734177,NA,-4.61415660096166
"27","F1044R1",27,-11.7420053515079,-8.03711088529179,NA,-4.56240258720385
"28","F1044R1",28,-11.7420053515079,-8.52513991093904,NA,-4.47961695347459
"29","F1044R1",29,-11.7420053515079,-8.37076215357046,NA,-4.59091731367787
"30","F1044R1",30,-11.4201172660447,-8.34779702838545,NA,-5.56820178932776
"31","F1044R1",31,-11.2003948083111,-8.36487453821588,NA,-5.91970375397083
"32","F1044R1",32,-10.8785067228479,-9.17774801884107,NA,-6.60357501662959
"33","F1044R1",33,-10.5566186373847,-9.24651788918134,NA,-7.6443244852425
"34","F1044R1",34,-10.5566186373847,-9.8134405293511,NA,-8.73575317233295
"35","F1044R1",35,-10.5566186373847,-10.5619447040603,NA,-8.96222351164111
"36","F1044R1",36,-10.7763410951184,-11.005944533304,NA,-9.01114658749837
"37","F1044R1",37,-11.0982291805815,-10.3913867603551,NA,-8.95613548704379
"38","F1044R1",38,-11.4201172660447,-10.4970374660272,NA,-9.18260582635195
"39","F1044R1",39,-11.2003948083111,-10.4970374660272,NA,-9.18260582635195
"40","F1044R1",40,-11.3025604360407,-9.93011482585741,NA,-8.54589486253618
"41","F1044R1",41,-11.3025604360407,-10.2738898383183,NA,-8.99284315407029
"42","F1044R1",42,-11.3025604360407,-10.8884476112672,NA,-9.64626450297914
"43","F1044R1",43,-11.3025604360407,-11.126571918056,NA,-9.64626450297914
"44","F1044R1",44,-11.5222828937743,-11.126571918056,NA,-9.64626450297914
"45","F1044R1",45,-11.5222828937743,-11.6934945582258,NA,-10.2829754667949
"46","F1044R1",46,-11.5222828937743,-10.9449903835166,NA,-9.94883574408038
"47","F1044R1",47,-11.5222828937743,-10.5324455007154,NA,-9.94883574408038
"48","F1044R1",48,-11.5222828937743,-10.1886704882545,NA,-9.94883574408038
"49","F1044R1",49,-11.5222828937743,-9.429602707827,NA,-9.94883574408038
"50","F1044R1",50,-11.7420053515079,-8.96597993875299,NA,-9.94883574408038
"51","F1044R1",51,-11.7420053515079,-9.37070910100132,NA,-10.680792730303
"52","F1044R1",52,-11.7420053515079,-9.43947897134158,NA,-10.2829754667949
"53","F1044R1",53,-11.7420053515079,-9.78325398380249,NA,-9.35809587292372
"54","F1044R1",54,-11.5222828937743,-9.97539912406022,NA,-8.1533205244641
"55","F1044R1",55,-11.5222828937743,-9.5775289612416,NA,-6.84094826403927
