"","slidedFather","slidedMother","slidedPatient","slidedTherapist","video","frame_index"
"1",NA,-8.87296408971997,-8.5081559834449,-8.33970914876111,"F1069B2",1
"2",NA,-8.87296408971997,-7.70356836542715,-8.30601066429132,"F1069B2",2
"3",NA,-9.59210759557149,-7.43341669106233,-8.36854057905562,"F1069B2",3
"4",NA,-10.0883303680963,-6.53832697024226,-8.43107049381992,"F1069B2",4
"5",NA,-10.9529658403806,-5.85821977057488,-8.43107049381992,"F1069B2",5
"6",NA,-10.8188782008202,-5.62586993176724,-8.31166671347467,"F1069B2",6
"7",NA,-10.2749252491876,-5.4558466424377,-8.2576412520661,"F1069B2",7
"8",NA,-9.97215562022173,-5.50126765535261,-8.41759637417673,"F1069B2",8
"9",NA,-10.0874713808377,-5.71254089355651,-8.91686846665431,"F1069B2",9
"10",NA,-9.3887914005457,-6.32142792545696,-8.87631712488893,"F1069B2",10
"11",NA,-9.52287904010609,-6.76945696320805,-8.65506947474113,"F1069B2",11
"12",NA,-9.52287904010609,-6.91246022575855,-8.78334476238487,"F1069B2",12
"13",NA,-9.28169571743941,-6.85999364830443,-8.49317352634562,"F1069B2",13
"14",NA,-9.28169571743941,-7.04125482851576,-7.96020294939825,"F1069B2",14
"15",NA,-9.67760606876557,-6.94735462516275,-8.12015807150888,"F1069B2",15
"16",NA,-10.2982098937193,-7.02373753297604,-8.34140572165668,"F1069B2",16
"17",NA,-10.8421628453519,-7.65660284865719,-8.46080950200192,"F1069B2",17
"18",NA,-10.8421628453519,-8.01180022653087,-8.55732713146075,"F1069B2",18
"19",NA,-11.1449324743178,-7.89716813419314,-8.50330167005218,"F1069B2",19
"20",NA,-11.4477021032837,-7.75096188391699,-8.38389788970693,"F1069B2",20
"21",NA,-11.4477021032837,-7.55577526073202,-8.34334654794155,"F1069B2",21
"22",NA,-11.4477021032837,-7.15398622276304,-7.96242281377451,"F1069B2",22
"23",NA,-11.9916550549163,-7.32710204393021,-7.81542498986189,"F1069B2",23
"24",NA,-11.9916550549163,-7.94428943867279,-7.99462053078527,"F1069B2",24
"25",NA,-11.6888854259504,-8.40862608461776,-7.40592335891631,"F1069B2",25
"26",NA,-11.6888854259504,-8.82663434338873,-7.21088283924599,"F1069B2",26
"27",NA,-11.6888854259504,-9.19917952318789,-7.22342701310833,"F1069B2",27
"28",NA,-11.6888854259504,-8.91033548663759,-6.87071693719937,"F1069B2",28
"29",NA,-11.6888854259504,-8.75322723424358,-7.04416703769793,"F1069B2",29
"30",NA,-11.9916550549163,-8.98711655448513,-7.39727234813121,"F1069B2",30
"31",NA,-11.9916550549163,-8.51486255034387,-7.3278103250181,"F1069B2",31
"32",NA,-11.9916550549163,-8.09714135511913,-7.57678610497756,"F1069B2",32
"33",NA,-11.9916550549163,-8.40287130999993,-8.27014761137957,"F1069B2",33
"34",NA,-11.6888854259504,-7.91248970507798,-8.50449800831356,"F1069B2",34
"35",NA,-11.3861157969845,-7.10825976550648,-8.61181458210551,"F1069B2",35
"36",NA,-11.3861157969845,-7.08581123090777,-8.84261864041913,"F1069B2",36
"37",NA,-11.3861157969845,-6.90944589622055,-8.76836881418396,"F1069B2",37
"38",NA,-11.3861157969845,-6.47557850357385,-8.57471520760354,"F1069B2",38
