"","slidedFather","slidedMother","slidedPatient","slidedTherapist","video","frame_index"
"1",NA,-5.47556652871954,-6.79870731594618,-5.82732873733591,"F1073A2",1
"2",NA,-5.26068458690413,-6.88966058637887,-5.6280705289677,"F1073A2",2
"3",NA,-5.12219044797753,-6.94252847394249,-5.62517107708673,"F1073A2",3
"4",NA,-4.95974769702987,-6.80515564946378,-5.58221039225992,"F1073A2",4
"5",NA,-4.83101296610245,-6.5956986469077,-5.49436890294926,"F1073A2",5
"6",NA,-4.81817878136348,-6.47216164498031,-5.44948445756246,"F1073A2",6
"7",NA,-4.87437070707341,-6.77807256739186,-5.45146538090938,"F1073A2",7
"8",NA,-4.94680824250061,-6.54369940256959,-5.40310877684411,"F1073A2",8
"9",NA,-5.03586025939661,-6.37293637868761,-5.68348750989501,"F1073A2",9
"10",NA,-5.10265222763426,-6.49338169590839,-5.7049060607278,"F1073A2",10
"11",NA,-5.17312094227742,-6.89089347121881,-5.79235329889891,"F1073A2",11
"12",NA,-5.15861528502844,-7.08343315942653,-5.82236659563604,"F1073A2",12
"13",NA,-5.02425016367271,-7.26920723646567,-5.98380271438201,"F1073A2",13
"14",NA,-4.93214165482108,-7.67552679768177,-5.73474864678536,"F1073A2",14
"15",NA,-4.97001540308524,-8.03609001623227,-5.80757574689741,"F1073A2",15
"16",NA,-5.05229018687518,-7.82346400655935,-5.90015991046796,"F1073A2",16
"17",NA,-5.32258684747696,-7.75550073476662,-5.87014661373082,"F1073A2",17
"18",NA,-5.72790836753263,-8.46197745500886,-5.70646237810758,"F1073A2",18
"19",NA,-5.99332351635799,-8.97196596060574,-5.71571640412258,"F1073A2",19
"20",NA,-6.0914332088509,-9.76096439301107,-5.72572437501776,"F1073A2",20
"21",NA,-5.87033280623087,-10.7395159248853,-5.8202920161565,"F1073A2",21
"22",NA,-5.41042616928012,-11.2495044304821,-5.97025239603371,"F1073A2",22
"23",NA,-4.85427182619935,-11.2495044304821,-5.96802975424172,"F1073A2",23
"24",NA,-4.28017660446428,-11.5173104423336,-5.96802975424172,"F1073A2",24
"25",NA,-3.69017321998463,-11.5173104423336,-5.94238019809632,"F1073A2",25
"26",NA,-3.379424428506,-11.5173104423336,-5.71751642321975,"F1073A2",26
"27",NA,-3.21909200394209,-11.4067754355077,-5.70133545609104,"F1073A2",27
"28",NA,-3.15410496553908,-11.6745814473592,-5.6803664126811,"F1073A2",28
"29",NA,-3.1998636073322,-11.4067754355077,-5.66011676170485,"F1073A2",29
"30",NA,-3.26508305884154,-11.4067754355077,-5.69993957934249,"F1073A2",30
"31",NA,-3.32300266086781,-11.4067754355077,-5.82558056871283,"F1073A2",31
"32",NA,-3.38403038791701,-11.5173104423336,-5.86402393377094,"F1073A2",32
"33",NA,-3.45807536424427,-11.016020362444,-6.07799243874352,"F1073A2",33
"34",NA,-3.53667654014931,-11.016020362444,-6.07799243874352,"F1073A2",34
"35",NA,-3.68631126321971,-11.016020362444,-5.96366977622591,"F1073A2",35
"36",NA,-3.90940666911523,-10.7482143505925,-5.81054631990475,"F1073A2",36
"37",NA,-4.14324861583634,-10.5147302825544,-5.69031916175483,"F1073A2",37
"38",NA,-4.3072719359156,-10.5147302825544,-5.44338904776955,"F1073A2",38
"39",NA,-4.44977386735324,-10.2399065785323,-5.49988263566097,"F1073A2",39
"40",NA,-4.55225636018769,-10.2399065785323,-5.47459788326266,"F1073A2",40
"41",NA,-4.64715005595099,-10.5077125903838,-5.49722952759646,"F1073A2",41
"42",NA,-4.75839372645476,-10.7411966584219,-5.55695847670338,"F1073A2",42
"43",NA,-4.77786066902003,-10.9746807264601,-5.65526030094913,"F1073A2",43
"44",NA,-4.76747156174722,-11.0681920408738,-5.75189016937886,"F1073A2",44
"45",NA,-4.72372515942299,-10.619073639414,-5.93661708315522,"F1073A2",45
"46",NA,-4.58632342965871,-10.2407326207367,-5.8879397550657,"F1073A2",46
"47",NA,-4.39292780137219,-10.5085386325881,-5.78642479072531,"F1073A2",47
"48",NA,-4.31116454898117,-10.3272262429798,-5.78368368890525,"F1073A2",48
"49",NA,-4.26541721776392,-10.7763446444396,-5.65080988356035,"F1073A2",49
"50",NA,-4.25582768579086,-11.2254630458994,-5.52272877669192,"F1073A2",50
"51",NA,-4.28951088666058,-11.6038040645767,-5.6460548520933,"F1073A2",51
"52",NA,-4.34555567171622,-11.3359980527252,-5.58205912343562,"F1073A2",52
"53",NA,-4.48532320979985,-11.2838263742954,-5.50598869906626,"F1073A2",53
"54",NA,-4.57795674530621,-11.016020362444,-5.49006522176526,"F1073A2",54
"55",NA,-4.61014148373251,-11.016020362444,-5.52437510133905,"F1073A2",55
"56",NA,-4.60534537027342,-10.6376793437667,-5.4292460993974,"F1073A2",56
"57",NA,-4.60360340430326,-10.5271443369408,-5.27001056995702,"F1073A2",57
"58",NA,-4.52530270698789,-11.0284344168304,-4.92623777218195,"F1073A2",58
"59",NA,-4.43811185165838,-11.0284344168304,-4.5120680843263,"F1073A2",59
"60",NA,-4.37984866655799,-11.0284344168304,-4.02723463300662,"F1073A2",60
"61",NA,-4.35256382721508,-10.9576570340479,-3.63768105407984,"F1073A2",61
"62",NA,-4.36142360261532,-11.0681920408738,-3.54884170866603,"F1073A2",62
"63",NA,-4.44342899943428,-10.619073639414,-3.74890064806432,"F1073A2",63
"64",NA,-4.6087158324976,-9.93542405842832,-4.02168946950273,"F1073A2",64
"65",NA,-4.82971568266543,-9.13581556429942,-4.44932208149988,"F1073A2",65
"66",NA,-5.04049493372954,-8.71613633611961,-4.77156002330217,"F1073A2",66
"67",NA,-5.18389058907046,-8.14676238851324,-5.20720043513931,"F1073A2",67
"68",NA,-5.21924452381605,-7.80688235756772,-5.45312155784292,"F1073A2",68
"69",NA,-5.15089989447801,-8.75833795040483,-5.75760337455211,"F1073A2",69
"70",NA,-4.98193839297053,-9.55794644453372,-5.68722168349571,"F1073A2",70
"71",NA,-4.79660860732777,-9.92545399428373,-5.7523859309162,"F1073A2",71
"72",NA,-4.61165136614464,-10.7626339537416,-5.5757637513811,"F1073A2",72
"73",NA,-4.4406824583607,-11.5516323861469,-5.43630772770811,"F1073A2",73
"74",NA,-4.44769578876866,-11.5516323861469,-5.16583241951037,"F1073A2",74
"75",NA,-4.76915558122316,-11.5516323861469,-5.12348837996843,"F1073A2",75
"76",NA,-5.03153208564849,-12.0529224660365,-5.00447741926951,"F1073A2",76
"77",NA,-5.05218494946111,-11.785116454185,-4.9061840453964,"F1073A2",77
"78",NA,-5.03347612650188,-11.5173104423336,-4.87087310776879,"F1073A2",78
"79",NA,-4.89243427608793,-11.5173104423336,-4.96147741331734,"F1073A2",79
"80",NA,-4.51893613497309,-11.5173104423336,-5.05366515841663,"F1073A2",80
"81",NA,-4.23552365773677,-11.5173104423336,-5.17054762572382,"F1073A2",81
"82",NA,-4.22364482373796,-11.5173104423336,-5.22695177856717,"F1073A2",82
"83",NA,-4.36784283441275,-11.785116454185,-5.23219897111706,"F1073A2",83
"84",NA,-4.69192833929473,-11.785116454185,-5.20763228683983,"F1073A2",84
"85",NA,-5.03581602263464,-11.5173104423336,-5.19810339456056,"F1073A2",85
"86",NA,-5.16405503192811,-11.5173104423336,-5.18578771083434,"F1073A2",86
"87",NA,-5.15479120384326,-11.785116454185,-5.21521832708876,"F1073A2",87
"88",NA,-5.0269957324801,-11.5173104423336,-5.29600214246902,"F1073A2",88
"89",NA,-4.71489937957269,-11.5173104423336,-5.35805505488096,"F1073A2",89
"90",NA,-4.34234712142049,-11.4067754355077,-5.44822222386278,"F1073A2",90
"91",NA,-4.13249895495806,-11.4067754355077,-5.51915998887216,"F1073A2",91
"92",NA,-4.05968111992257,-11.0284344168304,-5.71616810556857,"F1073A2",92
"93",NA,-4.06581990019906,-10.9178994100045,-5.71816840400454,"F1073A2",93
"94",NA,-4.18924239748764,-10.9178994100045,-5.57176851012836,"F1073A2",94
"95",NA,-4.34507709641167,-11.2962404286819,-5.31237107084575,"F1073A2",95
"96",NA,-4.42181239306849,-11.2962404286819,-5.12208416336112,"F1073A2",96
"97",NA,-4.45144453089464,-11.2962404286819,-4.87230100354976,"F1073A2",97
"98",NA,-4.43753684397884,-11.4067754355077,-4.84596382626738,"F1073A2",98
"99",NA,-4.36236053674738,-11.1389694236563,-4.87476966638574,"F1073A2",99
"100",NA,-4.28829736752945,-10.760628404979,-4.9163351069832,"F1073A2",100
"101",NA,-4.34277101811535,-10.1545316278437,-4.9163351069832,"F1073A2",101
"102",NA,-4.340224407234,-9.61850587301757,-4.93838051372993,"F1073A2",102
"103",NA,-4.28472297479922,-9.34368216899552,-4.97931295939829,"F1073A2",103
"104",NA,-4.18050928868634,-8.83369366339864,-5.10941610624212,"F1073A2",104
"105",NA,-4.04778017769394,-8.53752030086205,-5.20770948011522,"F1073A2",105
"106",NA,-3.88808424091913,-8.6944986765375,-5.23092845881408,"F1073A2",106
"107",NA,-3.86599084389893,-9.60886545004094,-5.19761032426897,"F1073A2",107
"108",NA,-3.93974608190766,-10.1514951659145,-5.02473903925748,"F1073A2",108
"109",NA,-4.06717615532303,-10.4279996034732,-4.75835495493302,"F1073A2",109
"110",NA,-4.24815658117005,-10.8347079728356,-4.58545023681525,"F1073A2",110
"111",NA,-4.43592202235323,-11.2838263742954,-4.47202027475139,"F1073A2",111
