"","slidedFather","slidedMother","slidedPatient","slidedTherapist","video","frame_index"
"1",0.0068007272,0.00106951828,0.004080018,NA,"F1044D2",1
"2",0.0057601772,0.0004391738,0.002875358,NA,"F1044D2",2
"3",0.0043810372,3.100056e-05,0.001793802,NA,"F1044D2",3
"4",0.004843504,2.58338e-05,0.0016267328,NA,"F1044D2",4
"5",0.004017672,4.133408e-05,0.0012574208,NA,"F1044D2",5
"6",0.003059706,3.616732e-05,0.0016443188,NA,"F1044D2",6
"7",0.003055578,4.133408e-05,0.0017410428,NA,"F1044D2",7
"8",0.003067966,0.00010850192,0.0018465608,NA,"F1044D2",8
"9",0.003451978,0.00024800432,0.002558806,NA,"F1044D2",9
"10",0.00398877,0.00028933844,0.002673116,NA,"F1044D2",10
"11",0.00393922,0.00048050848,0.002444494,NA,"F1044D2",11
"12",0.004364524,0.000511509,0.002453288,NA,"F1044D2",12
"13",0.005396814,0.00045467468,0.002171906,NA,"F1044D2",13
"14",0.005669338,0.00037200668,0.001494834,NA,"F1044D2",14
"15",0.006631432,0.00035650628,0.001793802,NA,"F1044D2",15
"16",0.007713272,0.00091451548,0.0015827666,NA,"F1044D2",16
"17",0.009534234,0.00431941468,0.0013893168,NA,"F1044D2",17
"18",0.010500456,0.0106228544,0.0013805248,NA,"F1044D2",18
"19",0.010793626,0.01932368,0.0014420768,NA,"F1044D2",19
"20",0.010004956,0.030080866,0.0010551788,NA,"F1044D2",20
"21",0.00915022,0.04061072,0.0011167302,NA,"F1044D2",21
"22",0.006218512,0.04781318,0.001231042,NA,"F1044D2",22
"23",0.003840118,0.05111474,0.00116949,NA,"F1044D2",23
"24",0.003224874,0.05103206,0.00133656,NA,"F1044D2",24
"25",0.003162938,0.04601514,0.001248628,NA,"F1044D2",25
"26",0.003063838,0.03799634,0.001213456,NA,"F1044D2",26
"27",0.00394748,0.028773672,0.001239834,NA,"F1044D2",27
"28",0.005190356,0.019928186,0.001151902,NA,"F1044D2",28
"29",0.005553722,0.011795716,0.0008705206,NA,"F1044D2",29
"30",0.006078124,0.006479124,0.0009496586,NA,"F1044D2",30
"31",0.007118672,0.003342893,0.0009936246,NA,"F1044D2",31
"32",0.008468898,0.0019633686,0.0009848326,NA,"F1044D2",32
"33",0.010211396,0.00120385488,0.0011694886,NA,"F1044D2",33
"34",0.012771468,0.0006716784,0.001222248,NA,"F1044D2",34
"35",0.015261344,0.0003513396,0.0011958688,NA,"F1044D2",35
"36",0.01725572,0.0004753426,0.0012134548,NA,"F1044D2",36
"37",0.01898584,0.0005476772,0.0011519028,NA,"F1044D2",37
"38",0.02026176,0.00074918092,0.0010200056,NA,"F1044D2",38
"39",0.01997272,0.0019685354,0.0011167296,NA,"F1044D2",39
"40",0.01843256,0.0037717342,0.0011870748,NA,"F1044D2",40
"41",0.01924188,0.0061949422,0.001134316,NA,"F1044D2",41
"42",0.02071186,0.009202,0.001169488,NA,"F1044D2",42
"43",0.0217937,0.012555216,0.0013013852,NA,"F1044D2",43
"44",0.02391196,0.015045588,0.0013453512,NA,"F1044D2",44
"45",0.02614582,0.01701928,0.0013717312,NA,"F1044D2",45
"46",0.02483688,0.01803196,0.00139811,NA,"F1044D2",46
"47",0.02420926,0.0182903,0.00137173,NA,"F1044D2",47
"48",0.02395326,0.0176858,0.001459662,NA,"F1044D2",48
"49",0.0245107,0.01644578,0.001530006,NA,"F1044D2",49
"50",0.02643076,0.014208582,0.001538798,NA,"F1044D2",50
"51",0.0288009,0.011609708,0.001802592,NA,"F1044D2",51
"52",0.0287307,0.008643982,0.0017762132,NA,"F1044D2",52
"53",0.02785118,0.0058229312,0.0015300046,NA,"F1044D2",53
"54",0.02437856,0.0034720602,0.0014860406,NA,"F1044D2",54
"55",0.0204889,0.0018393658,0.0013893166,NA,"F1044D2",55
"56",0.01730944,0.0007750136,0.0012398346,NA,"F1044D2",56
"57",0.01443554,0.0007698476,0.0015212154,NA,"F1044D2",57
"58",0.011722682,0.0013795244,0.001697078,NA,"F1044D2",58
"59",0.011214802,0.0027693814,0.001916906,NA,"F1044D2",59
"60",0.009848048,0.0047327538,0.002171908,NA,"F1044D2",60
"61",0.00765134,0.0069803,0.002391736,NA,"F1044D2",61
"62",0.005636314,0.008964332,0.002242252,NA,"F1044D2",62
"63",0.004025941,0.010054518,0.002303804,NA,"F1044D2",63
"64",0.0019241892,0.010194022,0.0018641466,NA,"F1044D2",64
"65",0.0006647948,0.010390362,0.00151242,NA,"F1044D2",65
"66",0.0005367908,0.010788202,0.001160694,NA,"F1044D2",66
"67",0.0009249328,0.011139542,0.001099142,NA,"F1044D2",67
"68",0.0014039158,0.01228139,0.001336558,NA,"F1044D2",68
"69",0.0026922136,0.0142551,0.0025675974,NA,"F1044D2",69
"70",0.004277812,0.01458576,0.005100026,NA,"F1044D2",70
"71",0.005817988,0.01306156,0.008291944,NA,"F1044D2",71
"72",0.007114544,0.01108786,0.01173885,NA,"F1044D2",72
"73",0.00787018,0.00872149,0.014139376,NA,"F1044D2",73
"74",0.007799984,0.005735094,0.01480766,NA,"F1044D2",74
"75",0.007036088,0.003813064,0.01453506,NA,"F1044D2",75
"76",0.005500042,0.003043218,0.011677282,NA,"F1044D2",76
"77",0.0039268314,0.0023767066,0.008450204,NA,"F1044D2",77
"78",0.0029027994,0.0019271996,0.005900194,NA,"F1044D2",78
"79",0.0019407054,0.0013743572,0.00433501,NA,"F1044D2",79
"80",0.0015401774,0.0008938496,0.002426908,NA,"F1044D2",80
"81",0.0034767594,0.0007130124,0.002558804,NA,"F1044D2",81
"82",0.007903218,0.0007956806,0.002400528,NA,"F1044D2",82
"83",0.014501622,0.0007491798,0.002277424,NA,"F1044D2",83
"84",0.020707746,0.0007336796,0.00229501,NA,"F1044D2",84
"85",0.02568752,0.000661345,0.002321388,NA,"F1044D2",85
"86",0.0281072,0.0005631766,0.0018025934,NA,"F1044D2",86
"87",0.02739698,0.000552843,0.0019256974,NA,"F1044D2",87
"88",0.02256998,0.000532176,0.0018641454,NA,"F1044D2",88
"89",0.01987364,0.0006923446,0.0016179374,NA,"F1044D2",89
"90",0.01960524,0.0008835148,0.0014772474,NA,"F1044D2",90
"91",0.0207614,0.0016636944,0.001767422,NA,"F1044D2",91
"92",0.02193822,0.0031982212,0.001723456,NA,"F1044D2",92
"93",0.02370964,0.004763748,0.001749836,NA,"F1044D2",93
"94",0.021479896,0.005771266,0.001837768,NA,"F1044D2",94
"95",0.018221986,0.007450462,0.001881734,NA,"F1044D2",95
"96",0.014592466,0.007817302,0.001978458,NA,"F1044D2",96
"97",0.010087548,0.006504946,0.001934492,NA,"F1044D2",97
"98",0.006491046,0.005058254,0.0017850076,NA,"F1044D2",98
"99",0.005623922,0.004081738,0.0017146616,NA,"F1044D2",99
"100",0.00421175,0.0022423724,0.0016091436,NA,"F1044D2",100
"101",0.002716988,0.0011005196,0.001222245,NA,"F1044D2",101
"102",0.003724504,0.0007388464,0.001072763,NA,"F1044D2",102
"103",0.00413742,0.0005631772,0.0012398334,NA,"F1044D2",103
"104",0.003873154,0.000320339,0.0015827674,NA,"F1044D2",104
"105",0.004760922,0.00023250412,0.0020048394,NA,"F1044D2",105
"106",0.00541333,0.00013950244,0.002356566,NA,"F1044D2",106
"107",0.00506648,0.00010333516,0.00278743,NA,"F1044D2",107
"108",0.006276324,7.233464e-05,0.003156742,NA,"F1044D2",108
"109",0.006379552,6.716784e-05,0.002936912,NA,"F1044D2",109
"110",0.005615658,0.00014983592,0.00254122,NA,"F1044D2",110
"111",0.0047155,0.0002273372,0.002558806,NA,"F1044D2",111
"112",0.005144932,0.00025317088,0.002224666,NA,"F1044D2",112
"113",0.003840116,0.0003306722,0.0016882836,NA,"F1044D2",113
"114",0.0039227,0.0004598412,0.0015124216,NA,"F1044D2",114
"115",0.004698982,0.0004908418,0.0015388016,NA,"F1044D2",115
"116",0.005805598,0.000532176,0.0013453516,NA,"F1044D2",116
"117",0.007630678,0.0007078468,0.0014156976,NA,"F1044D2",117
"118",0.011474936,0.0006871798,0.001468456,NA,"F1044D2",118
"119",0.015319178,0.000682013,0.001494836,NA,"F1044D2",119
"120",0.018841344,0.0007388472,0.001530008,NA,"F1044D2",120
"121",0.0225452,0.0006871796,0.001609146,NA,"F1044D2",121
"122",0.02455198,0.0005425094,0.001415696,NA,"F1044D2",122
"123",0.02609214,0.00057351,0.001644318,NA,"F1044D2",123
"124",0.02711204,0.0007336788,0.001600352,NA,"F1044D2",124
"125",0.0268354,0.0010023504,0.001433282,NA,"F1044D2",125
"126",0.02734742,0.001513859,0.001301386,NA,"F1044D2",126
"127",0.02771492,0.0017773632,0.00159156,NA,"F1044D2",127
"128",0.02675284,0.002102868,0.001433284,NA,"F1044D2",128
"129",0.026534,0.002252704,0.00156518,NA,"F1044D2",129
"130",0.0261376,0.002299204,0.001670698,NA,"F1044D2",130
"131",0.0233339,0.002371538,0.001969664,NA,"F1044D2",131
"132",0.019266674,0.002614376,0.001723456,NA,"F1044D2",132
"133",0.01541829,0.002552376,0.001723456,NA,"F1044D2",133
"134",0.01256505,0.002392208,0.001626732,NA,"F1044D2",134
"135",0.00969115,0.0020512028,0.001785008,NA,"F1044D2",135
"136",0.01029813,0.0015241944,0.0013805236,NA,"F1044D2",136
"137",0.014637876,0.00108502,0.0013365576,NA,"F1044D2",137
"138",0.02133124,0.00072851352,0.0014772476,NA,"F1044D2",138
"139",0.027302,0.00061484392,0.0017146616,NA,"F1044D2",139
"140",0.03384258,0.00056834292,0.0015739716,NA,"F1044D2",140
"141",0.0363944,0.00045467432,0.001661904,NA,"F1044D2",141
"142",0.03587826,0.000335839,0.001776214,NA,"F1044D2",142
"143",0.03353704,0.00039267328,0.001776214,NA,"F1044D2",143
"144",0.03170782,0.00024283748,0.001617938,NA,"F1044D2",144
"145",0.0328516,0.00013950244,0.001556386,NA,"F1044D2",145
"146",0.03680734,0.00020667024,0.00165311,NA,"F1044D2",146
"147",0.03994136,0.00021183696,0.001811388,NA,"F1044D2",147
"148",0.04188206,0.00016016944,0.001864146,NA,"F1044D2",148
"149",0.04082086,0.00019633664,0.001943284,NA,"F1044D2",149
"150",0.03611776,0.00020667016,0.00285777,NA,"F1044D2",150
"151",0.02911058,0.00012916888,0.004308638,NA,"F1044D2",151
"152",0.024808,0.00016016948,0.005671574,NA,"F1044D2",152
"153",0.02231398,0.0003926732,0.006339854,NA,"F1044D2",153
"154",0.02172352,0.0014725254,0.006427786,NA,"F1044D2",154
"155",0.02184738,0.00372522512,0.005697956,NA,"F1044D2",155
"156",0.02275578,0.0065514316,0.004370192,NA,"F1044D2",156
"157",0.02067468,0.008525124,0.00313036,NA,"F1044D2",157
"158",0.01709883,0.0113255,0.002620358,NA,"F1044D2",158
"159",0.01444791,0.0135162,0.002813808,NA,"F1044D2",159
"160",0.01173506,0.01411556,0.003060016,NA,"F1044D2",160
"161",0.01079362,0.01340256,0.003367776,NA,"F1044D2",161
"162",0.01165662,0.012772224,0.003420534,NA,"F1044D2",162
"163",0.01277975,0.010710694,0.003174326,NA,"F1044D2",163
"164",0.01284169,0.007693312,0.003016048,NA,"F1044D2",164
"165",0.01417128,0.005042756,0.002901738,NA,"F1044D2",165
"166",0.01331242,0.003146554,0.002426908,NA,"F1044D2",166
"167",0.010851442,0.002242372,0.002259838,NA,"F1044D2",167
"168",0.009505338,0.001787698,0.002541218,NA,"F1044D2",168
"169",0.009265838,0.00200987,0.002866564,NA,"F1044D2",169
"170",0.008093156,0.002495544,0.002945702,NA,"F1044D2",170
"171",0.007209512,0.003947402,0.003728292,NA,"F1044D2",171
"172",0.0075192,0.00592626,0.004211916,NA,"F1044D2",172
"173",0.0079156,0.008871304,0.004317434,NA,"F1044D2",173
"174",0.00795276,0.012751534,0.004853816,NA,"F1044D2",174
"175",0.00790321,0.017752956,0.005056058,NA,"F1044D2",175
"176",0.008064246,0.02325556,0.004853816,NA,"F1044D2",176
"177",0.008126182,0.03004468,0.00520554,NA,"F1044D2",177
"178",0.007659586,0.03701464,0.005056056,NA,"F1044D2",178
"179",0.006292838,0.04308558,0.004247088,NA,"F1044D2",179
