"","slidedFather","slidedMother","slidedPatient","slidedTherapist","video","frame_index"
"1",NA,NA,0.006706078,0.00599421,"F1044F1",1
"2",NA,NA,0.006642168,0.00588733,"F1044F1",2
"3",NA,NA,0.006231312,0.004845246,"F1044F1",3
"4",NA,NA,0.006071534,0.004150522,"F1044F1",4
"5",NA,NA,0.005683504,0.003553774,"F1044F1",5
"6",NA,NA,0.005208738,0.002957026,"F1044F1",6
"7",NA,NA,0.004843532,0.002912492,"F1044F1",7
"8",NA,NA,0.00430942,0.002627478,"F1044F1",8
"9",NA,NA,0.003647486,0.002226678,"F1044F1",9
"10",NA,NA,0.003537924,0.002226678,"F1044F1",10
"11",NA,NA,0.003400972,0.002012916,"F1044F1",11
"12",NA,NA,0.002725343,0.001914942,"F1044F1",12
"13",NA,NA,0.002351007,0.002066356,"F1044F1",13
"14",NA,NA,0.002268837,0.002262302,"F1044F1",14
"15",NA,NA,0.002118189,0.002119794,"F1044F1",15
"16",NA,NA,0.002442309,0.002467156,"F1044F1",16
"17",NA,NA,0.00288512,0.002493876,"F1044F1",17
"18",NA,NA,0.00357901,0.002476062,"F1044F1",18
"19",NA,NA,0.004889182,0.00256513,"F1044F1",19
"20",NA,NA,0.006098924,0.00248497,"F1044F1",20
"21",NA,NA,0.00724933,0.002119796,"F1044F1",21
"22",NA,NA,0.008819712,0.002173236,"F1044F1",22
"23",NA,NA,0.009901632,0.002048542,"F1044F1",23
"24",NA,NA,0.009901632,0.002075262,"F1044F1",24
"25",NA,NA,0.009883372,0.00229793,"F1044F1",25
"26",NA,NA,0.010714212,0.002413716,"F1044F1",26
"27",NA,NA,0.012060912,0.002155422,"F1044F1",27
"28",NA,NA,0.013873234,0.002360276,"F1044F1",28
"29",NA,NA,0.01487754,0.002146516,"F1044F1",29
"30",NA,NA,0.01507384,0.002084168,"F1044F1",30
"31",NA,NA,0.01472688,0.002235582,"F1044F1",31
"32",NA,NA,0.01351256,0.00240481,"F1044F1",32
"33",NA,NA,0.01144916,0.00219105,"F1044F1",33
"34",NA,NA,0.0107781,0.002502784,"F1044F1",34
"35",NA,NA,0.01173676,0.002476064,"F1044F1",35
"36",NA,NA,0.01264522,0.00229793,"F1044F1",36
"37",NA,NA,0.01491862,0.00235137,"F1044F1",37
"38",NA,NA,0.01739288,0.002476064,"F1044F1",38
"39",NA,NA,0.0191276,0.00216433,"F1044F1",39
"40",NA,NA,0.0192052,0.002404812,"F1044F1",40
"41",NA,NA,0.01782654,0.002672014,"F1044F1",41
"42",NA,NA,0.015160552,0.002618574,"F1044F1",42
"43",NA,NA,0.013024112,0.002859054,"F1044F1",43
"44",NA,NA,0.011449172,0.0027878,"F1044F1",44
"45",NA,NA,0.010988112,0.002449344,"F1044F1",45
"46",NA,NA,0.012353072,0.002413716,"F1044F1",46
"47",NA,NA,0.01444388,0.002280116,"F1044F1",47
"48",NA,NA,0.01762116,0.002137608,"F1044F1",48
"49",NA,NA,0.0217069,0.002440436,"F1044F1",49
"50",NA,NA,0.02594328,0.002609664,"F1044F1",50
"51",NA,NA,0.0301751,0.00243153,"F1044F1",51
"52",NA,NA,0.0347082,0.002689824,"F1044F1",52
"53",NA,NA,0.03726464,0.00253841,"F1044F1",53
"54",NA,NA,0.03746094,0.002413716,"F1044F1",54
"55",NA,NA,0.03607316,0.002449342,"F1044F1",55
"56",NA,NA,0.03508254,0.003829882,"F1044F1",56
"57",NA,NA,0.03559382,0.005824986,"F1044F1",57
"58",NA,NA,0.03754766,0.009565792,"F1044F1",58
"59",NA,NA,0.04069754,0.013368956,"F1044F1",59
"60",NA,NA,0.04750862,0.016735688,"F1044F1",60
"61",NA,NA,0.05725502,0.01778668,"F1044F1",61
"62",NA,NA,0.0688046,0.01924738,"F1044F1",62
"63",NA,NA,0.0822076,0.01867736,"F1044F1",63
"64",NA,NA,0.0945562,0.01857938,"F1044F1",64
"65",NA,NA,0.10289196,0.02044978,"F1044F1",65
"66",NA,NA,0.1090548,0.02390558,"F1044F1",66
"67",NA,NA,0.1129626,0.0235493,"F1044F1",67
"68",NA,NA,0.1132548,0.02220438,"F1044F1",68
"69",NA,NA,0.1121226,0.019906454,"F1044F1",69
"70",NA,NA,0.10840668,0.01546202,"F1044F1",70
"71",NA,NA,0.09794356,0.010198158,"F1044F1",71
"72",NA,NA,0.08221684,0.008220878,"F1044F1",72
"73",NA,NA,0.06363702,0.007900246,"F1044F1",73
"74",NA,NA,0.04689234,0.007125364,"F1044F1",74
"75",NA,NA,0.03743808,0.008265418,"F1044F1",75
"76",NA,NA,0.0361279,0.00979738,"F1044F1",76
"77",NA,NA,0.04011778,0.01014474,"F1044F1",77
"78",NA,NA,0.04853576,0.011783572,"F1044F1",78
"79",NA,NA,0.05716828,0.01331552,"F1044F1",79
"80",NA,NA,0.06211682,0.0134046,"F1044F1",80
"81",NA,NA,0.0627605,0.012113118,"F1044F1",81
"82",NA,NA,0.06160554,0.010866182,"F1044F1",82
"83",NA,NA,0.05973842,0.00779337,"F1044F1",83
"84",NA,NA,0.05792154,0.006190168,"F1044F1",84
"85",NA,NA,0.0555477,0.006101088,"F1044F1",85
"86",NA,NA,0.0534295,0.00741929,"F1044F1",86
"87",NA,NA,0.05060372,0.009093746,"F1044F1",87
"88",NA,NA,0.04690602,0.010866178,"F1044F1",88
"89",NA,NA,0.04292984,0.01260298,"F1044F1",89
"90",NA,NA,0.03898106,0.01403696,"F1044F1",90
"91",NA,NA,0.03504598,0.01645066,"F1044F1",91
"92",NA,NA,0.03091916,0.01812512,"F1044F1",92
"93",NA,NA,0.02681518,0.018232,"F1044F1",93
"94",NA,NA,0.0222775,0.016575358,"F1044F1",94
"95",NA,NA,0.017525272,0.013190814,"F1044F1",95
"96",NA,NA,0.012595004,0.009102644,"F1044F1",96
"97",NA,NA,0.0083358,0.006092182,"F1044F1",97
"98",NA,NA,0.004948518,0.004168338,"F1044F1",98
"99",NA,NA,0.002656865,0.003482522,"F1044F1",99
"100",NA,NA,0.001748419,0.003981296,"F1044F1",100
"101",NA,NA,0.001456255,0.003660656,"F1044F1",101
"102",NA,NA,0.0012188712,0.00284124,"F1044F1",102
"103",NA,NA,0.0012188712,0.003402362,"F1044F1",103
"104",NA,NA,0.0011640906,0.003206414,"F1044F1",104
"105",NA,NA,0.0008445354,0.002538412,"F1044F1",105
"106",NA,NA,0.0007714954,0.00289468,"F1044F1",106
"107",NA,NA,0.0006299784,0.004016924,"F1044F1",107
"108",NA,NA,0.0004108558,0.003580494,"F1044F1",108
"109",NA,NA,0.0003286846,0.004221778,"F1044F1",109
"110",NA,NA,0.0003104244,0.004293032,"F1044F1",110
"111",NA,NA,0.0001278218,0.003642842,"F1044F1",111
"112",NA,NA,0.00013238686,0.002850146,"F1044F1",112
"113",NA,NA,0.00011412666,0.002805614,"F1044F1",113
"114",NA,NA,0.00010956158,0.002538412,"F1044F1",114
"115",NA,NA,7.30411e-05,0.003117348,"F1044F1",115
"116",NA,NA,6.39109e-05,0.003749724,"F1044F1",116
"117",NA,NA,0.00023738324,0.003803164,"F1044F1",117
"118",NA,NA,0.00035607484,0.004159432,"F1044F1",118
"119",NA,NA,0.00040629052,0.004025832,"F1044F1",119
"120",NA,NA,0.0006071524,0.003589402,"F1044F1",120
"121",NA,NA,0.0011777852,0.003286574,"F1044F1",121
"122",NA,NA,0.0043231126,0.002992652,"F1044F1",122
"123",NA,NA,0.0101390058,0.00251169,"F1044F1",123
"124",NA,NA,0.01718746,0.00261857,"F1044F1",124
"125",NA,NA,0.024235928,0.00245825,"F1044F1",125
"126",NA,NA,0.03076854,0.00243153,"F1044F1",126
"127",NA,NA,0.03424712,0.002449344,"F1044F1",127
"128",NA,NA,0.03518752,0.002698732,"F1044F1",128
"129",NA,NA,0.03389562,0.00243153,"F1044F1",129
"130",NA,NA,0.03091918,0.002609664,"F1044F1",130
"131",NA,NA,0.02629932,0.00259185,"F1044F1",131
"132",NA,NA,0.02213598,0.002743264,"F1044F1",132
"133",NA,NA,0.01873044,0.00272545,"F1044F1",133
"134",NA,NA,0.01659854,0.002805612,"F1044F1",134
"135",NA,NA,0.0162516,0.002823426,"F1044F1",135
"136",NA,NA,0.01745678,0.003696284,"F1044F1",136
"137",NA,NA,0.0189039,0.0042485,"F1044F1",137
"138",NA,NA,0.01994018,0.004159432,"F1044F1",138
"139",NA,NA,0.02105862,0.00448898,"F1044F1",139
"140",NA,NA,0.02057472,0.00432866,"F1044F1",140
"141",NA,NA,0.018826308,0.003642844,"F1044F1",141
"142",NA,NA,0.01556686,0.004818532,"F1044F1",142
"143",NA,NA,0.0114446,0.007579604,"F1044F1",143
"144",NA,NA,0.00698454,0.01138276,"F1044F1",144
"145",NA,NA,0.00387574,0.015301704,"F1044F1",145
"146",NA,NA,0.002209492,0.015880638,"F1044F1",146
"147",NA,NA,0.0014699514,0.015925158,"F1044F1",147
"148",NA,NA,0.0013877814,0.017020698,"F1044F1",148
"149",NA,NA,0.0015338634,0.016566458,"F1044F1",149
"150",NA,NA,0.0018625474,0.016138938,"F1044F1",150
"151",NA,NA,0.0019538474,0.01832108,"F1044F1",151
"152",NA,NA,0.0020497138,0.017270098,"F1044F1",152
"153",NA,NA,0.001826025,0.01337786,"F1044F1",153
"154",NA,NA,0.001574947,0.010919614,"F1044F1",154
"155",NA,NA,0.001154961,0.008826542,"F1044F1",155
"156",NA,NA,0.001862547,0.007419282,"F1044F1",156
"157",NA,NA,0.0032229352,0.007811178,"F1044F1",157
"158",NA,NA,0.004998744,0.008301046,"F1044F1",158
"159",NA,NA,0.00652804,0.007419282,"F1044F1",159
"160",NA,NA,0.007632786,0.006644398,"F1044F1",160
"161",NA,NA,0.007345186,0.00496994,"F1044F1",161
"162",NA,NA,0.006290656,0.003785348,"F1044F1",162
"163",NA,NA,0.004861792,0.00321532,"F1044F1",163
"164",NA,NA,0.0032046736,0.002876866,"F1044F1",164
"165",NA,NA,0.0021820996,0.00208417,"F1044F1",165
"166",NA,NA,0.0026751256,0.00205745,"F1044F1",166
"167",NA,NA,0.0036246596,0.001879316,"F1044F1",167
"168",NA,NA,0.0039076936,0.002021822,"F1044F1",168
"169",NA,NA,0.004807012,0.002271208,"F1044F1",169
"170",NA,NA,0.005281778,0.002422622,"F1044F1",170
"171",NA,NA,0.004405286,0.002386994,"F1044F1",171
"172",NA,NA,0.003647486,0.002707636,"F1044F1",172
"173",NA,NA,0.003820958,0.002600756,"F1044F1",173
"174",NA,NA,0.003469448,0.002306836,"F1044F1",174
"175",NA,NA,0.00320924,0.002493876,"F1044F1",175
"176",NA,NA,0.003282282,0.002636384,"F1044F1",176
"177",NA,NA,0.002926206,0.002297928,"F1044F1",177
"178",NA,NA,0.002574696,0.002467156,"F1044F1",178
"179",NA,NA,0.002583826,0.00251169,"F1044F1",179
"180",NA,NA,0.0028486,0.002386996,"F1044F1",180
"181",NA,NA,0.00290338,0.002449344,"F1044F1",181
"182",NA,NA,0.002707083,0.002404812,"F1044F1",182
"183",NA,NA,0.002236882,0.002244492,"F1044F1",183
"184",NA,NA,0.0016799436,0.002395906,"F1044F1",184
"185",NA,NA,0.0009449676,0.002449346,"F1044F1",185
"186",NA,NA,0.000429116,0.002226678,"F1044F1",186
"187",NA,NA,0.0003332496,0.002520598,"F1044F1",187
"188",NA,NA,0.0003104242,0.002493878,"F1044F1",188
"189",NA,NA,0.000232818,0.00216433,"F1044F1",189
"190",NA,NA,0.0002008626,0.002235584,"F1044F1",190
