"","slidedFather","slidedMother","slidedPatient","slidedTherapist","video","frame_index"
"1",NA,NA,0.0018647776,0.002031646,"F1044I1",1
"2",NA,NA,0.0013960902,0.00235933,"F1044I1",2
"3",NA,NA,0.0011035762,0.0020503702,"F1044I1",3
"4",NA,NA,0.0013262862,0.0019661082,"F1044I1",4
"5",NA,NA,0.0012066212,0.0019005702,"F1044I1",5
"6",NA,NA,0.0008575994,0.0018069442,"F1044I1",6
"7",NA,NA,0.0008575994,0.0013481862,"F1044I1",7
"8",NA,NA,0.00063156542,0.001657146,"F1044I1",8
"9",NA,NA,0.00020276562,0.001413724,"F1044I1",9
"10",NA,NA,0.00015290522,0.001544798,"F1044I1",10
"11",NA,NA,0.00014625722,0.001657148,"F1044I1",11
"12",NA,NA,0.00010304482,0.001984832,"F1044I1",12
"13",NA,NA,0.000122989,0.001760134,"F1044I1",13
"14",NA,NA,0.000122989,0.001872484,"F1044I1",14
"15",NA,NA,9.97208e-05,0.0015916116,"F1044I1",15
"16",NA,NA,0.000113017,0.0016103356,"F1044I1",16
"17",NA,NA,0.000109693,0.0013201016,"F1044I1",17
"18",NA,NA,9.639688e-05,0.0013575516,"F1044I1",18
"19",NA,NA,7.312868e-05,0.0013013756,"F1044I1",19
"20",NA,NA,7.64527e-05,0.001460536,"F1044I1",20
"21",NA,NA,4.321236e-05,0.00135755,"F1044I1",21
"22",NA,NA,2.326818e-05,0.001572886,"F1044I1",22
"23",NA,NA,1.662012e-05,0.00174141,"F1044I1",23
"24",NA,NA,2.65922e-05,0.001760136,"F1044I1",24
"25",NA,NA,5.983238e-05,0.0016197004,"F1044I1",25
"26",NA,NA,6.648042e-05,0.0016477884,"F1044I1",26
"27",NA,NA,6.648042e-05,0.0013575528,"F1044I1",27
"28",NA,NA,6.980446e-05,0.0014137268,"F1044I1",28
"29",NA,NA,6.31564e-05,0.0014418128,"F1044I1",29
"30",NA,NA,2.991622e-05,0.0014979864,"F1044I1",30
"31",NA,NA,3.324026e-05,0.0016384224,"F1044I1",31
"32",NA,NA,0.00011966504,0.001760134,"F1044I1",32
"33",NA,NA,0.00029583838,0.001572886,"F1044I1",33
"34",NA,NA,0.00065150836,0.00181631,"F1044I1",34
"35",NA,NA,0.00077449734,0.0017601364,"F1044I1",35
"36",NA,NA,0.00085095,0.0016665124,"F1044I1",36
"37",NA,NA,0.0008243576,0.0015073512,"F1044I1",37
"38",NA,NA,0.0006681284,0.0016945992,"F1044I1",38
"39",NA,NA,0.0003224305,0.0013107396,"F1044I1",39
"40",NA,NA,0.0002094136,0.0016477872,"F1044I1",40
"41",NA,NA,0.0001163408,0.0015073512,"F1044I1",41
"42",NA,NA,7.64526e-05,0.0016009744,"F1044I1",42
"43",NA,NA,5.983248e-05,0.0015448004,"F1044I1",43
"44",NA,NA,5.650846e-05,0.001722686,"F1044I1",44
"45",NA,NA,0.00021273776,0.001516712,"F1044I1",45
"46",NA,NA,0.00107033576,0.001797584,"F1044I1",46
"47",NA,NA,0.00286530956,0.001994196,"F1044I1",47
"48",NA,NA,0.00517217748,0.002022282,"F1044I1",48
"49",NA,NA,0.0078546654,0.001769497,"F1044I1",49
"50",NA,NA,0.01069006,0.001956745,"F1044I1",50
"51",NA,NA,0.013442362,0.001881845,"F1044I1",51
"52",NA,NA,0.01639078,0.002153355,"F1044I1",52
"53",NA,NA,0.01913976,0.002022281,"F1044I1",53
"54",NA,NA,0.0200871,0.002340604,"F1044I1",54
"55",NA,NA,0.0201004,0.002097182,"F1044I1",55
"56",NA,NA,0.02012698,0.002022284,"F1044I1",56
"57",NA,NA,0.02108762,0.0016946,"F1044I1",57
"58",NA,NA,0.02331472,0.001797588,"F1044I1",58
"59",NA,NA,0.02711076,0.001778862,"F1044I1",59
"60",NA,NA,0.0287761,0.00189121,"F1044I1",60
"61",NA,NA,0.02933786,0.001797584,"F1044I1",61
"62",NA,NA,0.0281811,0.00193802,"F1044I1",62
"63",NA,NA,0.02459114,0.001844394,"F1044I1",63
