"","video","frame_index","slidedMother","slidedPatient","slidedTherapist"
"1","F1044P",1,0.01068386595,0.0030515696,0.00405178615
"2","F1044P",2,0.00884367995,0.0034944016,0.00426142815
"3","F1044P",3,0.00499545595,0.0039965116,0.00383302615
"4","F1044P",4,0.00256783975,0.0046729656,0.00355957815
"5","F1044P",5,0.00120717335,0.0053877756,0.00354134815
"6","F1044P",6,0.00081755615,0.0057748176,0.00357780815
"7","F1044P",7,0.00062574335,0.0064373236,0.00350489015
"8","F1044P",8,0.00040396035,0.0074240996,0.00359603815
"9","F1044P",9,0.00026609535,0.0093732556,0.00370541815
"10","F1044P",10,0.00020015987,0.0115037416,0.00376010815
"11","F1044P",11,0.00016419507,0.0142060756,0.00357780815
"12","F1044P",12,0.00024211867,0.0169781316,0.00355046215
"13","F1044P",13,0.00156082567,0.0195828316,0.00343196815
"14","F1044P",14,0.00436606687,0.0220585116,0.00345931215
"15","F1044P",15,0.00820231275,0.0246736516,0.00344108215
"16","F1044P",16,0.01345915275,0.0269017516,0.00341373815
"17","F1044P",17,0.01960912795,0.0281605116,0.00342285415
"18","F1044P",18,0.02628658795,0.0281779516,0.00365072815
"19","F1044P",19,0.03219680795,0.0260683916,0.00537345815
"20","F1044P",20,0.03808902795,0.0218423096,0.00936580815
"21","F1044P",21,0.04339382795,0.0166503616,0.01485300215
"22","F1044P",22,0.04908824795,0.0125219136,0.02184415615
"23","F1044P",23,0.05410532795,0.0086933256,0.02793294215
"24","F1044P",24,0.05871480795,0.0065035756,0.03053070215
"25","F1044P",25,0.06294666795,0.0058236356,0.02945514215
"26","F1044P",26,0.06541624795,0.0057120556,0.02598234215
"27","F1044P",27,0.06499066795,0.0048996136,0.01983887615
"28","F1044P",28,0.06255704795,0.0046067156,0.01360425215
"29","F1044P",29,0.05968586795,0.0041499356,0.00947517615
"30","F1044P",30,0.05655092795,0.0037210496,0.00662219015
"31","F1044P",31,0.05423120795,0.0032538076,0.00496327815
"32","F1044P",32,0.05144992795,0.0027865676,0.00420673815
"33","F1044P",33,0.04741588795,0.0022042596,0.00429788615
"34","F1044P",34,0.04076838795,0.0019497196,0.00488124215
"35","F1044P",35,0.03099796795,0.0021240636,0.00583831215
"36","F1044P",36,0.02099377395,0.0033026256,0.00830846415
"37","F1044P",37,0.01363898195,0.0056527756,0.01227347015
"38","F1044P",38,0.00890361995,0.0089408896,0.01701324615
"39","F1044P",39,0.00706941995,0.0119605196,0.02212672615
"40","F1044P",40,0.00805845995,0.0145826436,0.02727666215
"41","F1044P",41,0.00874778595,0.0156077916,0.03207112215
"42","F1044P",42,0.00804047795,0.0148441676,0.03545276215
"43","F1044P",43,0.00694954795,0.0135331076,0.03799582215
"44","F1044P",44,0.00525920995,0.0119570416,0.03600876215
"45","F1044P",45,0.00344897595,0.0102972936,0.03139660215
"46","F1044P",46,0.00229210995,0.0092686596,0.02442366815
"47","F1044P",47,0.00175863375,0.0084771396,0.01722286215
"48","F1044P",48,0.00124913375,0.0074659496,0.00990356615
"49","F1044P",49,0.00170468775,0.0063362036,0.00606618015
"50","F1044P",50,0.00293348175,0.0048263884,0.00469894415
"51","F1044P",51,0.00543901575,0.0035467064,0.00404267015
"52","F1044P",52,0.00880171195,0.0028109764,0.00379656615
"53","F1044P",53,0.01262596395,0.001764915,0.00374187815
"54","F1044P",54,0.01588076795,0.0012488574,0.00386037215
"55","F1044P",55,0.01775692795,0.0013987926,0.00365072815
"56","F1044P",56,0.01978294795,0.0013604366,0.00348665815
"57","F1044P",57,0.02134142795,0.0011337906,0.00333170415
"58","F1044P",58,0.02213864795,0.001207014,0.00364161215
"59","F1044P",59,0.02213266795,0.0011930666,0.00365984215
"60","F1044P",60,0.02258222795,0.0012383966,0.00367807215
"61","F1044P",61,0.02155722795,0.0021275486,0.00391506015
"62","F1044P",62,0.01936936795,0.0029155806,0.00408824415
"63","F1044P",63,0.01804466795,0.0034072306,0.00368718615
"64","F1044P",64,0.01879992795,0.0036931536,0.00357780815
"65","F1044P",65,0.01820650795,0.0036373636,0.00359603815
"66","F1044P",66,0.01742128795,0.0029504516,0.00374187815
"67","F1044P",67,0.01803268795,0.0029748596,0.00374187815
