"","slidedFather","slidedMother","slidedPatient","slidedTherapist","video","frame_index"
"1",NA,2.03405e-05,0.007745492,0.003647912,"F1044Q1",1
"2",NA,1.62724e-05,0.010815368,0.004001814,"F1044Q1",2
"3",NA,1.22043e-05,0.013966592,0.003448274,"F1044Q1",3
"4",NA,4.0681e-06,0.01676232,0.003421052,"F1044Q1",4
"5",NA,4.0681e-06,0.01745824,0.00353902,"F1044Q1",5
"6",NA,0,0.01612666,0.003901996,"F1044Q1",6
"7",NA,4.0681e-06,0.013448428,0.003901996,"F1044Q1",7
"8",NA,4.0681e-06,0.010255028,0.003883848,"F1044Q1",8
"9",NA,4.0681e-06,0.007043556,0.003747732,"F1044Q1",9
"10",NA,4.0681e-06,0.004473768,0.004328494,"F1044Q1",10
"11",NA,8.1362e-06,0.002654136,0.004029038,"F1044Q1",11
"12",NA,8.1362e-06,0.002012444,0.003974592,"F1044Q1",12
"13",NA,8.1362e-06,0.002102822,0.003983666,"F1044Q1",13
"14",NA,1.22043e-05,0.00206667,0.004482758,"F1044Q1",14
"15",NA,1.22043e-05,0.0018196328,0.003711434,"F1044Q1",15
"16",NA,1.22043e-05,0.0017533548,0.003529946,"F1044Q1",16
"17",NA,8.1362e-06,0.0013526738,0.003493648,"F1044Q1",17
"18",NA,1.22043e-05,0.0008073866,0.003802178,"F1044Q1",18
"19",NA,8.1362e-06,0.0007019448,0.003529946,"F1044Q1",19
"20",NA,2.44086e-05,0.001042372,0.00352087,"F1044Q1",20
"21",NA,3.25448e-05,0.001340624,0.003593466,"F1044Q1",21
"22",NA,3.25448e-05,0.001973277,0.004246824,"F1044Q1",22
"23",NA,3.66129e-05,0.0024703622,0.004047188,"F1044Q1",23
"24",NA,4.47491e-05,0.002886106,0.004183304,"F1044Q1",24
"25",NA,2.84767e-05,0.00317532,0.004464612,"F1044Q1",25
"26",NA,2.03405e-05,0.003639266,0.004882034,"F1044Q1",26
"27",NA,2.44086e-05,0.004338198,0.003892922,"F1044Q1",27
"28",NA,1.62724e-05,0.006121682,0.00405626,"F1044Q1",28
"29",NA,1.22043e-05,0.007905164,0.003820326,"F1044Q1",29
"30",NA,2.03405e-05,0.008854146,0.003965516,"F1044Q1",30
"31",NA,2.44086e-05,0.008814982,0.003929218,"F1044Q1",31
"32",NA,2.03405e-05,0.00762499,0.004092558,"F1044Q1",32
"33",NA,2.03405e-05,0.0053293576,0.003956442,"F1044Q1",33
"34",NA,1.62724e-05,0.0032325616,0.00450998,"F1044Q1",34
"35",NA,8.1362e-06,0.0017473302,0.004328492,"F1044Q1",35
"36",NA,0,0.0011267262,0.004237748,"F1044Q1",36
"37",NA,0,0.0017774562,0.004210526,"F1044Q1",37
"38",NA,0,0.0033621046,0.004537206,"F1044Q1",38
"39",NA,4.0681e-06,0.0052992406,0.003811254,"F1044Q1",39
"40",NA,4.0681e-06,0.007486414,0.00388385,"F1044Q1",40
"41",NA,4.0681e-06,0.010468934,0.003793106,"F1044Q1",41
"42",NA,1.22043e-05,0.013915396,0.004065338,"F1044Q1",42
"43",NA,1.62724e-05,0.0175637,0.00409256,"F1044Q1",43
"44",NA,2.03405e-05,0.01956408,0.004056262,"F1044Q1",44
"45",NA,2.84767e-05,0.0207149,0.003938294,"F1044Q1",45
"46",NA,2.84767e-05,0.02070284,0.004373866,"F1044Q1",46
"47",NA,2.03405e-05,0.01918446,0.004019964,"F1044Q1",47
"48",NA,2.03405e-05,0.01714792,0.003938294,"F1044Q1",48
"49",NA,1.22043e-05,0.0165936,0.004174228,"F1044Q1",49
"50",NA,4.0681e-06,0.01626524,0.004637022,"F1044Q1",50
"51",NA,8.1362e-06,0.014548038,0.004065334,"F1044Q1",51
"52",NA,1.22043e-05,0.012339782,0.004301268,"F1044Q1",52
"53",NA,1.22043e-05,0.009492836,0.004128854,"F1044Q1",53
"54",NA,1.62724e-05,0.00632655,0.004246822,"F1044Q1",54
"55",NA,2.03405e-05,0.003910406,0.00391107,"F1044Q1",55
"56",NA,1.62724e-05,0.003473572,0.003774954,"F1044Q1",56
"57",NA,1.22043e-05,0.003615166,0.003774954,"F1044Q1",57
