"","slidedFather","slidedMother","slidedPatient","slidedTherapist","video","frame_index"
"1",NA,0.00172072,2.65294e-06,0.0017143604,"F1073B2",1
"2",NA,0.0019514876,0,0.0018096026,"F1073B2",2
"3",NA,0.0019866044,0,0.0015065584,"F1073B2",3
"4",NA,0.0023051644,0,0.0012814404,"F1073B2",4
"5",NA,0.0021371064,0,0.0011429054,"F1073B2",5
"6",NA,0.0020618564,0,0.0010563214,"F1073B2",6
"7",NA,0.0027215504,0,0.0018182588,"F1073B2",7
"8",NA,0.003950638,0,0.002216545,"F1073B2",8
"9",NA,0.005919686,2.65294e-06,0.002476297,"F1073B2",9
"10",NA,0.009195588,2.65294e-06,0.002787998,"F1073B2",10
"11",NA,0.012860268,2.65294e-06,0.0025628808,"F1073B2",11
"12",NA,0.016479808,2.65294e-06,0.0019308188,"F1073B2",12
"13",NA,0.02000904,2.65294e-06,0.0016277748,"F1073B2",13
"14",NA,0.02165952,0,0.0013160732,"F1073B2",14
"15",NA,0.021509,2.65294e-06,0.0011255892,"F1073B2",15
"16",NA,0.0207565,2.65294e-06,0.0012814404,"F1073B2",16
"17",NA,0.01993626,2.65294e-06,0.00117754,"F1073B2",17
"18",NA,0.017453,2.65294e-06,0.00117754,"F1073B2",18
"19",NA,0.014851858,2.65294e-06,0.0014546076,"F1073B2",19
"20",NA,0.01326158,2.65294e-06,0.0013160738,"F1073B2",20
"21",NA,0.01285272,2.65294e-06,0.0010736388,"F1073B2",21
"22",NA,0.01252414,2.65294e-06,0.0011169312,"F1073B2",22
"23",NA,0.01259688,2.65294e-06,0.0013939992,"F1073B2",23
"24",NA,0.01237113,2.65294e-06,0.0010822982,"F1073B2",24
"25",NA,0.011769128,0,0.001316074,"F1073B2",25
"26",NA,0.009905434,0,0.0012554654,"F1073B2",26
"27",NA,0.008049256,0,0.0013593654,"F1073B2",27
"28",NA,0.007349436,0,0.0011515654,"F1073B2",28
"29",NA,0.008004108,0,0.0013074164,"F1073B2",29
"30",NA,0.008979848,0,0.001125591,"F1073B2",30
"31",NA,0.010349402,0,0.0014719266,"F1073B2",31
"32",NA,0.0116136,0,0.001272784,"F1073B2",32
"33",NA,0.01247146,0,0.0010996154,"F1073B2",33
"34",NA,0.01402914,7.95882e-06,0.0011429074,"F1073B2",34
"35",NA,0.01572478,7.95882e-06,0.0016277768,"F1073B2",35
"36",NA,0.01640956,7.95882e-06,0.001368025,"F1073B2",36
"37",NA,0.01688616,7.95882e-06,0.0016277756,"F1073B2",37
"38",NA,0.01660522,7.95882e-06,0.0016537508,"F1073B2",38
"39",NA,0.0143126,0,0.0014546078,"F1073B2",39
"40",NA,0.01129507,0,0.0014372918,"F1073B2",40
"41",NA,0.009027528,0,0.0015325336,"F1073B2",41
"42",NA,0.006875362,0,0.0012554662,"F1073B2",42
"43",NA,0.005872024,0,0.0016883856,"F1073B2",43
"44",NA,0.00578674,0,0.0015758266,"F1073B2",44
"45",NA,0.005794264,2.65294e-06,0.001082298,"F1073B2",45
"46",NA,0.006205632,2.65294e-06,0.001333392,"F1073B2",46
"47",NA,0.006476534,2.65294e-06,0.0015758274,"F1073B2",47
"48",NA,0.006438908,5.30588e-06,0.0011082744,"F1073B2",48
