frame,father,mother,patient,therapist,file
1,NA,0.00790329,0.00140718,4.33821e-05,F1002C1.VOB.avi
2,NA,0.00526886,0.000108245,0,F1002C1.VOB.avi
3,NA,0.00369095,0.000180408,0,F1002C1.VOB.avi
4,NA,0.00115256,0.000505142,0,F1002C1.VOB.avi
5,NA,0.00181117,0.000180408,0,F1002C1.VOB.avi
6,NA,0.00178373,0.000432979,0,F1002C1.VOB.avi
7,NA,0.00445932,0.00180408,0,F1002C1.VOB.avi
8,NA,0.00440444,0.000396897,0,F1002C1.VOB.avi
9,NA,0.00784841,0.000342775,4.33821e-05,F1002C1.VOB.avi
10,NA,0.00843841,0.00023453,0,F1002C1.VOB.avi
11,NA,0.00636654,0.000144326,0,F1002C1.VOB.avi
12,NA,0.00642143,0.000757712,0,F1002C1.VOB.avi
13,NA,0.00493956,0.00294065,0,F1002C1.VOB.avi
14,NA,0.00377327,0.000631427,0,F1002C1.VOB.avi
15,NA,0.00120745,0.000649468,0.000173528,F1002C1.VOB.avi
16,NA,0.00166024,0.00174995,0,F1002C1.VOB.avi
17,NA,0.00268932,0.00207469,0,F1002C1.VOB.avi
18,NA,0.00893237,0.00106441,0,F1002C1.VOB.avi
19,NA,0.0190036,0.000252571,0.000390439,F1002C1.VOB.avi
20,NA,0.0114159,0.000523182,0,F1002C1.VOB.avi
21,NA,0.0139131,9.02039e-05,0,F1002C1.VOB.avi
22,NA,0.0158615,0.000216489,0,F1002C1.VOB.avi
23,NA,0.0109082,0.000757712,0,F1002C1.VOB.avi
24,NA,0.0120745,0.00155151,0,F1002C1.VOB.avi
25,NA,0.0179059,0.000577305,0,F1002C1.VOB.avi
26,NA,0.0181529,0.000180408,0,F1002C1.VOB.avi
27,NA,0.0228455,0.00046906,0.000130146,F1002C1.VOB.avi
28,NA,0.0370604,0.0019484,0.00143161,F1002C1.VOB.avi
29,NA,0.0281143,0.00164171,0.000607349,F1002C1.VOB.avi
30,NA,0.0249173,0.00308497,0,F1002C1.VOB.avi
31,NA,0.0297197,0.00431174,0.000173528,F1002C1.VOB.avi
32,NA,0.0156557,0.0033195,0.000130146,F1002C1.VOB.avi
33,NA,0.0142698,0.00295869,0,F1002C1.VOB.avi
34,NA,0.015395,0.00644056,0.000954405,F1002C1.VOB.avi
35,NA,0.00928912,0.0060617,0.000520585,F1002C1.VOB.avi
36,NA,0.00865795,0.00718023,0,F1002C1.VOB.avi
37,NA,0.00979679,0.0118528,8.67641e-05,F1002C1.VOB.avi
38,NA,0.0090833,0.0147754,0,F1002C1.VOB.avi
39,NA,0.00739562,0.0147032,0,F1002C1.VOB.avi
40,NA,0.013625,0.0117806,0.000390439,F1002C1.VOB.avi
41,NA,0.015244,0.012376,0,F1002C1.VOB.avi
42,NA,0.0280732,0.0142342,0,F1002C1.VOB.avi
43,NA,0.0481607,0.0142703,8.67641e-05,F1002C1.VOB.avi
44,NA,0.0334655,0.00907451,0,F1002C1.VOB.avi
45,NA,0.0282653,0.00452823,0,F1002C1.VOB.avi
46,NA,0.0384737,0.00230922,0.000130146,F1002C1.VOB.avi
47,NA,0.0464319,0.0027422,0,F1002C1.VOB.avi
48,NA,0.0455263,0.00373444,0,F1002C1.VOB.avi
49,NA,0.0451832,0.00550244,0.000130146,F1002C1.VOB.avi
50,NA,0.0204717,0.00180408,0,F1002C1.VOB.avi
51,NA,0.0121294,0.00164171,0,F1002C1.VOB.avi
52,NA,0.0146266,0.00285044,0,F1002C1.VOB.avi
53,NA,0.0166161,0.00313909,0,F1002C1.VOB.avi
54,NA,0.0338634,0.00265199,0,F1002C1.VOB.avi
55,NA,0.0490251,0.00142522,0,F1002C1.VOB.avi
56,NA,0.0312702,0.00124481,0,F1002C1.VOB.avi
57,NA,0.0186468,0.00128089,0,F1002C1.VOB.avi
58,NA,0.0135426,0.0013711,0,F1002C1.VOB.avi
59,NA,0.00380072,0.000414938,0,F1002C1.VOB.avi
60,NA,0.00295001,0.000396897,0,F1002C1.VOB.avi
61,NA,0.00558445,0.000144326,0,F1002C1.VOB.avi
62,NA,0.00559817,3.60815e-05,0,F1002C1.VOB.avi
63,NA,0.00801306,0.000216489,0,F1002C1.VOB.avi
64,NA,0.0121019,0.000108245,0,F1002C1.VOB.avi
65,NA,0.0150108,3.60815e-05,0,F1002C1.VOB.avi
66,NA,0.0146129,5.41223e-05,0,F1002C1.VOB.avi
67,NA,0.0129663,0.0014613,0,F1002C1.VOB.avi
68,NA,0.0109082,0.000631427,0,F1002C1.VOB.avi
69,NA,0.00757399,0.000108245,0,F1002C1.VOB.avi
70,NA,0.00780725,0.000126285,0,F1002C1.VOB.avi
71,NA,0.00465142,1.80408e-05,0.000260292,F1002C1.VOB.avi
72,NA,0.00236001,0.000108245,0,F1002C1.VOB.avi
73,NA,0.00181117,3.60815e-05,4.33821e-05,F1002C1.VOB.avi
74,NA,0.00150931,0.000162367,0.000390439,F1002C1.VOB.avi
75,NA,0.0022228,0.000342775,0.000520585,F1002C1.VOB.avi
76,NA,0.00197582,0.000180408,0.00160514,F1002C1.VOB.avi
77,NA,0.00101535,3.60815e-05,0.000390439,F1002C1.VOB.avi
78,NA,0.00168768,5.41223e-05,0.000477203,F1002C1.VOB.avi
79,NA,0.00669585,0.000288652,0.00173528,F1002C1.VOB.avi
80,NA,0.009934,0.000108245,4.33821e-05,F1002C1.VOB.avi
81,NA,0.0124998,0.000144326,0,F1002C1.VOB.avi
82,NA,0.00916563,7.21631e-05,0,F1002C1.VOB.avi
