frame,father,mother,patient,therapist,file
1,0.00221884,0.00281374,NA,0.011252,F1044C2.mov.avi
2,0.000295845,0.00382923,NA,0.00378142,F1044C2.mov.avi
3,0.000760746,0.00822967,NA,0.00179848,F1044C2.mov.avi
4,0.000908668,0.00937209,NA,0.00355084,F1044C2.mov.avi
5,2.11318e-05,0.00772193,NA,0.00359696,F1044C2.mov.avi
6,6.33955e-05,0.00374461,NA,0.00189071,F1044C2.mov.avi
7,4.22636e-05,0.0026445,NA,0.0037353,F1044C2.mov.avi
8,4.22636e-05,0.000465431,NA,0.00239797,F1044C2.mov.avi
9,4.22636e-05,0.000782771,NA,0.00225963,F1044C2.mov.avi
10,0.000359241,0.000613523,NA,0.00276689,F1044C2.mov.avi
11,8.45273e-05,0.000169248,NA,0.00202905,F1044C2.mov.avi
12,0.00135244,0.000126936,NA,0.00212128,F1044C2.mov.avi
13,0.00540975,0.000148092,NA,0.00410422,F1044C2.mov.avi
14,0.00399391,0.000190404,NA,0.00322804,F1044C2.mov.avi
15,0.00695237,0.00010578,NA,0.002813,F1044C2.mov.avi
16,0.00967837,8.46238e-05,NA,0.00244409,F1044C2.mov.avi
17,0.0193356,4.23119e-05,NA,0.00327415,F1044C2.mov.avi
18,0.0360298,6.34679e-05,NA,0.00299746,F1044C2.mov.avi
19,0.0494273,0.00021156,NA,0.00318192,F1044C2.mov.avi
20,0.0539707,0.000275028,NA,0.00184459,F1044C2.mov.avi
21,0.0531254,4.23119e-05,NA,0.00225963,F1044C2.mov.avi
22,0.0536114,0.000846238,NA,0.00318192,F1044C2.mov.avi
23,0.0527662,0.00380807,NA,0.00267466,F1044C2.mov.avi
24,0.050336,0.00962596,NA,0.00184459,F1044C2.mov.avi
25,0.0541609,0.014111,NA,0.0040581,F1044C2.mov.avi
26,0.0597819,0.0181518,NA,0.00332027,F1044C2.mov.avi
27,0.063163,0.0194212,NA,0.00336638,F1044C2.mov.avi
28,0.0545201,0.0188923,NA,0.00253632,F1044C2.mov.avi
29,0.0432146,0.0180883,NA,0.00355084,F1044C2.mov.avi
30,0.0366003,0.0166921,NA,0.002813,F1044C2.mov.avi
31,0.0288027,0.0150207,NA,0.00410422,F1044C2.mov.avi
32,0.0197794,0.0117204,NA,0.00272077,F1044C2.mov.avi
33,0.0197371,0.00767961,NA,0.00253632,F1044C2.mov.avi
34,0.0215756,0.00393501,NA,0.00332027,F1044C2.mov.avi
35,0.0227801,0.00194635,NA,0.00184459,F1044C2.mov.avi
36,0.0236676,0.000676991,NA,0.00424256,F1044C2.mov.avi
37,0.0258442,0.000275028,NA,0.00438091,F1044C2.mov.avi
38,0.026457,6.34679e-05,NA,0.00285912,F1044C2.mov.avi
39,0.0275559,0.00010578,NA,0.00235186,F1044C2.mov.avi
40,0.0282744,0.000169248,NA,0.00272077,F1044C2.mov.avi
