frame,father,mother,patient,therapist,file
1,NA,NA,0.00627696,0.00369628,F1044F1.mov.avi
2,NA,NA,0.00771496,0.0082387,F1044F1.mov.avi
3,NA,NA,0.00668782,0.00708083,F1044F1.mov.avi
4,NA,NA,0.00639109,0.00547762,F1044F1.mov.avi
5,NA,NA,0.00645956,0.00547762,F1044F1.mov.avi
6,NA,NA,0.00595741,0.00316188,F1044F1.mov.avi
7,NA,NA,0.00566068,0.00302828,F1044F1.mov.avi
8,NA,NA,0.00588893,0.00360721,F1044F1.mov.avi
9,NA,NA,0.00445094,0.00249388,F1044F1.mov.avi
10,NA,NA,0.00408573,0.00249388,F1044F1.mov.avi
11,NA,NA,0.00413138,0.00293921,F1044F1.mov.avi
12,NA,NA,0.00299012,0.00160321,F1044F1.mov.avi
13,NA,NA,0.00257926,0.00160321,F1044F1.mov.avi
14,NA,NA,0.00390313,0.00249388,F1044F1.mov.avi
15,NA,NA,0.00340097,0.00142507,F1044F1.mov.avi
16,NA,NA,0.000753235,0.00244934,F1044F1.mov.avi
17,NA,NA,0.00111844,0.00236028,F1044F1.mov.avi
18,NA,NA,0.00216841,0.00258294,F1044F1.mov.avi
19,NA,NA,0.00314989,0.00178134,F1044F1.mov.avi
20,NA,NA,0.00502157,0.00316188,F1044F1.mov.avi
21,NA,NA,0.00296729,0.00258294,F1044F1.mov.avi
22,NA,NA,0.00458789,0.00227121,F1044F1.mov.avi
23,NA,NA,0.00871927,0.00302828,F1044F1.mov.avi
24,NA,NA,0.0091986,0.00138054,F1044F1.mov.avi
25,NA,NA,0.0107736,0.00133601,F1044F1.mov.avi
26,NA,NA,0.0108192,0.00285014,F1044F1.mov.avi
27,NA,NA,0.00999749,0.00164774,F1044F1.mov.avi
28,NA,NA,0.00871927,0.00316188,F1044F1.mov.avi
29,NA,NA,0.0091073,0.00249388,F1044F1.mov.avi
30,NA,NA,0.0149278,0.00191494,F1044F1.mov.avi
31,NA,NA,0.0175527,0.00155867,F1044F1.mov.avi
32,NA,NA,0.0190591,0.00267201,F1044F1.mov.avi
33,NA,NA,0.0137408,0.00209308,F1044F1.mov.avi
34,NA,NA,0.0100888,0.00218214,F1044F1.mov.avi
35,NA,NA,0.013193,0.00267201,F1044F1.mov.avi
36,NA,NA,0.0114811,0.00240481,F1044F1.mov.avi
37,NA,NA,0.0087421,0.00160321,F1044F1.mov.avi
38,NA,NA,0.0103855,0.00365175,F1044F1.mov.avi
39,NA,NA,0.0148821,0.00204854,F1044F1.mov.avi
40,NA,NA,0.0177353,0.00178134,F1044F1.mov.avi
41,NA,NA,0.0228481,0.00267201,F1044F1.mov.avi
42,NA,NA,0.0211134,0.00222668,F1044F1.mov.avi
43,NA,NA,0.0190591,0.00209308,F1044F1.mov.avi
44,NA,NA,0.0152701,0.00325095,F1044F1.mov.avi
45,NA,NA,0.010842,0.00311735,F1044F1.mov.avi
46,NA,NA,0.00951816,0.00240481,F1044F1.mov.avi
47,NA,NA,0.0104312,0.00342908,F1044F1.mov.avi
48,NA,NA,0.0111844,0.00173681,F1044F1.mov.avi
49,NA,NA,0.0129648,0.00155867,F1044F1.mov.avi
50,NA,NA,0.0176668,0.00293921,F1044F1.mov.avi
51,NA,NA,0.0199722,0.00173681,F1044F1.mov.avi
52,NA,NA,0.0263176,0.00271654,F1044F1.mov.avi
53,NA,NA,0.0316131,0.00325095,F1044F1.mov.avi
54,NA,NA,0.0341467,0.00240481,F1044F1.mov.avi
55,NA,NA,0.0388259,0.00204854,F1044F1.mov.avi
56,NA,NA,0.0426377,0.00302828,F1044F1.mov.avi
57,NA,NA,0.0390998,0.00195947,F1044F1.mov.avi
58,NA,NA,0.0325946,0.00262748,F1044F1.mov.avi
59,NA,NA,0.0272078,0.00258294,F1044F1.mov.avi
60,NA,NA,0.0338728,0.00895124,F1044F1.mov.avi
61,NA,NA,0.0451941,0.0130038,F1044F1.mov.avi
62,NA,NA,0.048869,0.0206635,F1044F1.mov.avi
63,NA,NA,0.048344,0.0216433,F1044F1.mov.avi
64,NA,NA,0.0612632,0.0194166,F1044F1.mov.avi
65,NA,NA,0.0826048,0.0142062,F1044F1.mov.avi
66,NA,NA,0.102942,0.0203073,F1044F1.mov.avi
67,NA,NA,0.115884,0.0178134,F1044F1.mov.avi
68,NA,NA,0.110087,0.0211534,F1044F1.mov.avi
69,NA,NA,0.102942,0.0287686,F1044F1.mov.avi
70,NA,NA,0.113419,0.0314852,F1044F1.mov.avi
71,NA,NA,0.122481,0.0185259,F1044F1.mov.avi
72,NA,NA,0.117345,0.0110888,F1044F1.mov.avi
73,NA,NA,0.104426,0.00966377,F1044F1.mov.avi
74,NA,NA,0.0843624,0.00654643,F1044F1.mov.avi
75,NA,NA,0.0611034,0.00516589,F1044F1.mov.avi
76,NA,NA,0.0438474,0.0086395,F1044F1.mov.avi
77,NA,NA,0.0244459,0.00948564,F1044F1.mov.avi
78,NA,NA,0.0207026,0.00578936,F1044F1.mov.avi
79,NA,NA,0.0370911,0.0122467,F1044F1.mov.avi
80,NA,NA,0.0545525,0.0128257,F1044F1.mov.avi
81,NA,NA,0.0637968,0.0103763,F1044F1.mov.avi
82,NA,NA,0.0665358,0.0176798,F1044F1.mov.avi
83,NA,NA,0.0638652,0.0134491,F1044F1.mov.avi
84,NA,NA,0.0618338,0.0126921,F1044F1.mov.avi
85,NA,NA,0.0577709,0.00636829,F1044F1.mov.avi
86,NA,NA,0.058022,0.00414162,F1044F1.mov.avi
87,NA,NA,0.0572002,0.00231574,F1044F1.mov.avi
88,NA,NA,0.0547808,0.00543309,F1044F1.mov.avi
89,NA,NA,0.0499646,0.0122467,F1044F1.mov.avi
90,NA,NA,0.0471799,0.0129593,F1044F1.mov.avi
91,NA,NA,0.0438931,0.0125139,F1044F1.mov.avi
92,NA,NA,0.0387117,0.0111779,F1044F1.mov.avi
93,NA,NA,0.0348999,0.0141171,F1044F1.mov.avi
94,NA,NA,0.0302207,0.0194166,F1044F1.mov.avi
