frame,father,mother,patient,therapist,file
1,NA,NA,0.00269246,0.00177886,F1044I1.mov.avi
2,NA,NA,0.00260936,0.00201292,F1044I1.mov.avi
3,NA,NA,0.00114679,0.00276191,F1044I1.mov.avi
4,NA,NA,0.000963968,0.0019193,F1044I1.mov.avi
5,NA,NA,0.00191131,0.00168524,F1044I1.mov.avi
6,NA,NA,0.000349023,0.00341728,F1044I1.mov.avi
7,NA,NA,0.00114679,0.000468121,F1044I1.mov.avi
8,NA,NA,0.00226034,0.0023406,F1044I1.mov.avi
9,NA,NA,0.000365643,0.00159161,F1044I1.mov.avi
10,NA,NA,0.000166201,0.00121711,F1044I1.mov.avi
11,NA,NA,0.000349023,0.00112349,F1044I1.mov.avi
12,NA,NA,1.66201e-05,0.00201292,F1044I1.mov.avi
13,NA,NA,0.000116341,0.00112349,F1044I1.mov.avi
14,NA,NA,0.000116341,0.00224698,F1044I1.mov.avi
15,NA,NA,0.000132961,0.00177886,F1044I1.mov.avi
16,NA,NA,0.000132961,0.00276191,F1044I1.mov.avi
17,NA,NA,0.000116341,0.00088943,F1044I1.mov.avi
18,NA,NA,0.000116341,0.00168524,F1044I1.mov.avi
19,NA,NA,0,0.000842618,F1044I1.mov.avi
20,NA,NA,0.000199442,0.00187248,F1044I1.mov.avi
21,NA,NA,0.000116341,0.00131074,F1044I1.mov.avi
22,NA,NA,4.98604e-05,0.00107668,F1044I1.mov.avi
23,NA,NA,0,0.00140436,F1044I1.mov.avi
24,NA,NA,1.66201e-05,0.00163842,F1044I1.mov.avi
25,NA,NA,3.32403e-05,0.00135755,F1044I1.mov.avi
26,NA,NA,1.66201e-05,0.00238742,F1044I1.mov.avi
27,NA,NA,1.66201e-05,0.0019193,F1044I1.mov.avi
28,NA,NA,4.98604e-05,0.00149799,F1044I1.mov.avi
29,NA,NA,0.000182821,0.000936242,F1044I1.mov.avi
30,NA,NA,6.64805e-05,0.00149799,F1044I1.mov.avi
31,NA,NA,1.66201e-05,0.000936242,F1044I1.mov.avi
32,NA,NA,3.32403e-05,0.00220017,F1044I1.mov.avi
33,NA,NA,1.66201e-05,0.00163842,F1044I1.mov.avi
34,NA,NA,1.66201e-05,0.00121711,F1044I1.mov.avi
35,NA,NA,8.31007e-05,0.00220017,F1044I1.mov.avi
36,NA,NA,0.000448744,0.0015448,F1044I1.mov.avi
37,NA,NA,0.000914107,0.00126393,F1044I1.mov.avi
38,NA,NA,0.00179497,0.00285554,F1044I1.mov.avi
39,NA,NA,0.000631565,0.000936242,F1044I1.mov.avi
40,NA,NA,0.000465364,0.00173205,F1044I1.mov.avi
41,NA,NA,0.000315782,0.000748994,F1044I1.mov.avi
42,NA,NA,0.000132961,0.00220017,F1044I1.mov.avi
43,NA,NA,6.64805e-05,0.000936242,F1044I1.mov.avi
44,NA,NA,6.64805e-05,0.00262148,F1044I1.mov.avi
45,NA,NA,0,0.00102987,F1044I1.mov.avi
46,NA,NA,0.000116341,0.00121711,F1044I1.mov.avi
47,NA,NA,4.98604e-05,0.0019193,F1044I1.mov.avi
48,NA,NA,4.98604e-05,0.00182567,F1044I1.mov.avi
49,NA,NA,0.000847627,0.00159161,F1044I1.mov.avi
50,NA,NA,0.00428799,0.00243423,F1044I1.mov.avi
51,NA,NA,0.00909121,0.00220017,F1044I1.mov.avi
52,NA,NA,0.0115842,0.00205973,F1044I1.mov.avi
53,NA,NA,0.0134623,0.000561745,F1044I1.mov.avi
54,NA,NA,0.0150246,0.00252785,F1044I1.mov.avi
55,NA,NA,0.0180495,0.00205973,F1044I1.mov.avi
