frame,father,mother,patient,therapist,file
1,NA,2.03405e-05,0.00379592,0.00290381,F1044Q1.mov.avi
2,NA,2.03405e-05,0.00311808,0.00549002,F1044Q1.mov.avi
3,NA,4.0681e-05,0.00378086,0.00385662,F1044Q1.mov.avi
4,NA,0,0.0108606,0.00294918,F1044Q1.mov.avi
5,NA,2.03405e-05,0.017172,0.00303993,F1044Q1.mov.avi
6,NA,0,0.0191453,0.00467332,F1044Q1.mov.avi
7,NA,0,0.0188742,0.00272232,F1044Q1.mov.avi
8,NA,0,0.0177595,0.00372051,F1044Q1.mov.avi
9,NA,0,0.0143402,0.00353902,F1044Q1.mov.avi
10,NA,0,0.0105141,0.00485481,F1044Q1.mov.avi
11,NA,2.03405e-05,0.00575414,0.00467332,F1044Q1.mov.avi
12,NA,0,0.0029072,0.00263158,F1044Q1.mov.avi
13,NA,0,0.00170214,0.00303993,F1044Q1.mov.avi
14,NA,0,0.00149126,0.00644283,F1044Q1.mov.avi
15,NA,2.03405e-05,0.00141594,0.00335753,F1044Q1.mov.avi
16,NA,2.03405e-05,0.00254568,0.00440109,F1044Q1.mov.avi
17,NA,0,0.00335909,0.00267695,F1044Q1.mov.avi
18,NA,2.03405e-05,0.00152138,0.00553539,F1044Q1.mov.avi
19,NA,0,0.000256074,0.00258621,F1044Q1.mov.avi
20,NA,2.03405e-05,0.00108455,0.00245009,F1044Q1.mov.avi
21,NA,0,0.000542275,0.0042196,F1044Q1.mov.avi
22,NA,2.03405e-05,0.000632654,0.0042196,F1044Q1.mov.avi
23,NA,0,0.000994171,0.00417423,F1044Q1.mov.avi
24,NA,8.1362e-05,0.00195821,0.00254083,F1044Q1.mov.avi
25,NA,6.10215e-05,0.00257581,0.00281307,F1044Q1.mov.avi
26,NA,0,0.00370554,0.00748639,F1044Q1.mov.avi
27,NA,4.0681e-05,0.00311808,0.00322142,F1044Q1.mov.avi
28,NA,4.0681e-05,0.00307289,0.00485481,F1044Q1.mov.avi
29,NA,0,0.00340428,0.00394737,F1044Q1.mov.avi
30,NA,2.03405e-05,0.00489554,0.00490018,F1044Q1.mov.avi
31,NA,2.03405e-05,0.0072002,0.00254083,F1044Q1.mov.avi
32,NA,0,0.0120355,0.00403811,F1044Q1.mov.avi
33,NA,2.03405e-05,0.0119903,0.00367514,F1044Q1.mov.avi
34,NA,4.0681e-05,0.00814919,0.00467332,F1044Q1.mov.avi
35,NA,4.0681e-05,0.00469972,0.00471869,F1044Q1.mov.avi
36,NA,0,0.00125024,0.00335753,F1044Q1.mov.avi
37,NA,0,0.000557338,0.00335753,F1044Q1.mov.avi
38,NA,0,0.00150632,0.00644283,F1044Q1.mov.avi
39,NA,0,0.000723033,0.00376588,F1044Q1.mov.avi
40,NA,0,0.0015967,0.00426497,F1044Q1.mov.avi
41,NA,0,0.00450389,0.00322142,F1044Q1.mov.avi
42,NA,0,0.00848058,0.00499093,F1044Q1.mov.avi
43,NA,2.03405e-05,0.011192,0.00281307,F1044Q1.mov.avi
44,NA,0,0.0116589,0.00412886,F1044Q1.mov.avi
45,NA,0,0.0165093,0.00381125,F1044Q1.mov.avi
46,NA,4.0681e-05,0.0217362,0.00458258,F1044Q1.mov.avi
47,NA,2.03405e-05,0.0267221,0.00512704,F1044Q1.mov.avi
48,NA,4.0681e-05,0.0211939,0.00263158,F1044Q1.mov.avi
49,NA,4.0681e-05,0.017413,0.00353902,F1044Q1.mov.avi
50,NA,0,0.016449,0.00598911,F1044Q1.mov.avi
51,NA,0,0.0141443,0.00281307,F1044Q1.mov.avi
52,NA,2.03405e-05,0.0165394,0.00471869,F1044Q1.mov.avi
53,NA,0,0.0184223,0.00381125,F1044Q1.mov.avi
54,NA,0,0.0157712,0.00585299,F1044Q1.mov.avi
55,NA,2.03405e-05,0.00786299,0.00313067,F1044Q1.mov.avi
56,NA,2.03405e-05,0.00310302,0.00399274,F1044Q1.mov.avi
57,NA,2.03405e-05,0.00230467,0.00385662,F1044Q1.mov.avi
58,NA,2.03405e-05,0.00259087,0.00440109,F1044Q1.mov.avi
59,NA,2.03405e-05,0.00369048,0.00417423,F1044Q1.mov.avi
60,NA,0,0.00567882,0.00245009,F1044Q1.mov.avi
61,NA,0,0.00381099,0.00399274,F1044Q1.mov.avi
62,NA,0,0.000692907,0.0064882,F1044Q1.mov.avi
63,NA,0,0.00103936,0.0042196,F1044Q1.mov.avi
64,NA,0,0.00304276,0.00335753,F1044Q1.mov.avi
65,NA,2.03405e-05,0.00403693,0.0027677,F1044Q1.mov.avi
66,NA,0,0.00295239,0.00480944,F1044Q1.mov.avi
67,NA,0,0.00451896,0.00272232,F1044Q1.mov.avi
68,NA,0,0.00558844,0.00245009,F1044Q1.mov.avi
69,NA,4.0681e-05,0.0102882,0.00344828,F1044Q1.mov.avi
70,NA,0,0.0170967,0.00426497,F1044Q1.mov.avi
71,NA,0,0.0206516,0.00412886,F1044Q1.mov.avi
72,NA,0,0.0176842,0.00272232,F1044Q1.mov.avi
73,NA,0,0.00920361,0.00331216,F1044Q1.mov.avi
74,NA,2.03405e-05,0.00363023,0.00780399,F1044Q1.mov.avi
75,NA,0,0.00466959,0.00385662,F1044Q1.mov.avi
76,NA,0,0.0116137,0.00303993,F1044Q1.mov.avi
77,NA,0,0.0146113,0.00208711,F1044Q1.mov.avi
78,NA,0,0.012623,0.00558076,F1044Q1.mov.avi
79,NA,0,0.00777261,0.00317604,F1044Q1.mov.avi
80,NA,0.000122043,0.00754666,0.00190563,F1044Q1.mov.avi
81,NA,0.000101702,0.00995677,0.00367514,F1044Q1.mov.avi
82,NA,0.000264426,0.00942956,0.00367514,F1044Q1.mov.avi
83,NA,0.000162724,0.0089626,0.00381125,F1044Q1.mov.avi
84,NA,0.000386469,0.0149728,0.00290381,F1044Q1.mov.avi
85,NA,4.0681e-05,0.020034,0.00372051,F1044Q1.mov.avi
86,NA,6.10215e-05,0.0206818,0.00490018,F1044Q1.mov.avi
87,NA,2.03405e-05,0.0176541,0.00394737,F1044Q1.mov.avi
88,NA,0.000122043,0.0144004,0.00299456,F1044Q1.mov.avi
89,NA,0,0.0131954,0.00258621,F1044Q1.mov.avi
90,NA,6.10215e-05,0.0143853,0.00458258,F1044Q1.mov.avi
91,NA,4.0681e-05,0.0171268,0.00258621,F1044Q1.mov.avi
92,NA,6.10215e-05,0.0186784,0.00313067,F1044Q1.mov.avi
93,NA,0,0.0156958,0.00385662,F1044Q1.mov.avi
94,NA,0,0.0167804,0.00394737,F1044Q1.mov.avi
95,NA,0.000101702,0.0201395,0.00458258,F1044Q1.mov.avi
96,NA,2.03405e-05,0.0166599,0.00290381,F1044Q1.mov.avi
97,NA,2.03405e-05,0.0111618,0.00335753,F1044Q1.mov.avi
98,NA,0,0.0153193,0.00707804,F1044Q1.mov.avi
99,NA,2.03405e-05,0.0153946,0.00417423,F1044Q1.mov.avi
100,NA,0,0.0130447,0.00281307,F1044Q1.mov.avi
101,NA,0,0.0125024,0.0042196,F1044Q1.mov.avi
102,NA,0,0.013105,0.00494555,F1044Q1.mov.avi
103,NA,4.0681e-05,0.0131351,0.00331216,F1044Q1.mov.avi
104,NA,2.03405e-05,0.0111769,0.00399274,F1044Q1.mov.avi
105,NA,2.03405e-05,0.0102731,0.00408348,F1044Q1.mov.avi
106,NA,0,0.0127736,0.00521779,F1044Q1.mov.avi
107,NA,0.000101702,0.0198081,0.00317604,F1044Q1.mov.avi
108,NA,4.0681e-05,0.0256677,0.00313067,F1044Q1.mov.avi
109,NA,6.10215e-05,0.0295992,0.00344828,F1044Q1.mov.avi
110,NA,2.03405e-05,0.0366186,0.00571688,F1044Q1.mov.avi
111,NA,0,0.0447527,0.003902,F1044Q1.mov.avi
112,NA,0,0.0478558,0.00449183,F1044Q1.mov.avi
113,NA,0,0.0450088,0.00353902,F1044Q1.mov.avi
114,NA,0,0.0522391,0.00512704,F1044Q1.mov.avi
