frame,father,mother,patient,therapist,file
1,NA,2.19587e-05,0.000132736,0.00023634,F1069B1.VOB.avi
2,NA,0.00017567,3.3184e-05,0,F1069B1.VOB.avi
3,NA,0.000483092,8.296e-05,0.000141804,F1069B1.VOB.avi
4,NA,0.000702679,0.000182512,0.000661751,F1069B1.VOB.avi
5,NA,0.000592885,9.9552e-05,0.000283607,F1069B1.VOB.avi
6,NA,0.000636803,0.000132736,0.000189072,F1069B1.VOB.avi
7,NA,0.00114185,0.000149328,0.000472679,F1069B1.VOB.avi
8,NA,0.00111989,0.000116144,0.00023634,F1069B1.VOB.avi
9,NA,0.000461133,4.9776e-05,0.000141804,F1069B1.VOB.avi
10,NA,0.00140536,1.6592e-05,0.000425411,F1069B1.VOB.avi
11,NA,0.0013834,1.6592e-05,0.000283607,F1069B1.VOB.avi
12,NA,0.000570927,0,0.00023634,F1069B1.VOB.avi
13,NA,0.000417216,3.3184e-05,0,F1069B1.VOB.avi
14,NA,0.000439174,6.6368e-05,0.000378143,F1069B1.VOB.avi
15,NA,0.000834431,4.9776e-05,0.000283607,F1069B1.VOB.avi
16,NA,0.000658762,0.000381616,0.00283607,F1069B1.VOB.avi
17,NA,0.000988142,0.00219014,0.00704292,F1069B1.VOB.avi
18,NA,0.000922266,0.000647088,0.00831915,F1069B1.VOB.avi
19,NA,0.00136144,0.00066368,0.013235,F1069B1.VOB.avi
20,NA,0.000131752,0.0004148,0.0188126,F1069B1.VOB.avi
21,NA,2.19587e-05,0.000232288,0.0191435,F1069B1.VOB.avi
22,NA,4.39174e-05,0.000215696,0.0205615,F1069B1.VOB.avi
23,NA,0.000109794,0.00058072,0.0236812,F1069B1.VOB.avi
24,NA,4.39174e-05,0.00074664,0.019049,F1069B1.VOB.avi
25,NA,2.19587e-05,0.000530944,0.0111552,F1069B1.VOB.avi
26,NA,0,0.00033184,0.00666478,F1069B1.VOB.avi
27,NA,4.39174e-05,9.9552e-05,0.00387597,F1069B1.VOB.avi
28,NA,6.58762e-05,0.00016592,0.00316695,F1069B1.VOB.avi
29,NA,0.000131752,0.00024888,0.00326149,F1069B1.VOB.avi
30,NA,0.000329381,4.9776e-05,0.00113443,F1069B1.VOB.avi
31,NA,0.00068072,3.3184e-05,0.000472679,F1069B1.VOB.avi
32,NA,0.00184453,0,0.000614483,F1069B1.VOB.avi
33,NA,0.00353535,1.6592e-05,0.00146531,F1069B1.VOB.avi
34,NA,0.00432587,3.3184e-05,0.00160711,F1069B1.VOB.avi
35,NA,0.00155907,8.296e-05,0.0050104,F1069B1.VOB.avi
36,NA,0.000505051,8.296e-05,0.000709019,F1069B1.VOB.avi
37,NA,0.00215195,6.6368e-05,0.000567215,F1069B1.VOB.avi
38,NA,0.00245938,0,0.00141804,F1069B1.VOB.avi
39,NA,0.00256917,1.6592e-05,0.00151257,F1069B1.VOB.avi
40,NA,0.00199824,0,0.00122897,F1069B1.VOB.avi
41,NA,0.00151515,1.6592e-05,0.000803555,F1069B1.VOB.avi
42,NA,0.000153711,1.6592e-05,0.00146531,F1069B1.VOB.avi
43,NA,0,0,0.00241066,F1069B1.VOB.avi
44,NA,6.58762e-05,1.6592e-05,0.00245793,F1069B1.VOB.avi
45,NA,8.78349e-05,0,0.00146531,F1069B1.VOB.avi
46,NA,0.000285463,0,0.00321422,F1069B1.VOB.avi
47,NA,0.00017567,3.3184e-05,0.00311968,F1069B1.VOB.avi
48,NA,0.000461133,4.9776e-05,0.000803555,F1069B1.VOB.avi
49,NA,0.000834431,4.9776e-05,0.000283607,F1069B1.VOB.avi
50,NA,0.000483092,0,0.000519947,F1069B1.VOB.avi
51,NA,0.000219587,1.6592e-05,0.000425411,F1069B1.VOB.avi
52,NA,0.000570927,1.6592e-05,0.000756287,F1069B1.VOB.avi
53,NA,0.000746596,1.6592e-05,0.000425411,F1069B1.VOB.avi
54,NA,4.39174e-05,0,0.000519947,F1069B1.VOB.avi
55,NA,0.000614844,1.6592e-05,0.000378143,F1069B1.VOB.avi
56,NA,0.000570927,3.3184e-05,0,F1069B1.VOB.avi
57,NA,2.19587e-05,0,0.000425411,F1069B1.VOB.avi
58,NA,2.19587e-05,0,0.0011817,F1069B1.VOB.avi
59,NA,0.000109794,1.6592e-05,0.000803555,F1069B1.VOB.avi
