frame,father,mother,patient,therapist,file
1,7.88038e-05,NA,0.00331094,0.000328963,F1069D2.VOB.avi
2,3.94019e-05,NA,0.00211683,9.39894e-05,F1069D2.VOB.avi
3,9.85047e-05,NA,0.000936291,0.000281968,F1069D2.VOB.avi
4,1.97009e-05,NA,0.00153335,0,F1069D2.VOB.avi
5,9.85047e-05,NA,0.00203542,0.000281968,F1069D2.VOB.avi
6,1.97009e-05,NA,0.00169618,0.000187979,F1069D2.VOB.avi
7,0.000177308,NA,0.00024425,0,F1069D2.VOB.avi
8,0,NA,0.000122125,0.000281968,F1069D2.VOB.avi
9,3.94019e-05,NA,0.000149264,0.000187979,F1069D2.VOB.avi
10,1.97009e-05,NA,0.000230681,0.000187979,F1069D2.VOB.avi
11,0.000157608,NA,0.000366375,0.000281968,F1069D2.VOB.avi
12,0,NA,0.00047493,0,F1069D2.VOB.avi
13,5.91028e-05,NA,0.000135694,0.000234973,F1069D2.VOB.avi
14,1.97009e-05,NA,1.35694e-05,0.000516942,F1069D2.VOB.avi
15,3.94019e-05,NA,0,0.000516942,F1069D2.VOB.avi
16,3.94019e-05,NA,1.35694e-05,0.000187979,F1069D2.VOB.avi
17,3.94019e-05,NA,0.000122125,0.000328963,F1069D2.VOB.avi
18,1.97009e-05,NA,0.000298528,0,F1069D2.VOB.avi
19,0.000118206,NA,0.000217111,0.000187979,F1069D2.VOB.avi
20,1.97009e-05,NA,0.000447792,0.000187979,F1069D2.VOB.avi
21,7.88038e-05,NA,0.000176403,0.000140984,F1069D2.VOB.avi
22,0,NA,2.71389e-05,9.39894e-05,F1069D2.VOB.avi
23,7.88038e-05,NA,0,0.000516942,F1069D2.VOB.avi
24,1.97009e-05,NA,4.07083e-05,4.69947e-05,F1069D2.VOB.avi
25,1.97009e-05,NA,0.000312097,0.000187979,F1069D2.VOB.avi
26,1.97009e-05,NA,0.00118054,0.000187979,F1069D2.VOB.avi
27,1.97009e-05,NA,0.00189972,0.000281968,F1069D2.VOB.avi
28,3.94019e-05,NA,0.00107199,9.39894e-05,F1069D2.VOB.avi
29,3.94019e-05,NA,0.000420653,9.39894e-05,F1069D2.VOB.avi
30,3.94019e-05,NA,0.00047493,0,F1069D2.VOB.avi
31,7.88038e-05,NA,0.000203542,0.000187979,F1069D2.VOB.avi
32,5.91028e-05,NA,0.00112626,9.39894e-05,F1069D2.VOB.avi
33,3.94019e-05,NA,0.00206256,0.000187979,F1069D2.VOB.avi
34,1.97009e-05,NA,0.000773458,0.000281968,F1069D2.VOB.avi
35,7.88038e-05,NA,0.000366375,0.000187979,F1069D2.VOB.avi
36,1.97009e-05,NA,0.000949861,9.39894e-05,F1069D2.VOB.avi
37,3.94019e-05,NA,0.00151978,0.000281968,F1069D2.VOB.avi
38,3.94019e-05,NA,0.000678472,0.000281968,F1069D2.VOB.avi
39,0.000177308,NA,0.00126196,0.000375958,F1069D2.VOB.avi
40,3.94019e-05,NA,0.000366375,0.000187979,F1069D2.VOB.avi
41,1.97009e-05,NA,0.000271389,0.000375958,F1069D2.VOB.avi
42,9.85047e-05,NA,0.000407083,0.000234973,F1069D2.VOB.avi
43,7.88038e-05,NA,0.000420653,0.000187979,F1069D2.VOB.avi
44,3.94019e-05,NA,0.000312097,9.39894e-05,F1069D2.VOB.avi
45,1.97009e-05,NA,0.000759889,0.000422952,F1069D2.VOB.avi
46,9.85047e-05,NA,0.000746319,0.000234973,F1069D2.VOB.avi
47,3.94019e-05,NA,0.00211683,0.000187979,F1069D2.VOB.avi
48,5.91028e-05,NA,0.000800597,0,F1069D2.VOB.avi
49,1.97009e-05,NA,0.00267318,0.000610931,F1069D2.VOB.avi
50,5.91028e-05,NA,0.00134337,0.000375958,F1069D2.VOB.avi
51,5.91028e-05,NA,0.00260533,0.00070492,F1069D2.VOB.avi
52,9.85047e-05,NA,0.00221182,9.39894e-05,F1069D2.VOB.avi
53,7.88038e-05,NA,0.00141122,0.000469947,F1069D2.VOB.avi
54,5.91028e-05,NA,0.0027953,0,F1069D2.VOB.avi
