frame,father,mother,patient,therapist,file
1,NA,0.0192687,0.000711186,0.0087165,F1101A2.VOB.avi
2,NA,0.0251546,0.00239875,0.00893441,F1101A2.VOB.avi
3,NA,0.0304829,0.000373674,0.00488124,F1101A2.VOB.avi
4,NA,0.0355262,0.000614754,0.00178688,F1101A2.VOB.avi
5,NA,0.0379054,0.00137416,0.00353018,F1101A2.VOB.avi
6,NA,0.0367282,0.00156702,0.00235345,F1101A2.VOB.avi
7,NA,0.0326514,0.00244696,0.00366093,F1101A2.VOB.avi
8,NA,0.0295411,0.00227821,0.00431467,F1101A2.VOB.avi
9,NA,0.0259105,0.00128978,0.00326869,F1101A2.VOB.avi
10,NA,0.0198511,0.000289296,0.00374809,F1101A2.VOB.avi
11,NA,0.0183641,0.000638862,0.00396601,F1101A2.VOB.avi
12,NA,0.0201237,0.000759402,0.00161255,F1101A2.VOB.avi
13,NA,0.0195165,0.00042189,0.00230987,F1101A2.VOB.avi
14,NA,0.01912,0.00054243,0.00283286,F1101A2.VOB.avi
15,NA,0.0166293,0.00106075,0.00309436,F1101A2.VOB.avi
16,NA,0.0183517,0.000566538,0.00270211,F1101A2.VOB.avi
17,NA,0.0163691,0.000735294,0.00318152,F1101A2.VOB.avi
18,NA,0.0156999,0.000397782,0.0024842,F1101A2.VOB.avi
19,NA,0.0167408,0.000795564,0.00326869,F1101A2.VOB.avi
20,NA,0.0177073,0.00255545,0.00479407,F1101A2.VOB.avi
21,NA,0.0136306,0.000337512,0.00344302,F1101A2.VOB.avi
22,NA,0.00856247,0.000506268,0.00353018,F1101A2.VOB.avi
23,NA,0.00824029,0.000638862,0.00204838,F1101A2.VOB.avi
24,NA,0.0064931,0.000699132,0.00230987,F1101A2.VOB.avi
25,NA,0.00598506,0.000458052,0.00230987,F1101A2.VOB.avi
26,NA,0.00676572,0.00030135,0.00357376,F1101A2.VOB.avi
27,NA,0.00625767,0.000711186,0.00239704,F1101A2.VOB.avi
28,NA,0.00468396,0.0025675,0.00130747,F1101A2.VOB.avi
29,NA,0.00415113,0.00161524,0.00405317,F1101A2.VOB.avi
30,NA,0.00757116,0.000566538,0.00217912,F1101A2.VOB.avi
31,NA,0.0110655,0.00119335,0.00296361,F1101A2.VOB.avi
32,NA,0.00774464,0.0027242,0.00366093,F1101A2.VOB.avi
33,NA,0.00614614,0.00106075,0.00383526,F1101A2.VOB.avi
34,NA,0.00723659,0.000494214,0.00387884,F1101A2.VOB.avi
35,NA,0.00804203,0.000687078,0.00405317,F1101A2.VOB.avi
36,NA,0.00857486,0.000650916,0.00226629,F1101A2.VOB.avi
37,NA,0.00907052,0.0006027,0.00191763,F1101A2.VOB.avi
38,NA,0.0105699,0.000373674,0.00353018,F1101A2.VOB.avi
39,NA,0.00970248,0.000795564,0.00444541,F1101A2.VOB.avi
40,NA,0.00810399,0.00159113,0.00461974,F1101A2.VOB.avi
41,NA,0.0111275,0.000325458,0.00566572,F1101A2.VOB.avi
42,NA,0.0155264,0.000216972,0.00588363,F1101A2.VOB.avi
43,NA,0.0191571,0.00036162,0.00479407,F1101A2.VOB.avi
44,NA,0.0206689,0.00138621,0.00370451,F1101A2.VOB.avi
45,NA,0.0230357,0.0010487,0.00357376,F1101A2.VOB.avi
46,NA,0.0254272,0.000506268,0.00374809,F1101A2.VOB.avi
47,NA,0.0266168,0.000349566,0.00418392,F1101A2.VOB.avi
48,NA,0.0244359,0.00048216,0.00244062,F1101A2.VOB.avi
49,NA,0.0206441,0.000940212,0.00326869,F1101A2.VOB.avi
50,NA,0.0190456,0.000795564,0.00784485,F1101A2.VOB.avi
51,NA,0.0173604,0.00128978,0.0101111,F1101A2.VOB.avi
52,NA,0.015006,0.00101254,0.00653737,F1101A2.VOB.avi
53,NA,0.0190332,0.00090405,0.00488124,F1101A2.VOB.avi
54,NA,0.0202104,0.00084378,0.00217912,F1101A2.VOB.avi
55,NA,0.0199006,0.000711186,0.00230987,F1101A2.VOB.avi
56,NA,0.0195537,0.00166345,0.0027457,F1101A2.VOB.avi
57,NA,0.0167408,0.00167551,0.004489,F1101A2.VOB.avi
58,NA,0.0105203,0.00253134,0.00309436,F1101A2.VOB.avi
59,NA,0.0145971,0.00115718,0.00379168,F1101A2.VOB.avi
60,NA,0.0135314,0.00244696,0.00217912,F1101A2.VOB.avi
61,NA,0.0117966,0.0081244,0.00353018,F1101A2.VOB.avi
62,NA,0.0150308,0.0181774,0.00618871,F1101A2.VOB.avi
63,NA,0.0177941,0.0319552,0.00758335,F1101A2.VOB.avi
64,NA,0.0175586,0.052676,0.00780126,F1101A2.VOB.avi
65,NA,0.0204211,0.0720106,0.00727827,F1101A2.VOB.avi
66,NA,0.0233826,0.0837994,0.00239704,F1101A2.VOB.avi
67,NA,0.0290083,0.116779,0.00265853,F1101A2.VOB.avi
68,NA,0.0328497,0.142936,0.0034866,F1101A2.VOB.avi
69,NA,0.035551,0.156557,0.00309436,F1101A2.VOB.avi
70,NA,0.0368025,0.167888,0.00244062,F1101A2.VOB.avi
71,NA,0.0365175,0.177712,0.00209196,F1101A2.VOB.avi
72,NA,0.0319327,0.188488,0.0017433,F1101A2.VOB.avi
73,NA,0.0253528,0.187102,0.00366093,F1101A2.VOB.avi
74,NA,0.0245846,0.191345,0.00366093,F1101A2.VOB.avi
75,NA,0.0265672,0.177712,0.0027457,F1101A2.VOB.avi
76,NA,0.0319946,0.176868,0.00353018,F1101A2.VOB.avi
77,NA,0.0374221,0.16731,0.0042275,F1101A2.VOB.avi
78,NA,0.040173,0.155882,0.00414034,F1101A2.VOB.avi
79,NA,0.0437913,0.147613,0.00239704,F1101A2.VOB.avi
80,NA,0.0419945,0.138151,0.00601438,F1101A2.VOB.avi
81,NA,0.0476202,0.132293,0.00370451,F1101A2.VOB.avi
82,NA,0.0621801,0.121348,0.00313794,F1101A2.VOB.avi
83,NA,0.0675456,0.110294,0.0032251,F1101A2.VOB.avi
84,NA,0.0514368,0.0937319,0.00069732,F1101A2.VOB.avi
85,NA,0.0514244,0.0815694,0.00270211,F1101A2.VOB.avi
86,NA,0.0584627,0.0798819,0.00492482,F1101A2.VOB.avi
87,NA,0.0469759,0.0882835,0.00475049,F1101A2.VOB.avi
88,NA,0.0390701,0.081919,0.0027457,F1101A2.VOB.avi
89,NA,0.0335436,0.0751688,0.00353018,F1101A2.VOB.avi
90,NA,0.0326762,0.0854267,0.00156897,F1101A2.VOB.avi
91,NA,0.0445348,0.0901037,0.00318152,F1101A2.VOB.avi
92,NA,0.0539894,0.0719021,0.00300719,F1101A2.VOB.avi
93,NA,0.0665791,0.05804,0.0027457,F1101A2.VOB.avi
94,NA,0.0692309,0.0562801,0.00183046,F1101A2.VOB.avi
95,NA,0.050904,0.0500964,0.00514273,F1101A2.VOB.avi
96,NA,0.0697761,0.0435632,0.00740902,F1101A2.VOB.avi
97,NA,0.0826384,0.04865,0.00954456,F1101A2.VOB.avi
98,NA,0.0700363,0.0628375,0.00575289,F1101A2.VOB.avi
99,NA,0.0487602,0.0655617,0.00374809,F1101A2.VOB.avi
100,NA,0.0376204,0.0900916,0.00466333,F1101A2.VOB.avi
101,NA,0.0613127,0.106437,0.0069732,F1101A2.VOB.avi
102,NA,0.0721305,0.119925,0.00414034,F1101A2.VOB.avi
103,NA,0.0600612,0.125675,0.00736544,F1101A2.VOB.avi
104,NA,0.0586238,0.12623,0.00998039,F1101A2.VOB.avi
105,NA,0.0587105,0.133112,0.008455,F1101A2.VOB.avi
106,NA,0.0720437,0.123397,0.004489,F1101A2.VOB.avi
107,NA,0.0727624,0.0954918,0.0042275,F1101A2.VOB.avi
108,NA,0.049925,0.0646456,0.00156897,F1101A2.VOB.avi
109,NA,0.0519324,0.0505183,0.00191763,F1101A2.VOB.avi
110,NA,0.0638034,0.0513742,0.00252778,F1101A2.VOB.avi
111,NA,0.062428,0.0530256,0.00292003,F1101A2.VOB.avi
112,NA,0.058091,0.0417792,0.00967531,F1101A2.VOB.avi
113,NA,0.0572608,0.0339682,0.0230551,F1101A2.VOB.avi
114,NA,0.0429115,0.0226977,0.0348224,F1101A2.VOB.avi
115,NA,0.0644602,0.0132112,0.0481151,F1101A2.VOB.avi
116,NA,0.0781527,0.0169961,0.0609719,F1101A2.VOB.avi
117,NA,0.06705,0.0203351,0.067117,F1101A2.VOB.avi
118,NA,0.0543612,0.0311114,0.0749619,F1101A2.VOB.avi
119,NA,0.0517837,0.0359691,0.0813249,F1101A2.VOB.avi
120,NA,0.0497639,0.0187199,0.0756156,F1101A2.VOB.avi
121,NA,0.0508916,0.0125362,0.0672478,F1101A2.VOB.avi
122,NA,0.0602099,0.0165622,0.0512966,F1101A2.VOB.avi
123,NA,0.057806,0.0299662,0.0414034,F1101A2.VOB.avi
124,NA,0.0665419,0.0394045,0.0345173,F1101A2.VOB.avi
125,NA,0.0757735,0.0378857,0.0337328,F1101A2.VOB.avi
126,NA,0.0697141,0.02277,0.0295053,F1101A2.VOB.avi
127,NA,0.0521307,0.00829315,0.0231423,F1101A2.VOB.avi
128,NA,0.0384754,0.00982401,0.0199608,F1101A2.VOB.avi
129,NA,0.0337171,0.0168394,0.0144694,F1101A2.VOB.avi
130,NA,0.0344977,0.0225651,0.00998039,F1101A2.VOB.avi
131,NA,0.0456624,0.0256871,0.0102419,F1101A2.VOB.avi
132,NA,0.0629112,0.0328592,0.00675528,F1101A2.VOB.avi
133,NA,0.0781899,0.0278809,0.00666812,F1101A2.VOB.avi
134,NA,0.0935057,0.0225169,0.00941382,F1101A2.VOB.avi
135,NA,0.112997,0.0221191,0.00562214,F1101A2.VOB.avi
136,NA,0.137123,0.0318828,0.00335585,F1101A2.VOB.avi
137,NA,0.137161,0.0563766,0.00483766,F1101A2.VOB.avi
138,NA,0.121969,0.0605714,0.00374809,F1101A2.VOB.avi
139,NA,0.107273,0.053785,0.00331227,F1101A2.VOB.avi
140,NA,0.0917089,0.0315694,0.00396601,F1101A2.VOB.avi
141,NA,0.0787351,0.0247348,0.00366093,F1101A2.VOB.avi
142,NA,0.0744353,0.02723,0.00235345,F1101A2.VOB.avi
143,NA,0.0720065,0.0440453,0.00483766,F1101A2.VOB.avi
144,NA,0.0722048,0.0545685,0.0032251,F1101A2.VOB.avi
145,NA,0.0749557,0.042406,0.0032251,F1101A2.VOB.avi
146,NA,0.0747574,0.0207932,0.00736544,F1101A2.VOB.avi
147,NA,0.0682024,0.0245902,0.0027457,F1101A2.VOB.avi
148,NA,0.0596151,0.0366683,0.00435825,F1101A2.VOB.avi
149,NA,0.0568023,0.0514585,0.00636304,F1101A2.VOB.avi
150,NA,0.0578927,0.0472155,0.00867291,F1101A2.VOB.avi
151,NA,0.0540885,0.0419359,0.0127697,F1101A2.VOB.avi
152,NA,0.0449065,0.0252893,0.00950098,F1101A2.VOB.avi
153,NA,0.0331594,0.0203833,0.00836784,F1101A2.VOB.avi
154,NA,0.0216602,0.0245902,0.00331227,F1101A2.VOB.avi
155,NA,0.0193678,0.0354629,0.00553497,F1101A2.VOB.avi
156,NA,0.0197519,0.0454436,0.00292003,F1101A2.VOB.avi
157,NA,0.0212637,0.0216731,0.00152539,F1101A2.VOB.avi
158,NA,0.0202724,0.0148626,0.00339943,F1101A2.VOB.avi
159,NA,0.0182402,0.0139826,0.00191763,F1101A2.VOB.avi
160,NA,0.0194545,0.0135366,0.00239704,F1101A2.VOB.avi
161,NA,0.0179428,0.0173457,0.00440183,F1101A2.VOB.avi
162,NA,0.0163815,0.0302797,0.00222271,F1101A2.VOB.avi
163,NA,0.011871,0.0302314,0.00309436,F1101A2.VOB.avi
164,NA,0.00648071,0.0129339,0.00418392,F1101A2.VOB.avi
165,NA,0.00349438,0.0196601,0.00623229,F1101A2.VOB.avi
166,NA,0.00246589,0.0300024,0.00492482,F1101A2.VOB.avi
167,NA,0.00289959,0.0348481,0.0057093,F1101A2.VOB.avi
168,NA,0.00182154,0.0218298,0.0027457,F1101A2.VOB.avi
169,NA,0.00183393,0.0182498,0.00383526,F1101A2.VOB.avi
170,NA,0.0044733,0.0096432,0.00549139,F1101A2.VOB.avi
171,NA,0.00446091,0.0138742,0.004489,F1101A2.VOB.avi
172,NA,0.00437417,0.0163452,0.0042275,F1101A2.VOB.avi
173,NA,0.00333329,0.0265309,0.00440183,F1101A2.VOB.avi
174,NA,0.0017348,0.0253616,0.00305077,F1101A2.VOB.avi
175,NA,0.00215611,0.0130183,0.00353018,F1101A2.VOB.avi
176,NA,0.00131349,0.0100048,0.00544781,F1101A2.VOB.avi
177,NA,0.000669137,0.00782305,0.00470691,F1101A2.VOB.avi
178,NA,0.00199502,0.0155376,0.00501199,F1101A2.VOB.avi
179,NA,0.0020198,0.0134643,0.00740902,F1101A2.VOB.avi
180,NA,0.00258981,0.0073891,0.00627588,F1101A2.VOB.avi
181,NA,0.00069392,0.0135608,0.00536065,F1101A2.VOB.avi
182,NA,0.000743485,0.00847396,0.00797559,F1101A2.VOB.avi
183,NA,0.00106566,0.00999277,0.0105034,F1101A2.VOB.avi
184,NA,0.000123914,0.0227941,0.00984964,F1101A2.VOB.avi
185,NA,0.000458483,0.0207449,0.0124646,F1101A2.VOB.avi
186,NA,0.000731094,0.0133076,0.0133362,F1101A2.VOB.avi
187,NA,0.00140023,0.0100892,0.0116801,F1101A2.VOB.avi
188,NA,0.00342003,0.00576181,0.01399,F1101A2.VOB.avi
189,NA,0.00519201,0.00722035,0.012944,F1101A2.VOB.avi
190,NA,0.00381656,0.0105231,0.0125082,F1101A2.VOB.avi
191,NA,0.00504331,0.0130665,0.0149924,F1101A2.VOB.avi
192,NA,0.00506809,0.0116683,0.0129876,F1101A2.VOB.avi
193,NA,0.0034696,0.00847396,0.014818,F1101A2.VOB.avi
194,NA,0.00465917,0.00911283,0.01399,F1101A2.VOB.avi
195,NA,0.004337,0.00737705,0.0115058,F1101A2.VOB.avi
196,NA,0.00415113,0.0173457,0.00967531,F1101A2.VOB.avi
197,NA,0.00416352,0.0228182,0.010852,F1101A2.VOB.avi
198,NA,0.00370503,0.0175386,0.0059708,F1101A2.VOB.avi
199,NA,0.00470874,0.00471311,0.0059708,F1101A2.VOB.avi
200,NA,0.00415113,0.00802797,0.00531706,F1101A2.VOB.avi
201,NA,0.00444852,0.00959499,0.00309436,F1101A2.VOB.avi
202,NA,0.0030359,0.0108004,0.00470691,F1101A2.VOB.avi
203,NA,0.00172241,0.00907666,0.00876008,F1101A2.VOB.avi
204,NA,0.00141262,0.005581,0.010852,F1101A2.VOB.avi
205,NA,0.00146219,0.00659354,0.0201351,F1101A2.VOB.avi
206,NA,0.00104088,0.00758197,0.0315101,F1101A2.VOB.avi
207,NA,9.91314e-05,0.00766635,0.0396165,F1101A2.VOB.avi
208,NA,7.43485e-05,0.0140911,0.0340379,F1101A2.VOB.avi
209,NA,0.00017348,0.0133438,0.0268468,F1101A2.VOB.avi
210,NA,0.00167284,0.0143804,0.01691,F1101A2.VOB.avi
211,NA,0.00337047,0.0183462,0.0196557,F1101A2.VOB.avi
212,NA,0.00363069,0.0226495,0.0287644,F1101A2.VOB.avi
213,NA,0.00220567,0.0142117,0.0334713,F1101A2.VOB.avi
214,NA,0.000545222,0.0137536,0.0336021,F1101A2.VOB.avi
215,NA,0.00195784,0.0298337,0.0345173,F1101A2.VOB.avi
216,NA,0.0023172,0.0356798,0.030377,F1101A2.VOB.avi
217,NA,0.00151175,0.0340284,0.0244934,F1101A2.VOB.avi
218,NA,0.00156132,0.0378737,0.0166485,F1101A2.VOB.avi
219,NA,0.00175958,0.0455762,0.0150795,F1101A2.VOB.avi
220,NA,0.00164806,0.0556292,0.0224886,F1101A2.VOB.avi
