,Interval,Time_min,video,SSI_fa_pa,SSI_fa_mo,SSI_fa_mo_pa,SSI_mo_pa
0,1,0.0,F1044D2.VOB,0.00702511898672,0.0017135991573,0.00743529546002,0.00929260368464
1,2,0.166666666667,F1044D2.VOB,0.0418294208041,0.198191915975,0.10568189192,0.0226833315725
2,3,0.333333333333,F1044D2.VOB,0.00598864324895,0.00343078982347,0.0059533918901,0.00435082687219
3,4,0.5,F1044D2.VOB,0.00155356798512,0.016152895556,0.0161025327712,0.0195572948403
4,5,0.666666666667,F1044D2.VOB,0.0161878740748,3.08180882752e-05,0.013950914677,0.0167111917159
5,6,0.833333333333,F1044D2.VOB,0.133132960758,0.0016133850655,0.0575414903753,0.00274309511824
6,7,1.0,F1044D2.VOB,0.000290045054697,0.00527877695257,0.286094571352,0.669356345035
7,8,1.16666666667,F1044D2.VOB,0.0410215362065,0.00099017881544,0.0318094837447,0.0343497525503
8,9,1.33333333333,F1044D2.VOB,0.000695831206879,0.00123645684698,0.00182598854319,0.0024606058484
9,10,1.5,F1044D2.VOB,0.000347347887698,0.00604563599341,0.00426364877149,0.00362845936752
10,11,1.66666666667,F1044D2.VOB,0.00902201297398,0.000467913988617,0.0166698994614,0.0295811140722
11,12,1.83333333333,F1044D2.VOB,0.00539316905996,4.96697108985e-05,0.0135054142917,0.0264963722778
12,13,2.0,F1044D2.VOB,0.00606289747363,0.000109720374059,0.0246355394668,0.052016161955
13,14,2.16666666667,F1044D2.VOB,0.00273670084591,0.00337466823844,0.00258445519958,1.48598638772e-05
14,15,2.33333333333,F1044D2.VOB,4.45469438636e-05,0.00307272082154,0.31640859149,0.747656913915
15,16,2.5,F1044D2.VOB,0.0653599217488,0.00149361080929,0.0318087009614,0.00743309053983
16,17,2.66666666667,F1044D2.VOB,0.0169436649321,0.00345421301535,0.0132640239843,0.0100905284327
17,18,2.83333333333,F1044D2.VOB,0.00123691715563,0.0476620973352,0.0254426515756,0.0103644431795
18,19,3.0,F1044D2.VOB,0.00111480195839,0.000732252125552,0.00552521093101,0.0113930592667
19,20,3.16666666667,F1044D2.VOB,0.00348220287314,0.00177152426039,0.0128419499313,0.0247449173072
20,21,3.33333333333,F1044D2.VOB,0.0547842265264,0.00393152539969,0.0254223709975,0.00243658002172
21,22,3.5,F1044D2.VOB,0.0125848715405,0.0727775530898,0.0430130988718,0.0118317686555
22,23,3.66666666667,F1044D2.VOB,0.010603990608,0.00589024819943,0.00706435898067,0.00047229331851
23,24,3.83333333333,F1044D2.VOB,2.01944293056e-05,0.0118540721562,0.00897596606552,0.00946959920488
24,25,4.0,F1044D2.VOB,0.0425269012998,0.0688922458529,0.0470131354083,0.000989440553246
25,26,4.16666666667,F1044D2.VOB,0.0114489081878,3.79196428328e-05,0.00779013483546,0.00693108723414
26,27,4.33333333333,F1044D2.VOB,6.01162773123e-05,0.102113495902,0.0457873757313,0.00659968590421
27,28,4.5,F1044D2.VOB,0.0644601316707,0.177914822289,0.119810617887,0.0660382128301
28,29,4.66666666667,F1044D2.VOB,0.00534292631396,6.2093378576e-05,0.00382027150026,0.00370951344901
29,30,4.83333333333,F1044D2.VOB,0.0072569607249,0.0329537110469,0.0170068939824,0.000526956209079
30,31,5.0,F1044D2.VOB,0.00596972305627,0.00380360470835,0.00715753135463,0.00673690143013
31,32,5.16666666667,F1044D2.VOB,0.00502556905625,0.00685078536342,0.00510697587628,0.000160217055107
32,33,5.33333333333,F1044D2.VOB,0.000742245064608,0.012182261207,0.0056638199323,0.000457607751121
33,34,5.5,F1044D2.VOB,0.0012207797622,0.00222609961443,0.102797104873,0.239387192897
34,35,5.66666666667,F1044D2.VOB,0.00408999929529,0.00243293181539,0.00281218438881,0.000211895803521
35,36,5.83333333333,F1044D2.VOB,0.00135211870234,0.00163806993047,0.0145589442427,0.0318961788338
36,37,6.0,F1044D2.VOB,0.00719525308847,0.0181466030387,0.0108582497039,0.000210891103151
37,38,6.16666666667,F1044D2.VOB,0.0179744834948,0.00486677021008,0.0096697865702,3.796102668e-05
38,39,6.33333333333,F1044D2.VOB,0.0143083793471,0.0115345524988,0.0128406906059,0.00570069196136
39,40,6.5,F1044D2.VOB,0.00548669519038,0.000243531335435,0.00703008467624,0.0108109732411
40,41,6.66666666667,F1044D2.VOB,0.0775711704313,0.133083705311,0.104521404463,0.0595793709843
41,42,6.83333333333,F1044D2.VOB,3.16487186498e-05,0.00389711416868,0.00194131860246,0.000696228133587
42,43,7.0,F1044D2.VOB,0.0199952414869,0.132853807135,0.0652623867964,0.00545848972466
43,44,7.16666666667,F1044D2.VOB,0.00274593354508,2.76136416288e-07,0.0133277727105,0.0289080370926
