,Interval,Time_min,video,SSI_mo_pa,SSI_mo_pa_th,SSI_mo_th,SSI_pa_th
0,1,0.0,F1044P.VOB,0.00116070530743,0.0147017651968,0.0216521606165,0.0126695786389
1,2,0.166666666667,F1044P.VOB,0.00427247765497,0.00987127874663,0.000211039437097,0.0187896251802
2,3,0.333333333333,F1044P.VOB,0.00167433301307,0.0044437111622,0.00215190834616,0.00654322319406
3,4,0.5,F1044P.VOB,3.42377533509e-05,0.069081068323,0.159484478804,0.00417600920242
4,5,0.666666666667,F1044P.VOB,0.0529387148884,0.0347651946295,0.00522903940703,0.0269662934607
5,6,0.833333333333,F1044P.VOB,0.00238921737516,0.00978680467915,0.00692976075141,0.0144616892386
6,7,1.0,F1044P.VOB,0.00225565960983,0.00777155252953,0.00959269252191,0.00614979537176
7,8,1.16666666667,F1044P.VOB,0.122990009854,0.0529882672749,0.00182371180768,0.00173517185868
8,9,1.33333333333,F1044P.VOB,6.28557773518e-05,0.0229953117932,0.00528896404352,0.0490374272431
9,10,1.5,F1044P.VOB,0.329612071216,0.155336825828,0.027899815411,0.0234318039038
10,11,1.66666666667,F1044P.VOB,0.00568633748102,0.0170860886098,0.00394110232197,0.0318567302941
11,12,1.83333333333,F1044P.VOB,0.0581783214149,0.0258831732196,0.00310199828724,5.06413342853e-05
12,13,2.0,F1044P.VOB,0.00198727910366,0.00948084054881,3.02126659406e-05,0.0205451274175
13,14,2.16666666667,F1044P.VOB,2.08170854488e-06,0.0148659656373,0.0353092956745,2.93310504963e-05
14,15,2.33333333333,F1044P.VOB,8.50254901062e-05,0.00162984161805,0.00302649697336,0.000745792684355
15,16,2.5,F1044P.VOB,0.0202421749496,0.0108303873621,0.00360726829456,0.00145855431081
16,17,2.66666666667,F1044P.VOB,0.0241988186402,0.0370365967939,0.00551775611454,0.0609265659545
17,18,2.83333333333,F1044P.VOB,0.00879181499853,0.0436741018027,0.0509701504075,0.0376026873641
18,19,3.0,F1044P.VOB,0.0590149878229,0.0274506513639,0.00562735199876,0.000166953057854
