,Interval,Time_min,video,SSI_fa_mo,SSI_fa_mo_th,SSI_fa_th,SSI_mo_th
0,1,0.0,F1044C2,0.00134477113709,0.0238369876078,0.0516342411575,0.00302434014496
1,2,0.166666666667,F1044C2,0.237188514444,0.117337172663,0.0404168322772,0.00239049160934
2,3,0.333333333333,F1044C2,0.0058946676294,0.0124193279756,0.0208542585824,0.00345689462171
3,4,0.5,F1044C2,0.104416602302,0.149043713711,0.237930076929,0.0335683268907
4,5,0.666666666667,F1044C2,0.106332089007,0.0458748075788,0.000176990185874,0.0026875133794
5,6,0.833333333333,F1044C2,0.0102283966408,0.0310735387702,0.00463264584734,0.0606411791205
6,7,1.0,F1044C2,0.00888236071785,0.00422330984268,6.5371035376e-06,0.00113743193953
7,8,1.16666666667,F1044C2,0.0192337382697,0.034220295114,0.0571172426478,0.00780048475935
8,9,1.33333333333,F1044C2,0.00153982930957,0.00198654415864,0.0028662271256,0.000361196641638
9,10,1.5,F1044C2,0.0858207961325,0.104628520462,0.046299283628,0.136771238782
10,11,1.66666666667,F1044C2,0.00663723517644,0.0244642132528,0.0433905740169,0.00980976271211
11,12,1.83333333333,F1044C2,0.155828541569,0.0971697386626,0.0718079237623,0.000487638776231
12,13,2.0,F1044C2,0.0858078858338,0.039197128968,0.00680444716846,5.83327728193e-05
13,14,2.16666666667,F1044C2,0.0138134253145,0.0145139002547,0.000765935365383,0.0203390183549
14,15,2.33333333333,F1044C2,0.0111148454455,0.0080717744328,0.000115922737421,0.00779852876315
15,16,2.5,F1044C2,0.00172701378099,0.0334549680415,0.044801239351,0.030392924687
16,17,2.66666666667,F1044C2,4.69163021422e-06,0.0216359038351,0.000181447682253,0.0512394406431
17,18,2.83333333333,F1044C2,0.276015930151,0.134265313205,0.0162476542891,0.0368407328401
18,19,3.0,F1044C2,0.0710533026742,0.0352732723199,0.00226122167838,0.0117488037515
19,20,3.16666666667,F1044C2,0.00145236808099,0.0264780068113,0.00142983426711,0.0604160010883
20,21,3.33333333333,F1044C2,3.69370731838e-05,0.0247019272266,0.0121255563207,0.0464698297351
21,22,3.5,F1044C2,0.0402902918677,0.0313971691469,0.0339993804177,6.93366131977e-05
22,23,3.66666666667,F1044C2,0.0280435987255,0.0181281628227,0.000102739570562,0.0145103467338
23,24,3.83333333333,F1044C2,0.0174688791787,0.0204176616845,0.00672705930891,0.0261115253006
