,Interval,Time_min,video,SSI_mo_pa,SSI_mo_pa_th,SSI_mo_th,SSI_pa_th
0,1,0.0,F1101A2,0.074245763311,0.0342983557924,4.18704937627e-05,0.00682672737666
1,2,0.166666666667,F1101A2,0.00266363944411,0.0553137387755,0.0767180124012,0.0462612557604
2,3,0.333333333333,F1101A2,0.000416369748573,0.0607270019806,0.141886240231,0.00235231733216
3,4,0.5,F1101A2,0.0496011880756,0.0231303456387,0.00334908944633,0.00270871916545
4,5,0.666666666667,F1101A2,0.0933599610779,0.045204553005,0.000460218418317,0.0121584852108
5,6,0.833333333333,F1101A2,0.0111367519457,0.0869232982684,0.167290990443,0.017845144349
6,7,1.0,F1101A2,0.0234537722852,0.0219097506694,0.0277160918468,0.000184426979697
7,8,1.16666666667,F1101A2,0.016729062417,0.0364352175738,0.0439201412348,0.0305890142449
8,9,1.33333333333,F1101A2,0.14135939665,0.0757232192637,0.038007089751,0.00205402437358
9,10,1.5,F1101A2,0.0476052591601,0.0526130640286,0.0604117931672,0.00878161740007
10,11,1.66666666667,F1101A2,9.99239386126e-05,0.0494203589037,0.107792105198,0.00949137176387
11,12,1.83333333333,F1101A2,0.0125515219243,0.0548062207419,0.0677150098625,0.0405088423273
12,13,2.0,F1101A2,0.0543013778268,0.0263844058772,0.00225083157743,0.00705984058999
13,14,2.16666666667,F1101A2,0.00459775189966,0.00572609983879,8.9252818231e-05,0.00883553138763
14,15,2.33333333333,F1101A2,0.0373456759781,0.0885659572349,7.37396825831e-05,0.170676344916
15,16,2.5,F1101A2,0.00253239494227,0.00252145964911,0.000678168021151,0.00269881424987
16,17,2.66666666667,F1101A2,0.109366981138,0.0635967626485,4.73392832212e-06,0.0397976990461
17,18,2.83333333333,F1101A2,0.0100749241057,0.0421844533403,0.066004976644,0.0282465230883
18,19,3.0,F1101A2,0.00288730327977,0.0181215647538,0.0151412494048,0.0261004148246
19,20,3.16666666667,F1101A2,0.0444386768444,0.0234551098568,8.89207063792e-06,0.0111590796471
20,21,3.33333333333,F1101A2,0.245729316031,0.114776148262,0.0213589762092,0.0123409288149
21,22,3.5,F1101A2,0.0508191188425,0.0344558847932,0.0226760052633,0.00478806813949
22,23,3.66666666667,F1101A2,0.0431381175405,0.0275380905129,0.0209054763239,0.00287500553226
23,24,3.83333333333,F1101A2,0.0394650900076,0.0204392791218,0.00479858363515,0.00322479000476
24,25,4.0,F1101A2,0.134669246082,0.0778087256848,0.0462126242826,0.0105829431805
25,26,4.16666666667,F1101A2,0.0903123383078,0.0687503115187,0.00692247148193,0.0710256351586
26,27,4.33333333333,F1101A2,0.0104714606545,0.10489862899,0.0324358669201,0.213054089767
27,28,4.5,F1101A2,0.145519181974,0.0934554766291,0.041330303983,0.0168515115738
28,29,4.66666666667,F1101A2,0.00863262397056,0.0788770907757,0.0816599175496,0.0828819505222
29,30,4.83333333333,F1101A2,0.0175872033535,0.0486341953683,0.00400126435784,0.0898648644851
30,31,5.0,F1101A2,0.0217802598275,0.0586924139288,0.0864698489935,0.0211130382961
31,32,5.16666666667,F1101A2,0.00121110708218,0.0603884593506,0.141356583641,0.000502505850029
32,33,5.33333333333,F1101A2,2.23666266351e-05,0.0293499139504,0.0416221082802,0.0273868375559
33,34,5.5,F1101A2,0.176729802326,0.086123364594,0.0165046145961,0.0178077243185
34,35,5.66666666667,F1101A2,0.0357999680037,0.134666745394,0.171182224924,0.135369269805
35,36,5.83333333333,F1101A2,0.000763784624215,0.0551713922361,0.0814075734049,0.0449795157043
36,37,6.0,F1101A2,0.0266646613562,0.0175484908346,0.014693326612,3.49637898415e-05
37,38,6.16666666667,F1101A2,0.00426639554771,0.0211949780867,0.0294351195742,0.014741891519
38,39,6.33333333333,F1101A2,0.0100109506486,0.0734455303664,0.164367099146,0.00089311105575
39,40,6.5,F1101A2,0.24479629282,0.1310503821,0.0398379244794,0.0441286015523
40,41,6.66666666667,F1101A2,0.0170722841067,0.0388530844968,0.0748146111139,0.00152908553747
41,42,6.83333333333,F1101A2,0.0949803289963,0.0780976391413,0.000443524926402,0.0883853075307
42,43,7.0,F1101A2,0.0305713116872,0.0723482015846,0.112064561922,0.0399804143064
43,44,7.16666666667,F1101A2,0.00456270134861,0.0577489252112,0.00568383586326,0.128709138184
44,45,7.33333333333,F1101A2,0.00265303505477,0.0384779051394,0.0885108670927,5.56432038922e-05
45,46,7.5,F1101A2,0.00058556241673,0.0632615166502,0.00471173383825,0.145527919319
