,Interval,Time_min,video,SSI_mo_pa,SSI_mo_pa_th,SSI_mo_th,SSI_pa_th
0,1,0.0,F1101C2,0.0514509951238,0.0294213968428,0.00663808293791,0.0139841589453
1,2,0.166666666667,F1101C2,0.0421603913444,0.0216812687223,0.00357277401927,0.00682259950792
2,3,0.333333333333,F1101C2,0.0481982910607,0.0354181037781,0.000210893086837,0.034253060215
3,4,0.5,F1101C2,0.105106393949,0.0561346567485,0.00479137932947,0.0184048103005
4,5,0.666666666667,F1101C2,0.0133631882279,0.0193117214804,0.0195077225183,0.010727860401
5,6,0.833333333333,F1101C2,0.00214206252551,0.000938382283794,7.51110985175e-05,1.5551938354e-05
6,7,1.0,F1101C2,0.0181344431296,0.0339952266403,0.0335012169185,0.0336322932285
7,8,1.16666666667,F1101C2,0.0355500769896,0.0387867537153,0.00262637488869,0.055788331086
8,9,1.33333333333,F1101C2,0.0946089244459,0.0790641194976,0.0852009405258,0.000717356176239
9,10,1.5,F1101C2,0.0139018537867,0.0512268418902,0.106133453028,0.00378652353692
10,11,1.66666666667,F1101C2,0.000104434514251,0.0310228392352,0.0504276638086,0.0222555480983
11,12,1.83333333333,F1101C2,0.0321953652544,0.121896733219,0.0661102435926,0.208711000665
12,13,2.0,F1101C2,0.00864394834337,0.00982464440194,0.0114202034774,0.00395578441668
13,14,2.16666666667,F1101C2,0.00652820152615,0.0194558014455,0.0323558642313,0.00875403225237
14,15,2.33333333333,F1101C2,0.00201309762955,0.0104568056544,0.0138701959922,0.00950877736483
15,16,2.5,F1101C2,0.00772851064979,0.0125720518487,0.0121355426597,0.011099949195
16,17,2.66666666667,F1101C2,0.000477534840626,0.00580452300082,0.00293651106008,0.0102268274853
17,18,2.83333333333,F1101C2,0.00207845982247,0.0353892580793,0.000444261595061,0.0811741702306
18,19,3.0,F1101C2,0.0470888809608,0.0865550325324,0.157704531661,0.00196337869769
19,20,3.16666666667,F1101C2,0.0258991819501,0.020025932537,0.0216433674659,0.00015741714668
20,21,3.33333333333,F1101C2,9.70342843494e-05,0.0323915910869,0.0747412789924,0.00224320762411
21,22,3.5,F1101C2,0.0116715148742,0.0551014981024,0.104695539567,0.019059787387
22,23,3.66666666667,F1101C2,0.0961995342188,0.0481874361257,0.0177821845958,3.39423980906e-05
23,24,3.83333333333,F1101C2,0.0911575138792,0.0561824536799,0.0349667859806,0.0133196259626
24,25,4.0,F1101C2,0.0385182089786,0.0510794668493,0.0822835979895,0.000327720809666
25,26,4.16666666667,F1101C2,0.0865105459504,0.245901964758,0.16417337384,0.387873937221
26,27,4.33333333333,F1101C2,0.00705157538544,0.00903870847093,0.00221024108325,0.0116611066682
27,28,4.5,F1101C2,5.19468007498e-08,0.0217938218097,0.0249268273924,0.0265637736022
28,29,4.66666666667,F1101C2,0.0451419499628,0.0261338156119,0.0129013907154,0.00232346183576
29,30,4.83333333333,F1101C2,0.0165413208754,0.00880848305277,0.000969335174388,0.00313082633396
30,31,5.0,F1101C2,0.0101211206514,0.00974190557011,0.0114565877319,0.00109291919155
31,32,5.16666666667,F1101C2,0.221824738075,0.140588383814,0.106819872188,0.0198637316395
32,33,5.33333333333,F1101C2,0.00382350179215,0.00459287120338,1.35927000451e-05,0.00704692117223
33,34,5.5,F1101C2,0.0924326703608,0.105383620551,0.0553364475023,0.0687190680915
34,35,5.66666666667,F1101C2,0.0544157294287,0.0304471533987,0.0139785597379,0.00606395248405
35,36,5.83333333333,F1101C2,0.0528804836261,0.027977911772,0.0117535640139,0.00321352650526
36,37,6.0,F1101C2,0.0999507920446,0.12679585154,0.19577733348,0.00109603733088
37,38,6.16666666667,F1101C2,0.0250850492928,0.0179386116116,0.00641300747245,0.00944478329765
38,39,6.33333333333,F1101C2,0.00769197165381,0.0609622628725,0.0698230544667,0.0723231229282
39,40,6.5,F1101C2,0.012566513098,0.0235904018915,0.0298186363462,0.01084777061
40,41,6.66666666667,F1101C2,0.212159848799,0.162902653602,0.133089770576,0.0810804831645
41,42,6.83333333333,F1101C2,0.0853584871892,0.0931078527751,0.00478026541217,0.116131816173
42,43,7.0,F1101C2,0.0461185671827,0.0400150837492,0.0487160378297,0.000518070382248
43,44,7.16666666667,F1101C2,0.0417201107046,0.0314579891335,0.0328895958299,0.000320338083626
44,45,7.33333333333,F1101C2,0.0310507015727,0.125843253097,0.255626341278,0.0238229886261
45,46,7.5,F1101C2,0.000247285476985,0.00675927412472,0.00024670292141,0.0156088531355
46,47,7.66666666667,F1101C2,9.00263217365e-05,0.00966768710659,0.00098434231188,0.0218464704618
