,Interval,Time_min,video,SSI_fa_mo,SSI_fa_mo_th,SSI_fa_th,SSI_mo_th
0,1,0.0,F1044C1,0.000761765440562,0.00739052168765,0.00584823335318,0.0106662564081
1,2,0.166666666667,F1044C1,0.000108933320568,0.0132821692712,0.00783014154399,0.0237200209492
2,3,0.333333333333,F1044C1,0.000340029717593,0.171653719422,0.00299226749476,0.40492779982
3,4,0.5,F1044C1,0.0106522996407,0.0310644740568,0.0370719475937,0.0294547887047
4,5,0.666666666667,F1044C1,0.258547488719,0.119185334462,0.0222086188251,0.00748518138862
5,6,0.833333333333,F1044C1,0.00674170690554,0.0100361540051,0.00155247506185,0.0159875171851
6,7,1.0,F1044C1,0.0175236124165,0.0292693432806,0.0280002001901,0.0195932337402
7,8,1.16666666667,F1044C1,0.0214464204438,0.0163140513814,0.000813028305892,0.016994720418
8,9,1.33333333333,F1044C1,0.0125206139048,0.017385336352,0.028127940803,0.00131189190578
9,10,1.5,F1044C1,0.0107790346327,0.0112116678947,0.00384438376149,0.0127951596892
10,11,1.66666666667,F1044C1,0.0308220329934,0.0135590012017,0.000590459573759,0.000672056274368
11,12,1.83333333333,F1044C1,0.0112667146017,0.00566110655882,0.000328322590809,0.00175704498555
12,13,2.0,F1044C1,0.0328616463183,0.0224929917531,0.0064145738301,0.0160321449327
13,14,2.16666666667,F1044C1,0.0535987520594,0.0353187957664,0.0179409619727,0.0162932970556
14,15,2.33333333333,F1044C1,0.020465543853,0.073478352587,0.148952367749,0.0100860347159
15,16,2.5,F1044C1,0.000830374325424,0.00888541536882,2.44043695999e-05,0.0202858388965
16,17,2.66666666667,F1044C1,0.345878980792,0.154341751217,0.0187326562489,0.00715769275106
17,18,2.83333333333,F1044C1,0.0017444813478,0.0592700908704,0.128541161513,0.0118229953387
18,19,3.0,F1044C1,0.00049040082476,0.0038590148444,0.00487733106576,0.0036854225412
19,20,3.16666666667,F1044C1,0.0157528146162,0.0327975933958,8.63226471082e-07,0.0617136174433
20,21,3.33333333333,F1044C1,0.114597304639,0.0586878426224,0.0142684001458,0.0152443593548
21,22,3.5,F1044C1,0.00457624556125,0.0158125220836,0.0101358315943,0.0215077668306
22,23,3.66666666667,F1044C1,0.00049975829464,0.00484853780867,0.00474010729641,0.0064166504221
23,24,3.83333333333,F1044C1,0.0013080590282,0.0124737026679,0.0259568501709,0.00270288715327
24,25,4.0,F1044C1,0.0185090976759,0.0517838150044,0.0264872110971,0.08412875374
25,26,4.16666666667,F1044C1,0.0259105156352,0.0158366052711,0.00820082507603,0.00454888290218
26,27,4.33333333333,F1044C1,0.00851665895274,0.0079661866733,0.00316360335571,0.00670379329295
27,28,4.5,F1044C1,0.0018349614354,0.0113777924199,0.0239783744121,0.00150567557798
28,29,4.66666666667,F1044C1,0.00498550654022,0.00340873144626,0.0029980141177,7.39922044612e-05
29,30,4.83333333333,F1044C1,0.0299454914135,0.0136258263534,8.64057261107e-05,0.00223851625276
30,31,5.0,F1044C1,0.0530055474249,0.0694331596105,0.109156597624,3.44716899581e-07
31,32,5.16666666667,F1044C1,0.0197068216419,0.00955595610383,0.00199548415064,0.000780993712803
32,33,5.33333333333,F1044C1,0.0642700766333,0.0309001148522,0.000185365317719,0.00835376783216
33,34,5.5,F1044C1,0.0230335548695,0.0368495753065,0.000380042930645,0.0625576131148
34,35,5.66666666667,F1044C1,0.104610852401,0.0454123557169,0.00285650199321,0.000977298818328
35,36,5.83333333333,F1044C1,0.00153970746513,0.0105760523714,0.00715027141149,0.015884446941
