,Interval,Time_min,video,SSI_fa_pa,SSI_fa_mo,SSI_fa_mo_pa,SSI_mo_pa
0,1,0.0,F1044D2,0.0112512179927,0.00100205529807,0.010448728795,0.0120726146372
1,2,0.166666666667,F1044D2,0.0179125078775,0.022412576077,0.0215708077722,0.0133168504645
2,3,0.333333333333,F1044D2,0.0026490722704,0.00143333307284,0.00533163099493,0.00879147659398
3,4,0.5,F1044D2,0.00800780008791,0.00190557710773,0.008272621024,0.00925668390557
4,5,0.666666666667,F1044D2,0.0349501421344,0.0016908625011,0.0177690013054,0.00619858826844
5,6,0.833333333333,F1044D2,0.0205246555778,0.0693961427727,0.0553666152407,0.0311137399757
6,7,1.0,F1044D2,7.75452713558e-05,0.00294084772004,0.00177815788835,0.00118788434962
7,8,1.16666666667,F1044D2,0.00379943537343,0.0164179819808,0.0125786673128,0.0105291842553
8,9,1.33333333333,F1044D2,0.0522677695112,0.0771506403087,0.0549267356424,0.000161293709551
9,10,1.5,F1044D2,0.0104425166436,0.000421255393187,0.00771459468188,0.0072263370899
10,11,1.66666666667,F1044D2,0.00271376639514,0.00145433985258,0.00573335824934,0.00967389850173
11,12,1.83333333333,F1044D2,0.0476573064824,0.18601121122,0.128924806616,0.0970658443781
12,13,2.0,F1044D2,0.00392214948218,7.64444664125e-07,0.00263329598176,0.00233647391675
13,14,2.16666666667,F1044D2,0.005794666051,0.0354224533622,0.0178104388914,0.00171068788227
14,15,2.33333333333,F1044D2,0.0021700245821,0.00394325500903,0.00270563726441,0.000258893057669
15,16,2.5,F1044D2,0.0103869386786,0.00564780170183,0.00836044998834,0.00326829437403
16,17,2.66666666667,F1044D2,0.014791970373,0.011460673009,0.01127503221,0.000232958709934
17,18,2.83333333333,F1044D2,0.00111738111557,0.0146716681527,0.0791190231005,0.168713327629
18,19,3.0,F1044D2,3.31357755845e-05,0.0480340513731,0.0243028793502,0.00963983412039
19,20,3.16666666667,F1044D2,0.00148610282344,0.00699852627561,0.0192835040898,0.0379628470003
20,21,3.33333333333,F1044D2,0.00706974735433,0.0114660132226,0.00988446326822,0.00568706343756
21,22,3.5,F1044D2,0.00873197456488,0.00207024500569,0.00525446220376,0.00148011643454
22,23,3.66666666667,F1044D2,0.000418943242816,0.018096739836,0.00784839338931,0.000182593092206
