,Interval,Time_min,video,SSI_pa_th
0,1,0.0,F1044F2,4.78573871754e-07
1,2,0.166666666667,F1044F2,0.00284084029656
2,3,0.333333333333,F1044F2,0.00403894641665
3,4,0.5,F1044F2,0.00908673231557
4,5,0.666666666667,F1044F2,0.0192733033178
5,6,0.833333333333,F1044F2,0.00028976897346
6,7,1.0,F1044F2,0.00150911141412
7,8,1.16666666667,F1044F2,0.19839106259
8,9,1.33333333333,F1044F2,0.0189017379827
9,10,1.5,F1044F2,0.00118840508108
10,11,1.66666666667,F1044F2,0.0079469408314
11,12,1.83333333333,F1044F2,0.0305088425815
12,13,2.0,F1044F2,0.00353443786916
13,14,2.16666666667,F1044F2,0.000944399506333
14,15,2.33333333333,F1044F2,0.00113781997665
15,16,2.5,F1044F2,0.0356847972812
