,Interval,Time_min,video,SSI_mo_pa,SSI_mo_pa_th,SSI_mo_th,SSI_pa_th
0,1,0.0,F1044H1,0.00087910906377,0.00274525679984,0.00473826155115,0.000980361435421
1,2,0.166666666667,F1044H1,0.0832718609295,0.0441538645298,0.00317439520799,0.0204397361075
2,3,0.333333333333,F1044H1,0.0363006388939,0.0206546341629,0.00986499690244,0.00176647987344
3,4,0.5,F1044H1,0.00768729959101,0.00717211936405,0.00432137793897,0.00550478093193
4,5,0.666666666667,F1044H1,0.0116662983623,0.00792021753347,0.00327496266066,0.00341681661357
5,6,0.833333333333,F1044H1,0.0139491055627,0.0085943571971,0.00553742763291,0.00127178448777
6,7,1.0,F1044H1,0.0146313588835,0.00895837079377,0.00156676649587,0.00546982664663
7,8,1.16666666667,F1044H1,0.00473465672135,0.00266112174716,0.000267748269589,0.00127324315674
8,9,1.33333333333,F1044H1,0.00385887033893,0.017703806608,0.0123699351458,0.0270007617981
9,10,1.5,F1044H1,0.00583247027745,0.0434325126861,0.0525072424077,0.0392959958923
10,11,1.66666666667,F1044H1,0.000766087891044,0.0307808206753,0.0677381247998,0.00511449106832
11,12,1.83333333333,F1044H1,0.0143981819913,0.0216844713579,0.0142244981268,0.0252487407278
12,13,2.0,F1044H1,0.0191046393161,0.014869434007,0.00246563472888,0.0126998037601
13,14,2.16666666667,F1044H1,0.0137085743243,0.00977726888225,0.00944466929135,3.95103759954e-06
14,15,2.33333333333,F1044H1,0.036439147703,0.0532922193183,0.0804673343444,0.0161239639463
15,16,2.5,F1044H1,0.0742955721026,0.0319368552582,0.000885049656686,0.000479443625928
16,17,2.66666666667,F1044H1,0.00607004571876,0.00461281793287,1.81726407634e-05,0.00489211689512
17,18,2.83333333333,F1044H1,0.000635722121729,0.00519565091161,0.00066748409311,0.0109614365529
18,19,3.0,F1044H1,0.04374248718,0.0259705725908,0.00351219428843,0.0159656205745
19,20,3.16666666667,F1044H1,0.00891352134276,0.00668386777159,0.00144444450452,0.00519415096259
20,21,3.33333333333,F1044H1,0.000268257761588,0.00241598550935,0.00328756382218,0.00213288736295
21,22,3.5,F1044H1,1.71083021272e-06,0.0045065053763,0.00737134708332,0.00333714149764
22,23,3.66666666667,F1044H1,0.014390453532,0.0119954399422,0.00625081474368,0.00683034611897
23,24,3.83333333333,F1044H1,0.0087716281105,0.00412626083028,0.000265907446753,0.000819665086317
24,25,4.0,F1044H1,0.00270640379363,0.00448959471408,0.00731007098749,0.000792760029314
25,26,4.16666666667,F1044H1,0.0113558761205,0.0532360677632,0.00390728586208,0.113265154249
26,27,4.33333333333,F1044H1,0.0278623446272,0.0306267789187,0.0148132278194,0.0338350946716
27,28,4.5,F1044H1,0.0071113903568,0.00305433323968,5.29648093472e-06,0.000141602818878
28,29,4.66666666667,F1044H1,0.00681909042738,0.00686826429327,0.0055250718485,0.00351441934856
29,30,4.83333333333,F1044H1,0.0115466676736,0.0151424795926,0.00291371119832,0.0203890633711
30,31,5.0,F1044H1,0.000159205400089,0.00348520112042,3.24514090611e-06,0.00812522980964
31,32,5.16666666667,F1044H1,0.00321133285896,0.0252673807884,0.0017463270305,0.0556607137732
