,Interval,Time_min,video,SSI_mo_pa,SSI_mo_pa_th,SSI_mo_th,SSI_pa_th
0,1,0.0,F1044O1,0.0609410111039,0.0275284187055,0.00245278371431,0.00138294695089
1,2,0.166666666667,F1044O1,0.0313491500179,0.02852163021,0.0330351806123,0.00140419500574
2,3,0.333333333333,F1044O1,0.0270470414792,0.0154044529739,0.00440855594682,0.00604257779122
3,4,0.5,F1044O1,0.0528383445439,0.0280609723562,0.00968784529363,0.00248482466085
4,5,0.666666666667,F1044O1,0.110227650533,0.0693053067641,0.0144183767632,0.0475933841371
5,6,0.833333333333,F1044O1,0.00898836542443,0.113945811103,0.257415430434,0.000969589160516
6,7,1.0,F1044O1,0.00509803671166,0.0190271136258,0.0040013688404,0.0370175083269
7,8,1.16666666667,F1044O1,0.0591112171152,0.112804461206,0.146921673419,0.0857480347928
8,9,1.33333333333,F1044O1,0.00267405432741,0.0155093732683,0.000580778963109,0.0332923245141
9,10,1.5,F1044O1,0.00831552292471,0.00448199089332,0.000257651008846,0.0019960779572
10,11,1.66666666667,F1044O1,0.0137251959957,0.0082424381972,0.00404460784419,0.00145022819431
11,12,1.83333333333,F1044O1,0.000654329190471,0.0272601137823,0.0162856599395,0.0483485494713
12,13,2.0,F1044O1,0.041199099548,0.0700482272569,0.000506397143562,0.120180895925
13,14,2.16666666667,F1044O1,0.00739262092755,0.0416762549896,0.0728179440668,0.0145408317107
14,15,2.33333333333,F1044O1,0.0261134446849,0.0175368273719,0.00963190208874,0.00447291100309
15,16,2.5,F1044O1,0.0534764491833,0.0409122593924,0.0392470438907,0.00836006855732
16,17,2.66666666667,F1044O1,0.0996412755977,0.0520268079701,0.0215456123447,0.00543808494606
17,18,2.83333333333,F1044O1,0.0119908466719,0.0333184789786,0.0433104794564,0.0275912695476
18,19,3.0,F1044O1,0.0433081161696,0.0454224791874,0.00018992900886,0.0640224186055
19,20,3.16666666667,F1044O1,0.0088236757519,0.0170443175695,0.00515210351466,0.0276941917459
20,21,3.33333333333,F1044O1,0.00124424270202,0.00958951766084,0.010834674772,0.0102128140779
21,22,3.5,F1044O1,0.0293909171507,0.0297126322917,0.00397397811685,0.0392149822113
22,23,3.66666666667,F1044O1,0.00959664653057,0.016559339481,0.0269971411482,0.0017988647926
23,24,3.83333333333,F1044O1,0.000112009236306,0.00333090343336,0.00212896419087,0.00571567244522
24,25,4.0,F1044O1,0.00487037715683,0.0532905636688,0.113019344977,0.0110104181566
25,26,4.16666666667,F1044O1,0.00363722910995,0.0110982620827,0.00284608850191,0.0203845216391
26,27,4.33333333333,F1044O1,0.00469427924165,0.00865910460328,0.0145573768517,0.000984904323258
27,28,4.5,F1044O1,0.0211456784948,0.0182090268409,0.0136505084669,0.010267527508
28,29,4.66666666667,F1044O1,0.00436354673778,0.0218921613275,0.0301090062232,0.0191220459257
29,30,4.83333333333,F1044O1,0.0155137878439,0.0197807671465,0.00917395560896,0.0199960825505
30,31,5.0,F1044O1,0.0158017048559,0.0205352639067,0.000327686705793,0.0319514283142
31,32,5.16666666667,F1044O1,0.0327320649572,0.109100726885,0.00116960650908,0.225343484524
32,33,5.33333333333,F1044O1,0.205270393411,0.143630975256,0.0967198549684,0.0706763629375
33,34,5.5,F1044O1,0.041254114152,0.0834328493469,0.119700843036,0.051726662641
34,35,5.66666666667,F1044O1,0.000374546758708,0.0119563649861,0.00488174179797,0.0233581112157
35,36,5.83333333333,F1044O1,0.00365120543829,0.0177723916899,0.027470550799,0.0097465501797
36,37,6.0,F1044O1,0.0327907028079,0.0183031557579,9.94334713679e-05,0.0106817368575
37,38,6.16666666667,F1044O1,0.0236091043688,0.0133528997771,0.00738932488021,0.000359525041269
38,39,6.33333333333,F1044O1,0.0208715495623,0.0157364218539,0.00680450447511,0.0110313764558
