,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,206,0.0607115280312
1,2,0.166666666667,206,0.0103232367502
2,3,0.333333333333,206,0.194382340026
3,4,0.5,206,0.00820882675869
4,5,0.666666666667,206,0.0689859586499
5,6,0.833333333333,206,0.000707409701545
6,7,1.0,206,0.153646943712
7,8,1.16666666667,206,0.0112984775356
8,9,1.33333333333,206,0.000476910631859
9,10,1.5,206,0.00332019599099
10,11,1.66666666667,206,2.0309153449e-06
11,12,1.83333333333,206,0.00224644081898
12,13,2.0,206,0.170812922661
13,14,2.16666666667,206,0.0391637794678
14,15,2.33333333333,206,0.180754768027
15,16,2.5,206,0.0224167463194
16,17,2.66666666667,206,0.161090271347
17,18,2.83333333333,206,0.000383071245904
18,19,3.0,206,0.0148727984503
19,20,3.16666666667,206,1.55138100566e-05
20,21,3.33333333333,206,0.000881173003151
21,22,3.5,206,0.0289480480268
22,23,3.66666666667,206,0.0186701342282
23,24,3.83333333333,206,0.0181354369775
24,25,4.0,206,0.181418352542
25,26,4.16666666667,206,0.00702524697114
26,27,4.33333333333,206,0.142355526873
27,28,4.5,206,0.000217768446917
28,29,4.66666666667,206,0.180881942846
29,30,4.83333333333,206,0.00287313587964
30,31,5.0,206,0.0070580388977
31,32,5.16666666667,206,0.0740363042015
32,33,5.33333333333,206,0.15404545904
33,34,5.5,206,0.00861958825506
34,35,5.66666666667,206,0.0853083489841
35,36,5.83333333333,206,0.000535300196534
36,37,6.0,206,0.0766917073884
37,38,6.16666666667,206,0.0227559060824
38,39,6.33333333333,206,0.0128242346551
39,40,6.5,206,0.0316925167934
40,41,6.66666666667,206,0.00361895638558
41,42,6.83333333333,206,0.0312271027334
42,43,7.0,206,0.0224880174211
43,44,7.16666666667,206,0.0609621653058
44,45,7.33333333333,206,0.00848554590543
45,46,7.5,206,0.126476292564
