,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,COLO022,0.222211630542
1,2,0.166666666667,COLO022,0.105259168803
2,3,0.333333333333,COLO022,0.0142749246714
3,4,0.5,COLO022,0.0608361113281
4,5,0.666666666667,COLO022,0.00436387010736
5,6,0.833333333333,COLO022,0.00069960592456
6,7,1.0,COLO022,0.00670605165198
7,8,1.16666666667,COLO022,0.014684387845
8,9,1.33333333333,COLO022,0.00128528380011
9,10,1.5,COLO022,0.0688212807422
10,11,1.66666666667,COLO022,0.000138437311269
11,12,1.83333333333,COLO022,0.0997276717744
12,13,2.0,COLO022,0.026756402033
13,14,2.16666666667,COLO022,0.0548519343187
14,15,2.33333333333,COLO022,0.000935078696124
15,16,2.5,COLO022,0.0543293952182
16,17,2.66666666667,COLO022,0.000313390990742
17,18,2.83333333333,COLO022,0.18951423849
18,19,3.0,COLO022,0.0482039458281
19,20,3.16666666667,COLO022,0.0321198421229
20,21,3.33333333333,COLO022,0.054787094371
21,22,3.5,COLO022,0.0167386397723
22,23,3.66666666667,COLO022,0.00784211070195
23,24,3.83333333333,COLO022,0.00173559713894
24,25,4.0,COLO022,0.138212755996
25,26,4.16666666667,COLO022,0.00716017128799
26,27,4.33333333333,COLO022,0.098087588279
27,28,4.5,COLO022,0.00125384069321
28,29,4.66666666667,COLO022,0.147659517852
29,30,4.83333333333,COLO022,0.0159592063707
30,31,5.0,COLO022,0.0773317958777
31,32,5.16666666667,COLO022,0.00172247116834
32,33,5.33333333333,COLO022,0.00898053648063
33,34,5.5,COLO022,0.0684418607331
34,35,5.66666666667,COLO022,0.0453151344266
35,36,5.83333333333,COLO022,0.0146248263823
36,37,6.0,COLO022,0.0246236345581
37,38,6.16666666667,COLO022,0.260072137993
38,39,6.33333333333,COLO022,0.000106898992512
39,40,6.5,COLO022,0.123893174578
40,41,6.66666666667,COLO022,0.322490875555
41,42,6.83333333333,COLO022,0.00156769755329
42,43,7.0,COLO022,0.0749468330052
43,44,7.16666666667,COLO022,0.302238078386
44,45,7.33333333333,COLO022,0.00406769193592
45,46,7.5,COLO022,0.0950700558124
46,47,7.66666666667,COLO022,0.460912355236
47,48,7.83333333333,COLO022,0.0169717710315
