,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,DRNE,0.0124274554347
1,2,0.166666666667,DRNE,0.0105824990094
2,3,0.333333333333,DRNE,0.0192502912419
3,4,0.5,DRNE,0.000485838406452
4,5,0.666666666667,DRNE,0.141815829365
5,6,0.833333333333,DRNE,0.032169070801
6,7,1.0,DRNE,0.0943545090488
7,8,1.16666666667,DRNE,0.00750462321782
8,9,1.33333333333,DRNE,0.000922923226184
9,10,1.5,DRNE,0.0575078947908
10,11,1.66666666667,DRNE,0.000313404290672
11,12,1.83333333333,DRNE,0.154266163872
12,13,2.0,DRNE,0.0324075557978
13,14,2.16666666667,DRNE,0.000107842079056
14,15,2.33333333333,DRNE,0.000897396080694
15,16,2.5,DRNE,0.0498475690865
16,17,2.66666666667,DRNE,0.00198004808008
17,18,2.83333333333,DRNE,0.0174261919593
18,19,3.0,DRNE,7.64667400207e-05
19,20,3.16666666667,DRNE,0.0128393902405
20,21,3.33333333333,DRNE,0.000115519086334
21,22,3.5,DRNE,0.124784298078
22,23,3.66666666667,DRNE,0.00307796572201
23,24,3.83333333333,DRNE,0.032163175505
24,25,4.0,DRNE,0.00682683890427
25,26,4.16666666667,DRNE,0.107236837581
26,27,4.33333333333,DRNE,0.117064654462
27,28,4.5,DRNE,0.114681150392
28,29,4.66666666667,DRNE,0.0353920189146
29,30,4.83333333333,DRNE,0.0117403908879
30,31,5.0,DRNE,0.0374961582896
31,32,5.16666666667,DRNE,0.0219523533827
32,33,5.33333333333,DRNE,0.0730319334387
33,34,5.5,DRNE,0.00727093604547
34,35,5.66666666667,DRNE,2.19579230132e-07
35,36,5.83333333333,DRNE,0.00271859881795
36,37,6.0,DRNE,0.00192047219506
37,38,6.16666666667,DRNE,0.094100353253
38,39,6.33333333333,DRNE,0.0109359004177
39,40,6.5,DRNE,0.00772762076645
40,41,6.66666666667,DRNE,0.00170834009381
41,42,6.83333333333,DRNE,0.0142584552607
42,43,7.0,DRNE,0.000148531886754
43,44,7.16666666667,DRNE,0.0456024171855
44,45,7.33333333333,DRNE,1.23566790163e-05
45,46,7.5,DRNE,0.0773580211831
46,47,7.66666666667,DRNE,0.116917003662
47,48,7.83333333333,DRNE,0.0598015028515
