,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,VINO,0.00190346914953
1,2,0.166666666667,VINO,0.0130575374192
2,3,0.333333333333,VINO,0.0532756981705
3,4,0.5,VINO,0.0114077268841
4,5,0.666666666667,VINO,0.00541966383194
5,6,0.833333333333,VINO,0.000119902549097
6,7,1.0,VINO,0.0596965872838
7,8,1.16666666667,VINO,0.000903006109778
8,9,1.33333333333,VINO,0.00157353296641
9,10,1.5,VINO,0.0200633344017
10,11,1.66666666667,VINO,0.00422595513366
11,12,1.83333333333,VINO,0.0108194961585
12,13,2.0,VINO,0.154886771805
13,14,2.16666666667,VINO,0.0163595759226
14,15,2.33333333333,VINO,0.0333602036187
15,16,2.5,VINO,0.000124398635612
16,17,2.66666666667,VINO,0.00219238164531
17,18,2.83333333333,VINO,0.0462925443343
18,19,3.0,VINO,0.159760576154
19,20,3.16666666667,VINO,0.049550801863
20,21,3.33333333333,VINO,0.00639071892622
21,22,3.5,VINO,6.39374849029e-05
22,23,3.66666666667,VINO,0.0943242011123
23,24,3.83333333333,VINO,0.0159948300193
24,25,4.0,VINO,0.0596384788708
25,26,4.16666666667,VINO,0.152908020638
26,27,4.33333333333,VINO,0.000144457874342
27,28,4.5,VINO,0.00254423167905
28,29,4.66666666667,VINO,0.00731868771419
29,30,4.83333333333,VINO,0.00321242024009
30,31,5.0,VINO,0.0116549346712
31,32,5.16666666667,VINO,4.60052570852e-05
32,33,5.33333333333,VINO,0.0713533357358
33,34,5.5,VINO,0.00388754699585
34,35,5.66666666667,VINO,0.0050406240663
35,36,5.83333333333,VINO,0.053292718483
36,37,6.0,VINO,0.0366747889369
37,38,6.16666666667,VINO,0.195410697569
38,39,6.33333333333,VINO,0.052357035337
39,40,6.5,VINO,0.100693450541
40,41,6.66666666667,VINO,0.0188637558125
41,42,6.83333333333,VINO,0.000650673250983
42,43,7.0,VINO,0.00144200938363
43,44,7.16666666667,VINO,0.142073337526
44,45,7.33333333333,VINO,0.0348907941811
