,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,37,0.0887170016195
1,2,0.5,37,0.0158612621047
2,3,1.0,37,0.00485964039879
3,4,1.5,37,0.014122397133
4,5,2.0,37,0.0329748168343
5,6,2.5,37,0.0296302536235
6,7,3.0,37,0.0341180245742
7,8,3.5,37,0.0999445687555
8,9,4.0,37,0.00974845678578
9,10,4.5,37,0.00858359126751
10,11,5.0,37,0.000414165517593
11,12,5.5,37,0.0231691614984
12,13,6.0,37,0.017848482638
13,14,6.5,37,0.0737140781679
14,15,7.0,37,0.00662938599468
15,16,7.5,37,0.0542906682973
16,17,8.0,37,0.00155912539787
17,18,8.5,37,0.161264325429
18,19,9.0,37,0.189291949417
19,20,9.5,37,0.0193103561186
20,21,10.0,37,0.0136275297757
21,22,10.5,37,0.0101108141047
22,23,11.0,37,0.001189667512
23,24,11.5,37,0.000574768195516
24,25,12.0,37,0.0161853511313
25,26,12.5,37,0.000480596937305
26,27,13.0,37,0.00737434338862
27,28,13.5,37,0.224696571406
28,29,14.0,37,0.116736044145
29,30,14.5,37,0.0171361350012
30,31,15.0,37,0.0290168801675
31,32,15.5,37,0.080191702031
32,33,16.0,37,0.128046229247
33,34,16.5,37,0.0120111380195
