,Interval,Time_min,video,SSI_fa_ch
0,1,0.0,BAJE059,0.110681445674
1,2,0.166666666667,BAJE059,0.0620372138908
2,3,0.333333333333,BAJE059,2.95980352338e-07
3,4,0.5,BAJE059,0.0713340565918
4,5,0.666666666667,BAJE059,0.00216997789606
5,6,0.833333333333,BAJE059,0.00043485778535
6,7,1.0,BAJE059,0.00308027078262
7,8,1.16666666667,BAJE059,0.0263736118143
8,9,1.33333333333,BAJE059,0.0017214976127
9,10,1.5,BAJE059,0.0569167634626
10,11,1.66666666667,BAJE059,0.0016331305486
11,12,1.83333333333,BAJE059,0.104364766604
12,13,2.0,BAJE059,0.000707278237315
13,14,2.16666666667,BAJE059,0.000117623283869
14,15,2.33333333333,BAJE059,0.0260963095054
15,16,2.5,BAJE059,0.0240865718278
16,17,2.66666666667,BAJE059,0.089441079019
17,18,2.83333333333,BAJE059,0.587401016898
18,19,3.0,BAJE059,0.140270591625
19,20,3.16666666667,BAJE059,0.0780645751939
20,21,3.33333333333,BAJE059,0.0580858049878
21,22,3.5,BAJE059,0.0018157594449
22,23,3.66666666667,BAJE059,0.170989708327
23,24,3.83333333333,BAJE059,3.77324100469e-05
24,25,4.0,BAJE059,0.274051606094
25,26,4.16666666667,BAJE059,0.146392708307
26,27,4.33333333333,BAJE059,0.099889633364
27,28,4.5,BAJE059,0.158815843842
28,29,4.66666666667,BAJE059,0.00126450859609
29,30,4.83333333333,BAJE059,0.0400428000418
30,31,5.0,BAJE059,0.0288650045813
31,32,5.16666666667,BAJE059,0.0977542198014
32,33,5.33333333333,BAJE059,0.00292622923147
33,34,5.5,BAJE059,0.0439933774999
34,35,5.66666666667,BAJE059,0.0348595320299
35,36,5.83333333333,BAJE059,0.13916130474
36,37,6.0,BAJE059,0.0141790006835
37,38,6.16666666667,BAJE059,0.00931015482582
38,39,6.33333333333,BAJE059,0.00128678548791
39,40,6.5,BAJE059,0.00416918942069
40,41,6.66666666667,BAJE059,0.210241521733
41,42,6.83333333333,BAJE059,0.0669976410672
42,43,7.0,BAJE059,6.90632403568e-05
43,44,7.16666666667,BAJE059,0.149854476698
44,45,7.33333333333,BAJE059,0.00105551009097
45,46,7.5,BAJE059,0.0360333190678
46,47,7.66666666667,BAJE059,0.0366162696291
47,48,7.83333333333,BAJE059,0.00192466434471
48,49,8.0,BAJE059,0.000425597961568
49,50,8.16666666667,BAJE059,0.0379975094801
