,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,BALU062,0.00595681796241
1,2,0.5,BALU062,0.0366834349183
2,3,1.0,BALU062,0.000418353941199
3,4,1.5,BALU062,0.0208010096372
4,5,2.0,BALU062,0.0114626110075
5,6,2.5,BALU062,0.00018853817444
6,7,3.0,BALU062,0.0237819408383
7,8,3.5,BALU062,0.00400504943728
8,9,4.0,BALU062,0.0122381772824
9,10,4.5,BALU062,8.5951718957e-05
10,11,5.0,BALU062,6.28762575897e-05
11,12,5.5,BALU062,0.115905525958
12,13,6.0,BALU062,0.100002723788
13,14,6.5,BALU062,0.0165669293945
14,15,7.0,BALU062,0.0231933739916
15,16,7.5,BALU062,0.00819671971617
16,17,8.0,BALU062,9.89174719891e-05
17,18,8.5,BALU062,0.117860185827
18,19,9.0,BALU062,0.0495960998161
19,20,9.5,BALU062,0.0274364552975
20,21,10.0,BALU062,0.0545601179651
21,22,10.5,BALU062,0.028001988416
22,23,11.0,BALU062,0.0226243182959
23,24,11.5,BALU062,0.0685170010715
24,25,12.0,BALU062,0.00353238305798
25,26,12.5,BALU062,0.0680687840406
26,27,13.0,BALU062,0.0660984445028
27,28,13.5,BALU062,0.0490267805704
28,29,14.0,BALU062,0.196797853623
29,30,14.5,BALU062,0.00207498438212
30,31,15.0,BALU062,0.0233916351184
31,32,15.5,BALU062,0.0309798367924
