,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,BRLO041,0.00164245839744
1,2,0.166666666667,BRLO041,0.0959616135797
2,3,0.333333333333,BRLO041,0.00954542561556
3,4,0.5,BRLO041,0.0049671251579
4,5,0.666666666667,BRLO041,0.0949422826013
5,6,0.833333333333,BRLO041,0.0211940085891
6,7,1.0,BRLO041,0.018110986731
7,8,1.16666666667,BRLO041,0.0230317230301
8,9,1.33333333333,BRLO041,0.0547729266622
9,10,1.5,BRLO041,0.00674784455499
10,11,1.66666666667,BRLO041,0.00315845729057
11,12,1.83333333333,BRLO041,0.0361963826128
12,13,2.0,BRLO041,0.0132863424649
13,14,2.16666666667,BRLO041,0.00632306205093
14,15,2.33333333333,BRLO041,0.0199732361159
15,16,2.5,BRLO041,0.01812550952
16,17,2.66666666667,BRLO041,0.00361006986069
17,18,2.83333333333,BRLO041,0.00300534310697
18,19,3.0,BRLO041,0.018456523574
19,20,3.16666666667,BRLO041,0.127479398117
20,21,3.33333333333,BRLO041,0.00756355086046
21,22,3.5,BRLO041,0.0606611057217
22,23,3.66666666667,BRLO041,0.0283189200786
23,24,3.83333333333,BRLO041,0.238195544689
24,25,4.0,BRLO041,5.25372195029e-05
25,26,4.16666666667,BRLO041,0.00766871779131
26,27,4.33333333333,BRLO041,0.00615121616136
27,28,4.5,BRLO041,0.0452251581337
28,29,4.66666666667,BRLO041,0.0092062855052
29,30,4.83333333333,BRLO041,0.0263951066689
30,31,5.0,BRLO041,0.131262694896
31,32,5.16666666667,BRLO041,0.000643608515627
32,33,5.33333333333,BRLO041,0.0112222886193
33,34,5.5,BRLO041,0.150096883902
34,35,5.66666666667,BRLO041,0.30000767219
35,36,5.83333333333,BRLO041,0.0241397819094
36,37,6.0,BRLO041,0.0107810178714
37,38,6.16666666667,BRLO041,0.00140507663914
38,39,6.33333333333,BRLO041,0.0265417044735
39,40,6.5,BRLO041,0.00990679411288
40,41,6.66666666667,BRLO041,0.0134836244337
41,42,6.83333333333,BRLO041,0.12493091397
42,43,7.0,BRLO041,0.0216850860588
43,44,7.16666666667,BRLO041,0.0050429948534
44,45,7.33333333333,BRLO041,0.000529402929018
45,46,7.5,BRLO041,0.0759889372977
