,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,COLO022,0.167215004585
1,2,0.5,COLO022,0.00132875706727
2,3,1.0,COLO022,0.0263302329205
3,4,1.5,COLO022,0.00904188678946
4,5,2.0,COLO022,0.0122060896513
5,6,2.5,COLO022,0.000631236564099
6,7,3.0,COLO022,0.0671213076218
7,8,3.5,COLO022,1.81882928162e-05
8,9,4.0,COLO022,0.11575092285
9,10,4.5,COLO022,0.0658912122635
10,11,5.0,COLO022,0.0329365816483
11,12,5.5,COLO022,0.10093637659
12,13,6.0,COLO022,0.0354729372843
13,14,6.5,COLO022,0.0563794596344
14,15,7.0,COLO022,0.053584163607
15,16,7.5,COLO022,0.00495586393638
16,17,8.0,COLO022,0.0115600885557
17,18,8.5,COLO022,0.119552964503
18,19,9.0,COLO022,0.0546104387165
19,20,9.5,COLO022,0.0117961300938
20,21,10.0,COLO022,0.0774837243391
21,22,10.5,COLO022,0.0112877303745
22,23,11.0,COLO022,0.0682365316921
23,24,11.5,COLO022,0.0026894422823
24,25,12.0,COLO022,0.0439062013774
25,26,12.5,COLO022,0.00548803563167
26,27,13.0,COLO022,0.214274213819
27,28,13.5,COLO022,0.0156451791682
28,29,14.0,COLO022,0.0471167238941
29,30,14.5,COLO022,0.00221502611497
30,31,15.0,COLO022,0.133991641521
31,32,15.5,COLO022,0.0621218203643
