,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,DOMA,0.0269439086103
1,2,0.166666666667,DOMA,0.00726121603882
2,3,0.333333333333,DOMA,0.000585244498719
3,4,0.5,DOMA,0.0154307743752
4,5,0.666666666667,DOMA,0.00674991808149
5,6,0.833333333333,DOMA,1.3895544531e-05
6,7,1.0,DOMA,0.0156075128306
7,8,1.16666666667,DOMA,0.0978470837447
8,9,1.33333333333,DOMA,0.0216995266675
9,10,1.5,DOMA,0.0234808024441
10,11,1.66666666667,DOMA,0.0021326594181
11,12,1.83333333333,DOMA,0.0366721775205
12,13,2.0,DOMA,0.0880118235337
13,14,2.16666666667,DOMA,0.00129576317693
14,15,2.33333333333,DOMA,0.00988571648064
15,16,2.5,DOMA,0.00440681634727
16,17,2.66666666667,DOMA,0.047343128972
17,18,2.83333333333,DOMA,0.0503553128764
18,19,3.0,DOMA,0.110239700585
19,20,3.16666666667,DOMA,0.253370180861
20,21,3.33333333333,DOMA,0.0158870938199
21,22,3.5,DOMA,0.0195073060728
22,23,3.66666666667,DOMA,0.0387641450438
23,24,3.83333333333,DOMA,0.00489414273467
24,25,4.0,DOMA,0.000508838433766
25,26,4.16666666667,DOMA,0.000482426823637
26,27,4.33333333333,DOMA,0.0847479173551
27,28,4.5,DOMA,0.0270524284052
28,29,4.66666666667,DOMA,6.49454295171e-05
29,30,4.83333333333,DOMA,0.073554119093
30,31,5.0,DOMA,4.18818756476e-05
31,32,5.16666666667,DOMA,0.10323222859
32,33,5.33333333333,DOMA,0.077649711886
33,34,5.5,DOMA,0.0398715632022
34,35,5.66666666667,DOMA,0.0438775173775
35,36,5.83333333333,DOMA,0.0789365700121
36,37,6.0,DOMA,0.120707700316
37,38,6.16666666667,DOMA,0.0104826588144
38,39,6.33333333333,DOMA,0.0307111300836
39,40,6.5,DOMA,0.0400069025512
40,41,6.66666666667,DOMA,0.144245487849
41,42,6.83333333333,DOMA,0.0168861818459
42,43,7.0,DOMA,0.000475794653856
43,44,7.16666666667,DOMA,0.0124388550378
44,45,7.33333333333,DOMA,0.0676918060845
45,46,7.5,DOMA,0.0192882207064
46,47,7.66666666667,DOMA,0.0242150977389
47,48,7.83333333333,DOMA,0.0510126026916
48,49,8.0,DOMA,0.000613819128982
49,50,8.16666666667,DOMA,0.00379834412079
50,51,8.33333333333,DOMA,0.116855976798
51,52,8.5,DOMA,0.0329581034367
52,53,8.66666666667,DOMA,0.00181829620698
53,54,8.83333333333,DOMA,0.00250589506944
54,55,9.0,DOMA,0.0406144232148
55,56,9.16666666667,DOMA,0.08922360201
56,57,9.33333333333,DOMA,0.129349557023
57,58,9.5,DOMA,0.142354500609
58,59,9.66666666667,DOMA,0.107298720495
59,60,9.83333333333,DOMA,0.124603765391
60,61,10.0,DOMA,0.0429226660642
61,62,10.1666666667,DOMA,0.029143878446
62,63,10.3333333333,DOMA,0.0419281737997
63,64,10.5,DOMA,0.0234587554026
64,65,10.6666666667,DOMA,0.0330079847251
65,66,10.8333333333,DOMA,3.09323493873e-05
66,67,11.0,DOMA,0.0167050019113
67,68,11.1666666667,DOMA,0.158229693314
68,69,11.3333333333,DOMA,0.0380508411692
69,70,11.5,DOMA,0.00180320405245
70,71,11.6666666667,DOMA,0.00917108386199
71,72,11.8333333333,DOMA,0.0182939165524
72,73,12.0,DOMA,0.139531419773
73,74,12.1666666667,DOMA,0.219889709624
74,75,12.3333333333,DOMA,0.00529489030172
75,76,12.5,DOMA,0.173082766026
76,77,12.6666666667,DOMA,0.0973863702468
77,78,12.8333333333,DOMA,0.27758851623
78,79,13.0,DOMA,0.0128661942464
79,80,13.1666666667,DOMA,0.018152512143
80,81,13.3333333333,DOMA,0.0559897514672
81,82,13.5,DOMA,0.0323738442639
82,83,13.6666666667,DOMA,0.000292749578305
83,84,13.8333333333,DOMA,0.00081453744549
84,85,14.0,DOMA,0.00437166763092
85,86,14.1666666667,DOMA,0.000987289090283
86,87,14.3333333333,DOMA,0.0348644253877
87,88,14.5,DOMA,0.00408250552088
88,89,14.6666666667,DOMA,0.0979261172884
89,90,14.8333333333,DOMA,0.028913881884
90,91,15.0,DOMA,0.0689137923442
91,92,15.1666666667,DOMA,0.0206734269437
92,93,15.3333333333,DOMA,0.00221092249304
93,94,15.5,DOMA,9.12533404396e-09
94,95,15.6666666667,DOMA,8.14816890038e-06
95,96,15.8333333333,DOMA,0.0743627221252
96,97,16.0,DOMA,0.0193994266955
97,98,16.1666666667,DOMA,0.0213350377616
98,99,16.3333333333,DOMA,0.0575173907709
