,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,GROP039,0.0880070383388
1,2,0.5,GROP039,0.00106819246694
2,3,1.0,GROP039,0.000905676852383
3,4,1.5,GROP039,0.00606039278253
4,5,2.0,GROP039,0.000357689795769
5,6,2.5,GROP039,0.065069533209
6,7,3.0,GROP039,0.00420601635997
7,8,3.5,GROP039,0.00904307546154
8,9,4.0,GROP039,0.0118435493064
9,10,4.5,GROP039,0.0164036064115
10,11,5.0,GROP039,0.121092339891
11,12,5.5,GROP039,0.0213407503583
12,13,6.0,GROP039,0.00252595937326
13,14,6.5,GROP039,0.0672186242132
14,15,7.0,GROP039,0.0382201287927
15,16,7.5,GROP039,0.0136277566089
16,17,8.0,GROP039,0.045694706852
17,18,8.5,GROP039,0.107061605767
18,19,9.0,GROP039,0.0225084714989
19,20,9.5,GROP039,0.0209375244939
20,21,10.0,GROP039,0.126138826004
21,22,10.5,GROP039,0.158087219594
22,23,11.0,GROP039,0.0438195023594
23,24,11.5,GROP039,0.082606430286
24,25,12.0,GROP039,0.000647252492938
25,26,12.5,GROP039,0.0677461138428
26,27,13.0,GROP039,0.146687749261
27,28,13.5,GROP039,0.0822330560796
28,29,14.0,GROP039,0.0165612836521
29,30,14.5,GROP039,0.01529771336
30,31,15.0,GROP039,0.059112803236
