,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,JAEM046,0.00345081423007
1,2,0.5,JAEM046,0.049429843431
2,3,1.0,JAEM046,0.000225989581963
3,4,1.5,JAEM046,0.0654098721352
4,5,2.0,JAEM046,0.00394656342503
5,6,2.5,JAEM046,0.00797014366592
6,7,3.0,JAEM046,0.0163164208075
7,8,3.5,JAEM046,0.0939335055613
8,9,4.0,JAEM046,0.000717759049793
9,10,4.5,JAEM046,0.059159681248
10,11,5.0,JAEM046,0.0331645258708
11,12,5.5,JAEM046,0.0383040378566
12,13,6.0,JAEM046,0.00520582695224
13,14,6.5,JAEM046,0.0245968691482
14,15,7.0,JAEM046,0.1230246866
15,16,7.5,JAEM046,0.0130519491883
16,17,8.0,JAEM046,0.0309861159327
17,18,8.5,JAEM046,0.0314940215549
18,19,9.0,JAEM046,0.0268159508814
19,20,9.5,JAEM046,0.0667285803975
20,21,10.0,JAEM046,0.0553149074279
21,22,10.5,JAEM046,0.00337751015232
22,23,11.0,JAEM046,0.0675781777493
23,24,11.5,JAEM046,0.0235664009725
24,25,12.0,JAEM046,0.0511242423925
25,26,12.5,JAEM046,0.104110026157
26,27,13.0,JAEM046,0.00949521561003
27,28,13.5,JAEM046,0.0539027153345
28,29,14.0,JAEM046,0.205810500468
29,30,14.5,JAEM046,0.0102056709855
