,Interval,Time_min,video,SSI_mo_ch
0,1,0.0,JOCE014,0.165707956459
1,2,0.166666666667,JOCE014,0.149581633376
2,3,0.333333333333,JOCE014,0.00691522844878
3,4,0.5,JOCE014,0.0347559641592
4,5,0.666666666667,JOCE014,0.165913484246
5,6,0.833333333333,JOCE014,0.0422787002475
6,7,1.0,JOCE014,0.0879736220316
7,8,1.16666666667,JOCE014,0.0530515738695
8,9,1.33333333333,JOCE014,0.00344455838847
9,10,1.5,JOCE014,0.0374937101901
10,11,1.66666666667,JOCE014,0.000262869730194
11,12,1.83333333333,JOCE014,0.0319690402907
12,13,2.0,JOCE014,0.196058291377
13,14,2.16666666667,JOCE014,0.0354784797821
14,15,2.33333333333,JOCE014,0.0620067447999
15,16,2.5,JOCE014,0.0842728230068
16,17,2.66666666667,JOCE014,0.0571523369627
17,18,2.83333333333,JOCE014,0.0638543004447
18,19,3.0,JOCE014,0.0136192414281
19,20,3.16666666667,JOCE014,0.23517952018
20,21,3.33333333333,JOCE014,0.0229659241834
21,22,3.5,JOCE014,0.103539277678
22,23,3.66666666667,JOCE014,0.0338897577321
23,24,3.83333333333,JOCE014,0.111158505656
24,25,4.0,JOCE014,0.128213518481
25,26,4.16666666667,JOCE014,0.0947236745807
26,27,4.33333333333,JOCE014,0.0170824297023
27,28,4.5,JOCE014,0.0594070152747
28,29,4.66666666667,JOCE014,0.0462462569593
29,30,4.83333333333,JOCE014,0.00297049636127
30,31,5.0,JOCE014,0.0184929544637
31,32,5.16666666667,JOCE014,0.121514326662
32,33,5.33333333333,JOCE014,0.000264134336043
33,34,5.5,JOCE014,0.0213410397449
34,35,5.66666666667,JOCE014,0.0536673457704
35,36,5.83333333333,JOCE014,0.0212108315316
36,37,6.0,JOCE014,0.00743698642113
37,38,6.16666666667,JOCE014,0.00163156481884
38,39,6.33333333333,JOCE014,0.0185263460404
39,40,6.5,JOCE014,0.0226970639717
40,41,6.66666666667,JOCE014,0.163604867226
41,42,6.83333333333,JOCE014,0.000416240917799
42,43,7.0,JOCE014,0.0794554755548
43,44,7.16666666667,JOCE014,0.127041416272
44,45,7.33333333333,JOCE014,0.061053311209
45,46,7.5,JOCE014,0.00359263878651
46,47,7.66666666667,JOCE014,0.268910313561
47,48,7.83333333333,JOCE014,0.000704667371465
48,49,8.0,JOCE014,0.201664731209
49,50,8.16666666667,JOCE014,0.000126950505746
50,51,8.33333333333,JOCE014,0.198041708324
51,52,8.5,JOCE014,0.0956727987043
52,53,8.66666666667,JOCE014,0.0705485198729
53,54,8.83333333333,JOCE014,0.00552852374031
54,55,9.0,JOCE014,0.000263177065921
55,56,9.16666666667,JOCE014,0.00430497436058
56,57,9.33333333333,JOCE014,0.00957147177872
57,58,9.5,JOCE014,0.0252288710339
58,59,9.66666666667,JOCE014,0.0369833778436
59,60,9.83333333333,JOCE014,0.0529564996945
60,61,10.0,JOCE014,0.000580255299576
61,62,10.1666666667,JOCE014,0.200787023057
62,63,10.3333333333,JOCE014,0.0188938180722
63,64,10.5,JOCE014,0.247634185598
64,65,10.6666666667,JOCE014,0.0915658034903
65,66,10.8333333333,JOCE014,0.00276208162205
66,67,11.0,JOCE014,0.0214412947364
67,68,11.1666666667,JOCE014,0.000640370891
68,69,11.3333333333,JOCE014,0.0523317441855
69,70,11.5,JOCE014,0.000140272163149
70,71,11.6666666667,JOCE014,0.00479857879875
71,72,11.8333333333,JOCE014,0.0851912228227
72,73,12.0,JOCE014,0.0932474231429
73,74,12.1666666667,JOCE014,0.103418863443
74,75,12.3333333333,JOCE014,0.00946355864396
75,76,12.5,JOCE014,0.00401969638463
76,77,12.6666666667,JOCE014,0.0449872158835
77,78,12.8333333333,JOCE014,0.110024862469
78,79,13.0,JOCE014,0.221179874405
79,80,13.1666666667,JOCE014,0.125587547191
80,81,13.3333333333,JOCE014,0.000580567719037
81,82,13.5,JOCE014,0.000298317721221
82,83,13.6666666667,JOCE014,0.0447953230689
83,84,13.8333333333,JOCE014,0.112245225955
84,85,14.0,JOCE014,0.0447456555318
85,86,14.1666666667,JOCE014,0.000129793802316
86,87,14.3333333333,JOCE014,0.113117804319
87,88,14.5,JOCE014,0.0276108616531
88,89,14.6666666667,JOCE014,0.181358746002
89,90,14.8333333333,JOCE014,0.32656620325
90,91,15.0,JOCE014,0.0085283674713
91,92,15.1666666667,JOCE014,0.0549855728532
92,93,15.3333333333,JOCE014,0.0502314004665
