,Interval,Time_min,video,SSI_fa_ch
0,1,0.0,LACL,0.0524764824661
1,2,0.166666666667,LACL,0.0409473987006
2,3,0.333333333333,LACL,0.0706309860404
3,4,0.5,LACL,0.00742329170059
4,5,0.666666666667,LACL,0.000138357689939
5,6,0.833333333333,LACL,9.43710742596e-06
6,7,1.0,LACL,0.0589891887329
7,8,1.16666666667,LACL,0.00145089643942
8,9,1.33333333333,LACL,0.00866638119685
9,10,1.5,LACL,0.0036590023048
10,11,1.66666666667,LACL,0.0312987110949
11,12,1.83333333333,LACL,0.00639836504037
12,13,2.0,LACL,0.0101845705087
13,14,2.16666666667,LACL,0.0444040094272
14,15,2.33333333333,LACL,0.000984413496573
15,16,2.5,LACL,0.0187910278299
16,17,2.66666666667,LACL,0.351787907654
17,18,2.83333333333,LACL,0.0411957923398
18,19,3.0,LACL,0.0419659210055
19,20,3.16666666667,LACL,0.0299070749734
20,21,3.33333333333,LACL,0.0573177917866
21,22,3.5,LACL,0.00726577324317
22,23,3.66666666667,LACL,0.00635750808343
23,24,3.83333333333,LACL,0.0545641787461
24,25,4.0,LACL,0.00455035133642
25,26,4.16666666667,LACL,0.0391075589196
26,27,4.33333333333,LACL,0.000601664085227
27,28,4.5,LACL,0.0209386728666
28,29,4.66666666667,LACL,0.0620959242297
29,30,4.83333333333,LACL,0.00066030682266
30,31,5.0,LACL,0.126671126292
31,32,5.16666666667,LACL,0.127284054944
32,33,5.33333333333,LACL,0.0815201787813
33,34,5.5,LACL,0.0262370412431
34,35,5.66666666667,LACL,0.0473511330384
35,36,5.83333333333,LACL,0.00102956874019
36,37,6.0,LACL,0.0838734515417
37,38,6.16666666667,LACL,0.100156805129
38,39,6.33333333333,LACL,0.00331381256452
39,40,6.5,LACL,0.13160852263
40,41,6.66666666667,LACL,0.0868891200502
41,42,6.83333333333,LACL,0.0198891727174
42,43,7.0,LACL,0.0177446882971
43,44,7.16666666667,LACL,0.000434495271698
44,45,7.33333333333,LACL,0.135679865567
45,46,7.5,LACL,0.0880676614573
46,47,7.66666666667,LACL,0.0165759057669
